target,variant,model,fold,skill_q2,r2_scalar,alpha,n_train,n_test
Ot_joint,src_gkf,full,3,0.6614075057238205,,10.0,160,40
Ot_joint,src_gkf,full,4,0.43578133112473627,,0.31622776601683794,160,40
Ot_joint,src_gkf,h_only,0,0.4639733340003591,,0.001,160,40
Ot_joint,src_gkf,h_only,1,0.6160156635859828,,0.31622776601683794,160,40
Ot_joint,src_gkf,h_only,2,0.5984198018305389,,0.001,160,40
Ot_joint,src_gkf,h_only,3,0.6338015670072863,,3.1622776601683795,160,40
Ot_joint,src_gkf,h_only,4,0.41090614833791783,,0.31622776601683794,160,40
Ot_joint,src_gkf,minus_h,0,0.007382715076315716,,1000.0,160,40
Ot_joint,src_gkf,minus_h,1,0.011646232670398882,,1000.0,160,40
Ot_joint,src_gkf,minus_h,2,0.014676342126915487,,1000.0,160,40
Ot_joint,src_gkf,minus_h,3,0.016008442074141982,,316.22776601683796,160,40
Ot_joint,src_gkf,minus_h,4,-0.015209997417668708,,316.22776601683796,160,40
Ot_joint,src_gkf,dummy,0,0.0,,,160,40
Ot_joint,src_gkf,dummy,1,0.0,,,160,40
Ot_joint,src_gkf,dummy,2,0.0,,,160,40
Ot_joint,src_gkf,dummy,3,0.0,,,160,40
Ot_joint,src_gkf,dummy,4,0.0,,,160,40
D,src_gkf_inbox,full,0,0.6511421796857935,0.6495252728992217,3.1622776601683795,80,21
D,src_gkf_inbox,full,1,0.7108489409884886,0.6981092503966337,3.1622776601683795,81,20
D,src_gkf_inbox,full,2,0.7105247779411467,0.6998525715758421,1.0,81,20
D,src_gkf_inbox,full,3,0.7240801490080587,0.7225759954282249,1.0,81,20
D,src_gkf_inbox,full,4,0.36449138799670167,0.35460710687127006,0.001,81,20
D,src_gkf_inbox,h_only,0,0.07579192336839147,0.07150834930385075,0.1,80,21
D,src_gkf_inbox,h_only,1,0.011160682618762685,-0.03240653443229591,31.622776601683793,81,20
D,src_gkf_inbox,h_only,2,0.22902737980641075,0.2006036036842781,3.1622776601683795,81,20
D,src_gkf_inbox,h_only,3,0.09935141839330752,0.09444160931894885,100.0,81,20
D,src_gkf_inbox,h_only,4,-0.38020107352775145,-0.40166780924572465,3.1622776601683795,81,20
D,src_gkf_inbox,minus_h,0,0.5739308663832065,0.57195609605106,3.1622776601683795,80,21
D,src_gkf_inbox,minus_h,1,0.6790018838578922,0.6648590455290313,0.31622776601683794,81,20
D,src_gkf_inbox,minus_h,2,0.5213929099356545,0.5037478983981001,3.1622776601683795,81,20
D,src_gkf_inbox,minus_h,3,0.5767043617388947,0.5743968016002186,3.1622776601683795,81,20
D,src_gkf_inbox,minus_h,4,0.25589546301555066,0.24432215261291323,3.1622776601683795,81,20
D,src_gkf_inbox,dummy,0,0.0,-0.004634858937992314,,80,21
D,src_gkf_inbox,dummy,1,0.0,-0.04405894495218754,,81,20
D,src_gkf_inbox,dummy,2,0.0,-0.036867426128563974,,81,20
D,src_gkf_inbox,dummy,3,0.0,-0.005451414874378502,,81,20
D,src_gkf_inbox,dummy,4,0.0,-0.015553339386343845,,81,20
A,src_gkf_inbox,full,0,0.07251945237243396,0.006851339962142933,316.22776601683796,80,21
A,src_gkf_inbox,full,1,-0.01816301373355378,-0.03353343261379882,316.22776601683796,81,20
A,src_gkf_inbox,full,2,0.08917893421683787,0.06515213844694123,100.0,81,20
A,src_gkf_inbox,full,3,0.04375688271681011,0.010253787443091245,316.22776601683796,81,20
A,src_gkf_inbox,full,4,-0.4539483970356124,-0.9227036130061137,100.0,81,20
A,src_gkf_inbox,h_only,0,-0.008002386476858359,-0.0793716612226445,1000.0,80,21
A,src_gkf_inbox,h_only,1,-0.0015564642714176458,-0.016676186929205583,1000.0,81,20
A,src_gkf_inbox,h_only,2,-0.002455408798612835,-0.0288994517401564,1000.0,81,20
A,src_gkf_inbox,h_only,3,-0.00034493513127209496,-0.035393189139629966,1000.0,81,20
A,src_gkf_inbox,h_only,4,0.0002153842730859834,-0.3221167249163266,1000.0,81,20
A,src_gkf_inbox,minus_h,0,0.09464546249694061,0.030543930996366764,316.22776601683796,80,21
A,src_gkf_inbox,minus_h,1,-0.009990551510768775,-0.025237597054963645,316.22776601683796,81,20
A,src_gkf_inbox,minus_h,2,0.10367684311759795,0.08003249161621373,100.0,81,20
A,src_gkf_inbox,minus_h,3,0.0808183494241973,0.04861374595412049,100.0,81,20
A,src_gkf_inbox,minus_h,4,-0.4499901179397694,-0.9174691785967628,100.0,81,20
A,src_gkf_inbox,dummy,0,0.0,-0.07080268430239922,,80,21
A,src_gkf_inbox,dummy,1,0.0,-0.015096225921507944,,81,20
A,src_gkf_inbox,dummy,2,0.0,-0.02637927104731319,,81,20
A,src_gkf_inbox,dummy,3,0.0,-0.035036168802872636,,81,20
A,src_gkf_inbox,dummy,4,0.0,-0.32240154941277455,,81,20
Pl,src_gkf_inbox,full,0,0.42265348438561445,,31.622776601683793,80,21
Pl,src_gkf_inbox,full,1,0.2588128871466757,,31.622776601683793,81,20
Pl,src_gkf_inbox,full,2,0.3629219822441606,,10.0,81,20
Pl,src_gkf_inbox,full,3,0.5042956401794,,10.0,81,20
Pl,src_gkf_inbox,full,4,0.20639017127157788,,31.622776601683793,81,20
Pl,src_gkf_inbox,h_only,0,0.2863572773489831,,10.0,80,21
Pl,src_gkf_inbox,h_only,1,0.02521189353065567,,3.1622776601683795,81,20
Pl,src_gkf_inbox,h_only,2,0.15757527500212554,,3.1622776601683795,81,20
Pl,src_gkf_inbox,h_only,3,0.3250877614546531,,10.0,81,20
Pl,src_gkf_inbox,h_only,4,0.1921056765085548,,10.0,81,20
Pl,src_gkf_inbox,minus_h,0,0.12158547550000431,,100.0,80,21
Pl,src_gkf_inbox,minus_h,1,0.15113375914427674,,100.0,81,20
Pl,src_gkf_inbox,minus_h,2,0.18320037324416982,,10.0,81,20
Pl,src_gkf_inbox,minus_h,3,0.18697566522166553,,31.622776601683793,81,20
Pl,src_gkf_inbox,minus_h,4,-0.06748082490974494,,31.622776601683793,81,20
Pl,src_gkf_inbox,dummy,0,0.0,,,80,21
Pl,src_gkf_inbox,dummy,1,0.0,,,81,20
Pl,src_gkf_inbox,dummy,2,0.0,,,81,20
Pl,src_gkf_inbox,dummy,3,0.0,,,81,20
Pl,src_gkf_inbox,dummy,4,0.0,,,81,20
Ot_A2,src_gkf_inbox,full,0,0.7067205575717503,0.7007689105370178,3.1622776601683795,80,21
Ot_A2,src_gkf_inbox,full,1,0.7450340395827952,0.7450143091817814,3.1622776601683795,81,20
Ot_A2,src_gkf_inbox,full,2,0.6632913244812517,0.6627431055840298,3.1622776601683795,81,20
Ot_A2,src_gkf_inbox,full,3,0.6319687382500437,0.5198481635186716,0.001,81,20
Ot_A2,src_gkf_inbox,full,4,0.5925407363619484,0.5551324867005043,1.0,81,20
