dataset_index,shared_height_source_id,cv_process_group,target,component,variant,fold,model,observed,predicted,train_null,score_scale,alpha
180,zro2_60_pass:m021,BASE:T09,D,median_depth_um,proc_gkf,0,h_only,30.35521411895752,25.101538933840853,28.20302236872958,1.0,100.0
181,zro2_60_pass:m021,BASE:T09,D,median_depth_um,proc_gkf,0,h_only,36.617576599121094,25.101538933840853,28.20302236872958,1.0,100.0
182,zro2_60_pass:m022,BASE:T09,D,median_depth_um,proc_gkf,0,h_only,6.812788248062134,25.101538933840853,28.20302236872958,1.0,100.0
183,zro2_60_pass:m022,BASE:T09,D,median_depth_um,proc_gkf,0,h_only,22.358110427856445,25.101538933840853,28.20302236872958,1.0,100.0
192,zro2_60_pass:m027,BASE:T13,D,median_depth_um,proc_gkf,0,h_only,7.682702541351318,26.503339356389432,28.20302236872958,1.0,100.0
193,zro2_60_pass:m027,BASE:T13,D,median_depth_um,proc_gkf,0,h_only,1.2347824573516846,26.503339356389432,28.20302236872958,1.0,100.0
194,zro2_60_pass:m028,BASE:T13,D,median_depth_um,proc_gkf,0,h_only,3.7195647954940796,26.503339356389432,28.20302236872958,1.0,100.0
195,zro2_60_pass:m028,BASE:T13,D,median_depth_um,proc_gkf,0,h_only,5.976794481277466,26.503339356389432,28.20302236872958,1.0,100.0
2,zro2_120_formal:m003,FQ:500:2:6:7|N3,D,median_depth_um,proc_gkf,1,h_only,3.8969749212265015,27.275571576047174,27.368467758700717,1.0,316.22776601683796
7,zro2_120_formal:m008,FQ:500:2:10:11|N5,D,median_depth_um,proc_gkf,1,h_only,2.632662534713745,25.624083884428593,27.368467758700717,1.0,316.22776601683796
8,zro2_120_formal:m009,FQ:500:10:2:3|N4,D,median_depth_um,proc_gkf,1,h_only,57.03376770019531,28.927059267665754,27.368467758700717,1.0,316.22776601683796
19,zro2_120_formal:m020,FQ:500:100:4:3|N5,D,median_depth_um,proc_gkf,1,h_only,63.11563491821289,28.101315421856462,27.368467758700717,1.0,316.22776601683796
27,zro2_120_formal:m028,FQ:1000:10:4:9|N1,D,median_depth_um,proc_gkf,1,h_only,9.989048480987549,28.101315421856462,27.368467758700717,1.0,316.22776601683796
31,zro2_120_formal:m032,FQ:1000:50:4:3|N2,D,median_depth_um,proc_gkf,1,h_only,48.365509033203125,28.101315421856462,27.368467758700717,1.0,316.22776601683796
38,zro2_120_formal:m039,FQ:1000:100:6:3|N1,D,median_depth_um,proc_gkf,1,h_only,5.322521686553955,27.275571576047174,27.368467758700717,1.0,316.22776601683796
43,zro2_120_formal:m044,FQ:1000:200:6:5|N3,D,median_depth_um,proc_gkf,1,h_only,52.191043853759766,27.275571576047174,27.368467758700717,1.0,316.22776601683796
51,zro2_120_formal:m052,FQ:2000:10:2:5|N2,D,median_depth_um,proc_gkf,1,h_only,32.744380950927734,28.927059267665754,27.368467758700717,1.0,316.22776601683796
58,zro2_120_formal:m059,FQ:2000:50:6:3|N4,D,median_depth_um,proc_gkf,1,h_only,53.0235481262207,27.275571576047174,27.368467758700717,1.0,316.22776601683796
61,zro2_120_formal:m062,FQ:2000:100:4:9|N5,D,median_depth_um,proc_gkf,1,h_only,60.34411811828613,28.101315421856462,27.368467758700717,1.0,316.22776601683796
69,zro2_120_formal:m070,FQ:2000:200:4:9|N4,D,median_depth_um,proc_gkf,1,h_only,59.64018630981445,28.101315421856462,27.368467758700717,1.0,316.22776601683796
71,zro2_120_formal:m072,FQ:2000:200:10:3|N5,D,median_depth_um,proc_gkf,1,h_only,48.42877769470215,25.624083884428593,27.368467758700717,1.0,316.22776601683796
73,zro2_120_formal:m074,FQ:4000:2:2:11|N5,D,median_depth_um,proc_gkf,1,h_only,16.860888481140137,28.927059267665754,27.368467758700717,1.0,316.22776601683796
78,zro2_120_formal:m079,FQ:4000:10:10:7|N2,D,median_depth_um,proc_gkf,1,h_only,6.503506898880005,25.624083884428593,27.368467758700717,1.0,316.22776601683796
81,zro2_120_formal:m082,FQ:4000:50:4:7|N2,D,median_depth_um,proc_gkf,1,h_only,37.25409126281738,28.101315421856462,27.368467758700717,1.0,316.22776601683796
86,zro2_120_formal:m087,FQ:4000:50:10:5|N4,D,median_depth_um,proc_gkf,1,h_only,38.130022048950195,25.624083884428593,27.368467758700717,1.0,316.22776601683796
89,zro2_120_formal:m090,FQ:4000:200:4:3|N2,D,median_depth_um,proc_gkf,1,h_only,41.925357818603516,28.101315421856462,27.368467758700717,1.0,316.22776601683796
96,zro2_120_formal:m097,FQ:6000:2:2:3|N4,D,median_depth_um,proc_gkf,1,h_only,29.391660690307617,28.927059267665754,27.368467758700717,1.0,316.22776601683796
100,zro2_120_formal:m101,FQ:6000:2:6:7|N4,D,median_depth_um,proc_gkf,1,h_only,3.7228530645370483,27.275571576047174,27.368467758700717,1.0,316.22776601683796
101,zro2_120_formal:m102,FQ:6000:2:8:9|N3,D,median_depth_um,proc_gkf,1,h_only,1.019090175628662,26.44982773023788,27.368467758700717,1.0,316.22776601683796
106,zro2_120_formal:m107,FQ:6000:10:8:7|N1,D,median_depth_um,proc_gkf,1,h_only,4.333580017089844,26.44982773023788,27.368467758700717,1.0,316.22776601683796
115,zro2_120_formal:m116,FQ:6000:100:8:5|N4,D,median_depth_um,proc_gkf,1,h_only,41.42281532287598,26.44982773023788,27.368467758700717,1.0,316.22776601683796
116,zro2_120_formal:m117,FQ:6000:100:10:9|N1,D,median_depth_um,proc_gkf,1,h_only,4.148553848266602,25.624083884428593,27.368467758700717,1.0,316.22776601683796
120,zro2_20_supplement:m001,BASE:T01,D,median_depth_um,proc_gkf,1,h_only,8.954411506652832,25.624083884428593,27.368467758700717,1.0,316.22776601683796
