i,j,pair_type,d_phi
20,157,random_ordinary,0.9861416114027404
197,186,random_ordinary,0.9899685190630283
126,195,random_ordinary,0.9888056408841502
134,99,random_ordinary,0.9810984445325406
184,52,random_ordinary,0.9842623734447282
52,19,random_ordinary,0.9859849533714412
122,154,random_ordinary,0.9851393874437063
162,65,random_ordinary,0.9839371152852371
126,188,random_ordinary,0.9819053921202727
192,139,random_ordinary,0.9874144824634135
94,130,random_ordinary,0.9844869798295786
64,28,random_ordinary,0.9905298355924623
25,3,random_ordinary,0.9788101883127809
144,90,random_ordinary,0.9854796251757332
73,71,random_ordinary,0.9909345020655189
183,129,random_ordinary,0.984578231339688
174,147,random_ordinary,0.9832585027126208
13,74,random_ordinary,0.9810954423815345
113,160,random_ordinary,0.9759754349374647
128,172,random_ordinary,0.9820627457709807
89,62,random_ordinary,0.9898397574823753
52,6,random_ordinary,0.9890632135576083
153,67,random_ordinary,0.975889191780904
145,78,random_ordinary,0.978205245195285
176,126,random_ordinary,0.9840691319656811
144,45,random_ordinary,0.9836220932384107
179,67,random_ordinary,0.9889081950294129
13,119,random_ordinary,0.986274842790705
65,137,random_ordinary,0.9806261329715431
137,189,random_ordinary,0.9845551992121102
87,141,random_ordinary,0.9842642208330294
89,34,random_ordinary,0.9812578346216615
48,27,random_ordinary,0.9801546752418877
178,82,random_ordinary,0.9757690553857626
72,173,random_ordinary,0.9896401033372576
117,95,random_ordinary,0.9888295130660281
138,144,random_ordinary,0.9868440269323095
124,151,random_ordinary,0.9861754212464962
172,57,random_ordinary,0.9810826524048011
75,20,random_ordinary,0.9777777529007972
15,152,random_ordinary,0.9907157040306985
179,28,random_ordinary,0.9717364851619721
33,182,random_ordinary,0.9832713117806022
144,179,random_ordinary,0.9839476141910586
67,71,random_ordinary,0.9882326371450825
184,167,random_ordinary,0.9822170887499321
177,135,random_ordinary,0.9812066062491656
38,96,random_ordinary,0.9847186749261245
1,14,random_ordinary,0.9808852041381239
116,158,random_ordinary,0.9870124250461565
168,129,random_ordinary,0.9873208541328208
193,136,random_ordinary,0.9829728482262554
115,5,random_ordinary,0.9815577219071552
155,22,random_ordinary,0.98842612534667
56,61,random_ordinary,0.983457303544329
101,149,random_ordinary,0.9812997396177249
151,123,random_ordinary,0.9791686111689365
187,129,random_ordinary,0.9819152871602199
187,117,random_ordinary,0.9806274060746045
143,88,random_ordinary,0.9908125830516619
123,27,random_ordinary,0.9754667957881468
142,138,random_ordinary,0.985596038361345
190,111,random_ordinary,0.9858858689719577
189,166,random_ordinary,0.9839659975835369
131,158,random_ordinary,0.9868992539390673
63,32,random_ordinary,0.9830793177969661
36,113,random_ordinary,0.9821491055391807
69,24,random_ordinary,0.9625118952018137
19,34,random_ordinary,0.9825944071942802
113,79,random_ordinary,0.9868495757074676
22,132,random_ordinary,0.9797166985554578
72,144,random_ordinary,0.9796041982136625
133,130,random_ordinary,0.9832811854449662
178,177,random_ordinary,0.9821054066886754
45,64,random_ordinary,0.9862215138831614
