point,direction,step,fd_value
25,log_h_m,0.0001,-1.0104586240464293e-08
25,log_tau_s,1e-05,1.1841624784358909e-09
25,log_f_Hz,1e-05,6.125875841050969e-09
25,log_v_m_s,1e-05,-9.82564207056684e-09
25,log_h_m,1e-05,-1.0102264508911819e-08
25,log_tau_s,1e-06,1.1841624777741464e-09
25,log_f_Hz,1e-06,6.125875834433525e-09
25,log_v_m_s,1e-06,-9.825642066100065e-09
25,log_h_m,1e-06,-1.0102264494518876e-08
26,log_tau_s,0.01,3.866179812410585e-09
26,log_f_Hz,0.01,1.8995701022455446e-08
26,log_v_m_s,0.01,-3.550073530072122e-08
26,log_h_m,0.01,-1.1954603687171274e-08
26,log_tau_s,0.001,3.866231967643749e-09
26,log_f_Hz,0.001,1.89831562639795e-08
26,log_v_m_s,0.001,-3.548833194999191e-08
26,log_h_m,0.001,-1.2122760238645377e-08
26,log_tau_s,0.0001,3.866241737784984e-09
26,log_f_Hz,0.0001,1.8975631146427706e-08
26,log_v_m_s,0.0001,-3.548054001446769e-08
26,log_h_m,0.0001,-1.2135895202996673e-08
26,log_tau_s,1e-05,3.866241738380554e-09
26,log_f_Hz,1e-05,1.8971442709785982e-08
26,log_v_m_s,1e-05,-3.547573589657578e-08
26,log_h_m,1e-05,-1.2130443079025905e-08
26,log_tau_s,1e-06,3.866241739704043e-09
26,log_f_Hz,1e-06,1.8967328254523884e-08
26,log_v_m_s,1e-06,-3.547154428852359e-08
26,log_h_m,1e-06,-1.2130443057850083e-08
27,log_tau_s,0.01,1.7153604089086706e-09
