factor,factor_value,factor_native,W50_hat_um,note
velocity_mm_s,7.051282051282051,7.051282051282051,5.902633527708266,
velocity_mm_s,7.564102564102564,7.564102564102564,5.896058260278282,
velocity_mm_s,8.076923076923077,8.076923076923077,5.889482992848296,
velocity_mm_s,8.58974358974359,8.58974358974359,5.8829077254183115,
velocity_mm_s,9.102564102564102,9.102564102564102,5.876332457988327,
velocity_mm_s,9.615384615384615,9.615384615384615,5.869757190558342,
velocity_mm_s,10.128205128205128,10.128205128205128,5.863181923128357,
velocity_mm_s,10.64102564102564,10.64102564102564,5.856606655698372,
velocity_mm_s,11.153846153846153,11.153846153846153,5.850031388268388,
velocity_mm_s,11.666666666666666,11.666666666666666,5.843456120838402,
velocity_mm_s,12.179487179487179,12.179487179487179,5.836880853408418,
velocity_mm_s,12.692307692307692,12.692307692307692,5.830305585978433,
velocity_mm_s,13.205128205128204,13.205128205128204,5.823730318548448,
velocity_mm_s,13.717948717948717,13.717948717948717,5.817155051118463,
velocity_mm_s,14.23076923076923,14.23076923076923,5.810579783688478,
velocity_mm_s,14.743589743589743,14.743589743589743,5.804004516258494,
velocity_mm_s,15.256410256410255,15.256410256410255,5.797429248828508,
velocity_mm_s,15.769230769230768,15.769230769230768,5.790853981398524,
velocity_mm_s,16.28205128205128,16.28205128205128,5.784278713968539,
velocity_mm_s,16.794871794871796,16.794871794871796,5.7777034465385535,
velocity_mm_s,17.307692307692307,17.307692307692307,5.771128179108569,
velocity_mm_s,17.820512820512818,17.820512820512818,5.764552911678584,
velocity_mm_s,18.333333333333332,18.333333333333332,5.7579776442486,
velocity_mm_s,18.846153846153847,18.846153846153847,5.751402376818614,
velocity_mm_s,19.358974358974358,19.358974358974358,5.74482710938863,
velocity_mm_s,19.87179487179487,19.87179487179487,5.738251841958645,
velocity_mm_s,20.384615384615383,20.384615384615383,5.7316765745286595,
velocity_mm_s,20.897435897435898,20.897435897435898,5.725101307098675,
velocity_mm_s,21.41025641025641,21.41025641025641,5.71852603966869,
velocity_mm_s,21.92307692307692,21.92307692307692,5.711950772238706,
velocity_mm_s,22.435897435897434,22.435897435897434,5.70537550480872,
velocity_mm_s,22.94871794871795,22.94871794871795,5.698800237378736,
velocity_mm_s,23.46153846153846,23.46153846153846,5.692224969948751,
velocity_mm_s,23.97435897435897,23.97435897435897,5.685649702518766,
velocity_mm_s,24.487179487179485,24.487179487179485,5.679074435088781,
velocity_mm_s,25.0,25.0,5.672499167658796,
pass_count,1.0,1.0,5.5875168128831305,
