session_id,measurement_id,sample_id,registration_status,included_in_phase_a,exclusion_reason,exclusion_disposition,available_centered_square_um,limiting_sample
zro2_60_pass,18,36,PASS,True,,,299.60477118041837,False
zro2_60_pass,19,37,PASS,True,,,301.1961708274433,False
zro2_60_pass,19,38,PASS,True,,,304.1688948826572,False
zro2_60_pass,20,39,PASS,True,,,284.62831052341346,False
zro2_60_pass,20,40,PASS,True,,,320.19640469707554,False
zro2_60_pass,21,41,PASS,True,,,317.21794488193416,False
zro2_60_pass,21,42,PASS,True,,,282.0428093380611,False
zro2_60_pass,22,43,PASS,True,,,336.3617149239942,False
zro2_60_pass,22,44,PASS,True,,,279.44123408910855,False
zro2_60_pass,23,45,PASS,True,,,302.11027708989195,False
zro2_60_pass,23,46,PASS,True,,,301.4708305771107,False
zro2_60_pass,24,47,PASS,True,,,298.6681883754531,False
zro2_60_pass,24,48,PASS,True,,,305.9055151277353,False
zro2_60_pass,25,49,PASS,True,,,289.75104602832505,False
zro2_60_pass,25,50,PASS,True,,,317.2435462741366,False
zro2_60_pass,26,51,PASS,True,,,271.3876681436666,False
zro2_60_pass,26,52,PASS,True,,,333.0178785960604,False
zro2_60_pass,27,53,PASS,True,,,338.65282513285763,False
zro2_60_pass,27,54,PASS,True,,,276.35026655313976,False
zro2_60_pass,28,55,PASS,True,,,290.8223934398392,False
zro2_60_pass,28,56,PASS,True,,,306.8802475243227,False
zro2_60_pass,29,57,PASS,True,,,317.6963968761165,False
zro2_60_pass,29,58,PASS,True,,,287.381258165454,False
zro2_60_pass,30,59,PASS,True,,,303.22511620022044,False
zro2_60_pass,30,60,PASS,True,,,300.58928127142354,False
