"session_id","measurement_id","sample_id","roi_within_measurement","theta_session_deg","center_x_um","center_y_um","manual_width_um","manual_height_um","status"
"zro2_120_formal","47","47","single","-0.7000000000025182","-12.117342158564032","23.345379437694742","198.75489420300283","207.7892075758666","PASS"
"zro2_120_formal","48","48","single","-0.7000000000025182","-4.388308225042764","17.296068547614208","197.11229177157304","209.02115939943894","PASS"
"zro2_120_formal","49","49","single","-0.7000000000025182","17.564425233521803","-1.042123346601299","206.14660514443676","208.19985818372407","PASS"
"zro2_120_formal","50","50","single","-0.7000000000025182","8.946806665370943","16.31177876426368","206.55725575229417","208.19985818372407","PASS"
"zro2_120_formal","51","51","single","-0.7000000000025182","-1.4612908513990954","21.57245970494276","208.61050879158148","207.7892075758666","PASS"
"zro2_120_formal","52","52","single","-0.7000000000025182","-9.095387018511339","18.58562299662452","204.9146533208645","209.84246061515387","PASS"
"zro2_120_formal","53","53","single","-0.7000000000025182","-10.402116992232935","29.279301194933485","205.3253039287219","207.37855696800915","PASS"
"zro2_120_formal","54","54","single","-0.7000000000025182","13.6814785123451","17.280634100000672","206.96790636015163","209.4318100072964","PASS"
"zro2_120_formal","55","55","single","-0.7000000000025182","5.964603184715994","7.5185680374405495","196.70164116371558","206.96790636015172","PASS"
"zro2_120_formal","56","56","single","-0.7000000000025182","-5.559965081801766","22.23855883442955","206.14660514443676","209.02115939943894","PASS"
"zro2_120_formal","57","57","single","-0.7000000000025182","11.971270264833239","11.757332303625065","209.43181000729635","209.8424606151538","PASS"
"zro2_120_formal","58","58","single","-0.7000000000025182","18.478478153403458","6.544312091728462","206.14660514443676","209.43181000729638","PASS"
"zro2_120_formal","59","59","single","-0.7000000000025182","6.501142881041085","4.026355472322826","202.66731898238748","205.27397260273972","PASS"
"zro2_120_formal","60","60","single","-0.7000000000025182","17.291770540186896","10.25494249595436","200.39749663443263","205.32530392872195","PASS"
"zro2_120_formal","61","61","single","-0.7000000000025182","-9.674073759817887","4.834871226528429","209.8424606151538","208.6105087915815","PASS"
"zro2_120_formal","62","62","single","-0.7000000000025182","-22.33648699126883","17.41293196707111","203.3189823874756","207.880626223092","PASS"
"zro2_120_formal","63","63","single","-0.7000000000025182","-8.736171205329603","10.403788049538884","202.0156555772994","205.92563600782785","PASS"
"zro2_120_formal","64","64","single","-0.7000000000025182","-1.5246211738304516","13.90009419527948","203.3189823874756","203.97064579256363","PASS"
"zro2_120_formal","65","65","single","-0.7000000000025182","3.378352599622471","14.326407364007263","200.3974966344325","206.5572557522943","PASS"
"zro2_120_formal","66","66","single","-0.7000000000025182","6.432917712000038","12.235680668547483","204.9146533208645","209.84246061515384","PASS"
"zro2_120_formal","67","67","single","-0.7000000000025182","-21.2754704246035","24.2429450064068","205.27397260273975","205.9256360078278","PASS"
"zro2_120_formal","68","68","single","-0.7000000000025182","10.609865817509544","20.268956518808817","202.66731898238748","209.18395303326807","PASS"
"zro2_120_formal","69","69","single","-0.7000000000025182","-14.986664965786847","23.791117830292325","207.78920757586656","209.4318100072964","PASS"
"zro2_120_formal","70","70","single","-0.7000000000025182","-28.85661538971969","17.16673830510054","203.3189823874756","205.92563600782785","PASS"
"zro2_120_formal","71","71","single","-0.7000000000025182","13.90774653546533","23.487223513121712","194.84735812133076","203.9706457925637","PASS"
"zro2_120_formal","72","72","single","-0.7000000000025182","-4.460868330533496","13.610112985305342","206.57729941291592","205.92563600782785","PASS"
"zro2_120_formal","73","73","single","-0.7000000000025182","-17.552874047803087","8.882229648389622","203.97064579256363","209.18395303326812","PASS"
"zro2_120_formal","74","74","single","-0.7000000000025182","-27.85384902007248","12.654593389951312","206.14660514443676","210.6637618308687","PASS"
