dataset_index,target_block,band_valid,band_energy,undefined_reason
161,ILR,True,7609.995323240449,
161,8_16,True,2992.2745520298677,
161,16_32,True,1299.7805038614997,
162,ILR,True,83115.98048683345,
162,8_16,True,2042.7467243469064,
162,16_32,True,1765.4476525255855,
163,ILR,True,6969.364878508105,
163,8_16,True,2415.2722234674293,
163,16_32,True,1276.305451752585,
164,ILR,True,18633.540927107893,
164,8_16,True,12676.447183004544,
164,16_32,True,1387.8676072708872,
165,ILR,True,24866.241849947535,
165,8_16,True,19749.34052936524,
165,16_32,True,2095.76412813862,
166,ILR,True,43919.08145566055,
166,8_16,True,30318.699333039138,
166,16_32,True,14830.37052069262,
167,ILR,True,336849.31519374845,
167,8_16,True,10295.14064257345,
167,16_32,True,12047.416504414487,
168,ILR,True,2753.7081556880607,
168,8_16,True,468.38356887500066,
168,16_32,True,254.55320514771526,
169,ILR,True,1480.9474138433604,
169,8_16,True,252.50193494445162,
169,16_32,True,156.2320679586281,
170,ILR,True,1579.6742661838568,
170,8_16,True,463.0519694819412,
170,16_32,True,251.64069618263133,
171,ILR,True,846.7756578365781,
171,8_16,True,131.28115886076804,
171,16_32,True,214.94975567056875,
172,ILR,True,7786.033040393527,
172,8_16,True,5515.445436177001,
172,16_32,True,207.41254648863813,
173,ILR,True,7102.274227678138,
173,8_16,True,4878.19251172683,
173,16_32,True,130.55957217180898,
174,ILR,True,4730.112995746995,
174,8_16,True,1959.7425009146011,
174,16_32,True,321.1655333677237,
175,ILR,True,14698.118943931786,
175,8_16,True,4980.464454796769,
175,16_32,True,18019.013832983015,
176,ILR,True,27433.936434403433,
176,8_16,True,1464.9422050998753,
176,16_32,True,367.4297243416804,
177,ILR,True,6116.881975522781,
177,8_16,True,825.8397943349568,
177,16_32,True,363.1549040496246,
178,ILR,True,9263.338177443195,
178,8_16,True,1006.5885953280786,
178,16_32,True,897.0968309121841,
179,ILR,True,13153.05504875775,
179,8_16,True,744.6843859841119,
179,16_32,True,636.542414322197,
180,ILR,True,10947.969550934344,
180,8_16,True,5374.30796218549,
180,16_32,True,1258.4198218146348,
181,ILR,True,19007.185471310877,
181,8_16,True,5465.352574016679,
181,16_32,True,6250.856456095473,
182,ILR,True,198269.74578652118,
182,8_16,True,46879.854616187455,
182,16_32,True,133478.31813896954,
183,ILR,True,55079.4182770682,
183,8_16,True,37569.6085429258,
183,16_32,True,9784.419349710559,
184,ILR,True,6452.190430455678,
184,8_16,True,460.9681982506799,
184,16_32,True,293.9139174662082,
185,ILR,True,4472.6301839432535,
185,8_16,True,670.553263606612,
185,16_32,True,172.2590654159598,
186,ILR,True,1304.104121911971,
186,8_16,True,167.8977358884806,
186,16_32,True,64.38350343567134,
187,ILR,True,3470.102749135885,
187,8_16,True,647.4665373332814,
187,16_32,True,260.76877482380985,
188,ILR,True,7738.921230308713,
188,8_16,True,412.66322718318577,
188,16_32,True,282.6652157806023,
189,ILR,True,1109.3174957896667,
189,8_16,True,239.46342545531,
189,16_32,True,113.53495240394682,
190,ILR,True,3110.823294172789,
190,8_16,True,454.8603106463114,
190,16_32,True,187.05288225343818,
191,ILR,True,132478.6263379804,
191,8_16,True,244.38102864986718,
191,16_32,True,857.6380346317017,
192,ILR,True,7824.361770631679,
192,8_16,True,1546.3837736403389,
192,16_32,True,818.2411258214184,
193,ILR,True,3378.2471573200273,
193,8_16,True,1318.2190050693291,
193,16_32,True,389.961917697669,
194,ILR,True,4241.452830145281,
194,8_16,True,1330.6820622572154,
194,16_32,True,498.8566949556849,
195,ILR,True,4109.774593637004,
195,8_16,True,1299.410647546409,
195,16_32,True,625.5332335703761,
196,ILR,True,5113.404286334105,
196,8_16,True,492.7929009622259,
196,16_32,True,219.21883967937762,
197,ILR,True,2087.2118731916903,
197,8_16,True,160.09069654864922,
197,16_32,True,118.43265994234477,
198,ILR,True,3886.4620392064976,
198,8_16,True,771.1421899141662,
198,16_32,True,294.2067623214161,
199,ILR,True,1762.385882719249,
199,8_16,True,176.62333937320204,
199,16_32,True,128.39919348741142,
