dataset_index,target,observed_canonical,frozen_target,abs_error,passed
22,A_med,6.507496998933839,6.507496998933839,0.0,True
23,A_med,6.829685811027613,6.829685811027613,0.0,True
24,A_med,0.5573334737748845,0.5573334737748845,0.0,True
25,A_med,0.25353478961964515,0.2535347896196451,5.551115123125783e-17,True
26,A_med,1.754813660966502,1.754813660966502,0.0,True
27,A_med,0.32207122112315795,0.3220712211231579,5.551115123125783e-17,True
28,A_med,0.5222489243507809,0.5222489243507809,0.0,True
29,A_med,0.3347003218409163,0.3347003218409163,0.0,True
30,A_med,0.5314216325347324,0.5314216325347324,0.0,True
31,A_med,0.8646365340298404,0.8646365340298404,0.0,True
32,A_med,0.8677372999169544,0.8677372999169544,0.0,True
33,A_med,0.5843038896176586,0.5843038896176586,0.0,True
34,A_med,3.099172881562403,3.099172881562403,0.0,True
35,A_med,0.7647949042328561,0.7647949042328561,0.0,True
36,A_med,1.8248260249942883,1.8248260249942885,2.220446049250313e-16,True
37,A_med,12.560357387242096,12.560357387242096,0.0,True
38,A_med,1.0998376844810436,1.0998376844810436,0.0,True
39,A_med,2.01277322504111,2.01277322504111,0.0,True
40,A_med,0.9623362754017651,0.9623362754017653,1.1102230246251565e-16,True
41,A_med,0.7597134590061623,0.7597134590061623,0.0,True
42,A_med,2.362876250095584,2.362876250095584,0.0,True
43,A_med,4.802227944160921,4.802227944160921,0.0,True
44,A_med,5.759937507256592,5.759937507256592,0.0,True
45,A_med,0.6210842194186695,0.6210842194186695,0.0,True
46,A_med,1.5157645732237823,1.5157645732237823,0.0,True
47,A_med,0.7467460731843392,0.7467460731843392,0.0,True
48,A_med,0.2192179934995302,0.2192179934995302,0.0,True
49,A_med,0.219865856744249,0.219865856744249,0.0,True
50,A_med,0.8600324569718569,0.8600324569718569,0.0,True
51,A_med,1.2356609171223523,1.2356609171223525,2.220446049250313e-16,True
52,A_med,0.4348008332600109,0.4348008332600109,0.0,True
53,A_med,1.111610184036637,1.111610184036637,0.0,True
54,A_med,0.5473737525060142,0.5473737525060142,0.0,True
55,A_med,0.44929992649134737,0.4492999264913473,5.551115123125783e-17,True
56,A_med,0.3080518234339486,0.3080518234339486,0.0,True
57,A_med,4.005460126965916,4.005460126965916,0.0,True
58,A_med,3.0752479787831546,3.0752479787831546,0.0,True
59,A_med,1.2603542249828787,1.2603542249828787,0.0,True
60,A_med,3.1961779063795595,3.1961779063795595,0.0,True
61,A_med,1.7942620054480625,1.7942620054480625,0.0,True
62,A_med,2.4030528988995203,2.4030528988995203,0.0,True
63,A_med,1.5879288561494949,1.5879288561494949,0.0,True
64,A_med,1.1313200344645944,1.1313200344645944,0.0,True
65,A_med,12.603457527561158,12.603457527561158,0.0,True
66,A_med,2.150660599802733,2.150660599802733,0.0,True
67,A_med,3.912626223267634,3.912626223267634,0.0,True
68,A_med,0.7699583452263639,0.7699583452263639,0.0,True
69,A_med,4.3365456862118155,4.336545686211816,8.881784197001252e-16,True
70,A_med,2.8243877597768337,2.8243877597768337,0.0,True
71,A_med,0.8232230594113646,0.8232230594113646,0.0,True
72,A_med,0.40527484412569953,0.4052748441256995,5.551115123125783e-17,True
73,A_med,0.6825202980520696,0.6825202980520696,0.0,True
74,A_med,0.26843100776217926,0.2684310077621792,5.551115123125783e-17,True
75,A_med,0.39559807018360604,0.395598070183606,5.551115123125783e-17,True
76,A_med,0.24946252611004938,0.2494625261100493,8.326672684688674e-17,True
77,A_med,0.7181731534536773,0.7181731534536773,0.0,True
78,A_med,2.5381418247553262,2.5381418247553262,0.0,True
79,A_med,0.43212117609195366,0.4321211760919536,5.551115123125783e-17,True
80,A_med,0.4746853157378821,0.4746853157378821,0.0,True
81,A_med,0.8489634204941184,0.8489634204941184,0.0,True
82,A_med,7.107023639977323,7.107023639977323,0.0,True
83,A_med,3.7833624105870998,3.7833624105871,4.440892098500626e-16,True
84,A_med,0.6864754824917072,0.6864754824917072,0.0,True
85,A_med,1.424675020601857,1.424675020601857,0.0,True
86,A_med,0.594923238357644,0.594923238357644,0.0,True
87,A_med,1.238820896849605,1.238820896849605,0.0,True
88,A_med,0.5116972080508037,0.5116972080508037,0.0,True
