job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P11_76_w3.0_r1,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",2.5691016558301025,0.06689075780620941,False,True,True,
domain_P11_77_w2.0_r3,"[4.78517832377043, -14.822863983573221, -7.638420874567533, -2.038122609244237, -0.34458775504030825, 0.8186099918440086]",19.691019555404218,3.1197174754367474,False,True,True,
domain_P11_76_w3.0_r0,"[6.83839872740472, -18.624633158577286, -0.6659802540301669, 5.968600967982912, 0.6527178407959537, 0.012808298996084266]",3.3532646760091405,0.041766295590152325,False,True,True,
domain_P11_77_w0.874_r3,"[4.78517832377043, -14.822863983573221, -7.638420874567533, -2.038122609244237, -0.34458775504030825, 0.8186099918440086]",,,,,False,ValueError: Window attempt registration budget exceeded
domain_P11_77_w3.0_r3,"[4.78517832377043, -14.822863983573221, -7.638420874567533, -2.038122609244237, -0.34458775504030825, 0.8186099918440086]",35.24988677874254,3.251244955748143,False,True,True,
domain_P11_73_w3.0_r1,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",10254.071404219256,493.89139550601413,True,True,True,
domain_P11_73_w2.0_r0,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",14157.466333355878,356.5960847946009,True,True,True,
domain_P11_78_w0.874_r3,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",-0.0,0.0007067716882283998,False,True,True,
domain_P11_78_w0.874_r1,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.0008524492920173853,0.0012309335924942273,False,True,True,
domain_P11_78_w0.874_r0,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.001068337608596883,0.0014894838691938887,False,True,True,
domain_P11_78_w2.0_r3,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.001350720555679818,0.0007226500976548132,False,True,True,
domain_P11_78_w2.0_r1,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.004171360262108062,0.00043544478408772265,False,True,True,
domain_P11_78_w2.0_r0,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.005168098110987338,0.0006500303389126001,False,True,True,
domain_P11_78_w3.0_r3,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.0022294361631711663,0.00031264775322719334,False,True,True,
domain_P11_78_w3.0_r1,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.007553866064303061,0.0002519927019262147,False,True,True,
domain_P11_73_w3.0_r0,"[5.206167282187046, -15.717758047537087, -4.6312977576270855, -3.3109764433109206, 0.8706924883573022, -0.4699561356243236]",12963.648176307217,449.0648621209709,True,True,True,
domain_P11_79_w0.874_r3,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",-0.0,0.13456948713095218,False,True,True,
domain_P11_79_w0.874_r1,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",-0.0,0.3185302508259727,False,True,True,
domain_P11_79_w0.874_r0,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",0.02927573256783212,0.3401497699200341,False,True,True,
domain_P11_79_w2.0_r3,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",0.16064108428862622,0.13418947914167834,False,True,True,
domain_P11_79_w2.0_r1,"[15.32681399706577, -16.94728226532314, -4.219271256523034, -4.2698469722150705, 0.1774928775501703, 0.7185844871400766]",0.5524942725664739,0.12296483549494432,False,True,True,
domain_P11_78_w3.0_r0,"[12.046254245764407, -23.213468047051872, -6.18409323333962, -5.455227147326968, 0.2795888292926647, 0.16714016607684412]",0.010199631483961554,0.0008703220260228384,False,True,True,
