descriptor,error,passed,reason,job,switch,waist_um,dataset_index,check
ilr_z1,0.0002229210449441097,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
ilr_z2,3.991296348553194e-05,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
ilr_z3,0.00021857825489834948,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
ilr_z4,3.892251400528304e-05,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
A2_8_16,0.0003288330417867691,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
entropy_8_16,0.00019943233248462255,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
A2_16_32,0.0010064441501617116,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
entropy_16_32,0.00038832615283812544,True,,grid_1_P00_w2.0,P00,2.0,1,grid_finest
D,0.00018308309104078015,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
A_med,0.0006368891381128765,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
ilr_z1,0.0005678514394106364,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
ilr_z2,0.0005992941862780832,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
ilr_z3,0.0001572397906005607,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
ilr_z4,2.7944433666273263e-05,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
A2_8_16,3.1129582871658457e-05,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
entropy_8_16,3.052895792052257e-05,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
A2_16_32,0.0001981777648807359,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
entropy_16_32,8.98012756201938e-05,True,,grid_1_P00_w2.0,P00,2.0,1,grid_to_direct_points
D,0.000792341600845144,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
A_med,0.0003807164667565795,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
ilr_z1,0.0001395834301156092,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
ilr_z2,0.00042722158538320684,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
ilr_z3,3.972832538785386e-05,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
ilr_z4,6.766413244225361e-06,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
A2_8_16,1.3670487752914795e-07,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
entropy_8_16,2.2054732949639e-07,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
A2_16_32,1.4998742285499134e-05,True,,grid_2_P00_w3.0,P00,3.0,2,grid_finest
