dataset_index,model,target,fold,y_true,y_pred,abs_error,norm_abs_error
97,extratrees,A2_8_16,2,0.2320886508506734,0.3438976449477754,0.11180899409710202,0.20161247959806866
98,extratrees,A2_8_16,1,0.1902173295276084,0.2656591065412224,0.07544177701361399,0.133959615416547
99,extratrees,A2_8_16,0,0.2522068933810533,0.3537215791577934,0.10151468577674011,0.1820198399232351
100,extratrees,A2_8_16,4,0.5600531452960678,0.251500270448468,0.30855287484759975,0.5726373657265906
101,extratrees,A2_8_16,3,0.7920756738204892,0.7588537256051607,0.03322194821532842,0.06342775980533097
102,extratrees,A2_8_16,2,0.70320523119592,0.6530275236368738,0.05017770755904627,0.0904797697467907
103,extratrees,A2_8_16,1,0.1550039407744189,0.2410442004236463,0.0860402596492274,0.15277901116871118
104,extratrees,A2_8_16,0,0.1919342899436487,0.3059154276700351,0.1139811377263864,0.20437268050903776
105,extratrees,A2_8_16,4,0.4403634078117716,0.2616437759051661,0.1787196319066055,0.3316823389481397
106,extratrees,A2_8_16,3,0.8072443162116613,0.8565627923624756,0.049318476150814305,0.09415945263003805
107,extratrees,A2_8_16,2,0.8637865131666523,0.8058445890491631,0.05794192411748922,0.10448010098243893
108,extratrees,A2_8_16,1,0.9610941128799602,0.8103439515615438,0.15075016131841634,0.2676823695517306
109,extratrees,A2_8_16,0,0.0758730874504305,0.2275774572174632,0.1517043697670327,0.2720119250664865
110,extratrees,A2_8_16,4,0.3440174614618534,0.3552736523287559,0.011256190866902493,0.02089014885802771
111,extratrees,A2_8_16,3,0.945494790891906,0.6508914803745314,0.29460331051737465,0.5624603318335721
112,extratrees,A2_8_16,2,0.0606772648117289,0.4460135777729559,0.385336312961227,0.6948332749315378
113,extratrees,A2_8_16,1,0.4198255636379649,0.1823313584161867,0.23749420522177822,0.421711068516145
114,extratrees,A2_8_16,0,0.2683776011972403,0.2829986108985174,0.01462100970127711,0.026216047707575223
115,extratrees,A2_8_16,4,0.1441068882908399,0.5630075835840054,0.4189006952931655,0.7774297704151873
116,extratrees,A2_8_16,3,0.7959711165840396,0.6478775009536686,0.14809361563037104,0.2827421865817066
117,extratrees,A2_8_16,2,0.3329388319565142,0.5003404468528438,0.16740161489632965,0.3018563483243499
118,extratrees,A2_8_16,1,0.2843707169457869,0.1760548416433705,0.1083158753024164,0.192333128584709
119,extratrees,A2_8_16,0,0.1211468007328951,0.4035116678062825,0.28236486707338737,0.5062913558899061
120,extratrees,A2_8_16,4,0.8944943574816656,0.8038408446209754,0.09065351286069023,0.168242116765392
121,extratrees,A2_8_16,4,0.932989367843143,0.8038408446209754,0.12914852322216763,0.23968426857779054
122,extratrees,A2_8_16,3,0.909510154376974,0.9183824885525348,0.00887233417556077,0.016939171578759096
123,extratrees,A2_8_16,3,0.598121902041344,0.9183824885525348,0.3202605865111908,0.6114455246478814
124,extratrees,A2_8_16,2,0.3621450261390208,0.1815002880842957,0.18064473805472508,0.3257361705081353
125,extratrees,A2_8_16,2,0.1741597188091665,0.1674327963476482,0.006726922461518292,0.012129896422758343
126,extratrees,A2_8_16,1,0.2904552971923126,0.2564630956813148,0.0339922015109978,0.06035889426031558
127,extratrees,A2_8_16,1,0.1196926504646908,0.2231402767812891,0.10344762631659829,0.18368873037846706
128,extratrees,A2_8_16,0,0.2058224448213799,0.485724049685352,0.2799016048639721,0.5018746294860753
129,extratrees,A2_8_16,0,0.0450910464786722,0.4794291741085744,0.4343381276299022,0.778785412759135
130,extratrees,A2_8_16,4,0.4419164485789251,0.6824976807232213,0.24058123214429616,0.4464900969936266
131,extratrees,A2_8_16,4,0.8248125964364159,0.6824976807232213,0.14231491571319466,0.26411952401304783
132,extratrees,A2_8_16,3,0.4032794241209796,0.6249318694474648,0.2216524453264852,0.4231816259332393
133,extratrees,A2_8_16,3,0.323810825162417,0.6249318694474648,0.3011210442850478,0.5749040708103347
134,extratrees,A2_8_16,2,0.1202840571694714,0.1889886963856647,0.06870463921619331,0.12388728459749612
135,extratrees,A2_8_16,2,0.116131356087825,0.1418673806779969,0.025736024590171894,0.046406854605231716
136,extratrees,A2_8_16,1,0.0137397427233426,0.1113821359019528,0.0976423931786102,0.17338055857562176
137,extratrees,A2_8_16,1,0.0111754569620902,0.1002377215401022,0.089062264578012,0.15814509126480755
138,extratrees,A2_8_16,0,0.1424116865615261,0.1680786710346846,0.02566698447315849,0.04602191662584974
139,extratrees,A2_8_16,0,0.0581753176629368,0.1537998199140063,0.0956245022510695,0.17145850828675677
140,extratrees,A2_8_16,4,0.2161409599196409,0.4761793641831652,0.2600384042635243,0.48260028975182684
141,extratrees,A2_8_16,4,0.3554970461969606,0.5783526100082109,0.22285556381125032,0.41359336892070847
142,extratrees,A2_8_16,3,0.5504001774406915,0.2933654334488887,0.25703474399180276,0.49073395388698565
143,extratrees,A2_8_16,3,0.4887500345928944,0.2690030017946117,0.21974703279828273,0.41954378845948354
144,extratrees,A2_8_16,2,0.2757511201425458,0.1828582040038091,0.09289291613873674,0.1675032613526713
145,extratrees,A2_8_16,2,0.1384471986498286,0.1685449269211863,0.030097728271357704,0.05427182022393848
146,extratrees,A2_8_16,1,0.1449642119347632,0.1567927052843271,0.011828493349563901,0.021003487494453143
147,extratrees,A2_8_16,1,0.2034555409043313,0.189675972211411,0.013779568692920297,0.02446795125698574
148,extratrees,A2_8_16,0,0.8280700095585045,0.2190746311869561,0.6089953783715484,1.0919527597117176
149,extratrees,A2_8_16,0,0.1094047470852526,0.2228600017440713,0.11345525465881871,0.2034297514043018
150,extratrees,A2_8_16,4,0.2602332049451156,0.4107802579233684,0.15054705297825283,0.2793973897600157
151,extratrees,A2_8_16,4,0.092540025386341,0.3745683837615879,0.2820283583752469,0.5234110240585644
152,extratrees,A2_8_16,3,0.1916593851968016,0.3660992622766305,0.1744398770798289,0.3330427990609481
153,extratrees,A2_8_16,3,0.4093289965880195,0.4607671387477353,0.05143814215971576,0.09820634553375084
154,extratrees,A2_8_16,2,0.7523513143574082,0.3145141234012307,0.4378371909561775,0.7895021544712743
155,extratrees,A2_8_16,2,0.3496725676947528,0.2965846486515082,0.053087919043244614,0.09572742409000433
156,extratrees,A2_8_16,1,0.5005700460312731,0.5173472239627058,0.01677717793143274,0.029790712685149757
157,extratrees,A2_8_16,1,0.8479548796209171,0.8357322444432939,0.012222635177623231,0.021703352871389782
158,extratrees,A2_8_16,0,0.8997282243113676,0.7193865016730238,0.1803417226383438,0.3233598295157518
159,extratrees,A2_8_16,0,0.906662852903617,0.8062566111174382,0.10040624178617885,0.18003235608104937
160,extratrees,A2_8_16,4,0.7199290861368496,0.661278042250869,0.058651043885980636,0.1088493480560545
161,extratrees,A2_8_16,4,0.8205349159920327,0.7108069593007342,0.10972795669129842,0.2036420114293268
162,extratrees,A2_8_16,3,0.4118082086874167,0.6183178390419586,0.2065096303545419,0.3942707738485975
163,extratrees,A2_8_16,3,0.7829337262209217,0.7714637904894031,0.011469935731518666,0.021898545017467668
164,extratrees,A2_8_16,2,0.9582380550196586,0.8641154490839152,0.0941226059357434,0.16972062151330067
165,extratrees,A2_8_16,2,0.9755310556113246,0.8635010658250328,0.11202998978629175,0.20201097606284618
166,extratrees,A2_8_16,1,0.839874019631054,0.8171918923968711,0.022682127234182947,0.040275947378228094
167,extratrees,A2_8_16,1,0.9097755639079348,0.8346955505100758,0.07508001339785897,0.13331724302346967
168,extratrees,A2_8_16,0,0.0994156775443189,0.1483579331933682,0.048942255649049304,0.08775539687247087
169,extratrees,A2_8_16,0,0.097587665196269,0.1643664916924344,0.06677882649616539,0.11973707268154284
170,extratrees,A2_8_16,4,0.1742853627065956,0.1247754323044352,0.04950993040216038,0.09188453076900739
171,extratrees,A2_8_16,4,0.1599474558842803,0.1375364636970062,0.022410992187274104,0.04159213080020239
172,extratrees,A2_8_16,3,0.8921688865244534,0.834297189054788,0.05787169746966536,0.11048936994426736
173,extratrees,A2_8_16,3,0.9661076702374072,0.8300474207146182,0.13606024952278895,0.2597679332304486
