target,variant,model,fold,skill_q2,alpha,n_train,n_test
Ot_joint,src_gkf,h_only,0,0.4639733340003591,0.001,160,40
Ot_joint,src_gkf,h_only,1,0.6160156635859828,0.31622776601683794,160,40
Ot_joint,src_gkf,h_only,2,0.5984198018305389,0.001,160,40
Ot_joint,src_gkf,h_only,3,0.6338015670072863,3.1622776601683795,160,40
Ot_joint,src_gkf,h_only,4,0.41090614833791783,0.31622776601683794,160,40
Ot_joint,src_gkf,minus_h,0,0.007382715076315716,1000.0,160,40
Ot_joint,src_gkf,minus_h,1,0.011646232670398882,1000.0,160,40
Ot_joint,src_gkf,minus_h,2,0.014676342126915487,1000.0,160,40
Ot_joint,src_gkf,minus_h,3,0.016008442074141982,316.22776601683796,160,40
Ot_joint,src_gkf,minus_h,4,-0.015209997417668708,316.22776601683796,160,40
Ot_joint,src_gkf,dummy,0,0.0,,160,40
Ot_joint,src_gkf,dummy,1,0.0,,160,40
Ot_joint,src_gkf,dummy,2,0.0,,160,40
Ot_joint,src_gkf,dummy,3,0.0,,160,40
Ot_joint,src_gkf,dummy,4,0.0,,160,40
D,src_gkf_inbox,full,0,0.6511421796857935,3.1622776601683795,80,21
D,src_gkf_inbox,full,1,0.7108489409884886,3.1622776601683795,81,20
D,src_gkf_inbox,full,2,0.7105247779411467,1.0,81,20
D,src_gkf_inbox,full,3,0.7240801490080587,1.0,81,20
D,src_gkf_inbox,full,4,0.36449138799670167,0.001,81,20
D,src_gkf_inbox,h_only,0,0.07579192336839147,0.1,80,21
D,src_gkf_inbox,h_only,1,0.011160682618762685,31.622776601683793,81,20
D,src_gkf_inbox,h_only,2,0.22902737980641075,3.1622776601683795,81,20
D,src_gkf_inbox,h_only,3,0.09935141839330752,100.0,81,20
D,src_gkf_inbox,h_only,4,-0.38020107352775145,3.1622776601683795,81,20
D,src_gkf_inbox,minus_h,0,0.5739308663832065,3.1622776601683795,80,21
D,src_gkf_inbox,minus_h,1,0.6790018838578922,0.31622776601683794,81,20
