depth_bin,metric,predictor,n,spearman,spearman_p,depth_min,depth_max
D_Q2,p_16_32,N,45,-0.28082794508660786,0.061673099799156875,6.4736,25.5787
D_Q2,p_16_32,Q_log10,45,-0.11451744090160419,0.4538220531017821,6.4736,25.5787
D_Q2,p_32_64,N,45,-0.0105446539458392,0.9451909853670631,6.4736,25.5787
D_Q2,p_32_64,Q_log10,45,0.30702804967114034,0.040219080632076944,6.4736,25.5787
D_Q2,p_64_inf,N,45,0.45022270847460527,0.001914132473040927,6.4736,25.5787
D_Q2,p_64_inf,Q_log10,45,0.5104168264019687,0.0003407730133568277,6.4736,25.5787
D_Q2,dc_offset_frac,N,45,0.25075867383460193,0.09661924605310737,6.4736,25.5787
D_Q2,dc_offset_frac,Q_log10,45,-0.11669307449386264,0.4452329846059713,6.4736,25.5787
D_Q2,dc_to_non_dc_ratio,N,45,0.25075867383460193,0.09661924605310737,6.4736,25.5787
D_Q2,dc_to_non_dc_ratio,Q_log10,45,-0.11669307449386264,0.4452329846059713,6.4736,25.5787
D_Q2,spectral_centroid_log_um,N,45,0.3824648031194064,0.009518096048917695,6.4736,25.5787
D_Q2,spectral_centroid_log_um,Q_log10,45,0.4401372685429531,0.002481905941350122,6.4736,25.5787
D_Q2,spectral_entropy,N,45,-0.1466727348853504,0.33633291338770493,6.4736,25.5787
D_Q2,spectral_entropy,Q_log10,45,0.24070418925259468,0.11121119933397743,6.4736,25.5787
D_Q2,effective_band_number,N,45,-0.1466727348853504,0.33633291338770493,6.4736,25.5787
D_Q2,effective_band_number,Q_log10,45,0.24070418925259468,0.11121119933397743,6.4736,25.5787
D_Q2,lambda_peak_um,N,45,0.38064387621947704,0.009894525355945484,6.4736,25.5787
D_Q2,lambda_peak_um,Q_log10,45,0.3629529154095503,0.014267693526029412,6.4736,25.5787
D_Q2,A2_8_16,N,45,-0.10537850943293497,0.4908672154915322,6.4736,25.5787
D_Q2,A2_8_16,Q_log10,45,-0.5843883685387563,2.4990979077287153e-05,6.4736,25.5787
D_Q2,A2_16_32,N,45,0.04551208703075113,0.7665681323696358,6.4736,25.5787
D_Q2,A2_16_32,Q_log10,45,-0.37018735213731,0.012313104808386134,6.4736,25.5787
D_Q2,A2_32_64,N,45,-0.03054548143020517,0.8421175403938308,6.4736,25.5787
D_Q2,A2_32_64,Q_log10,45,0.07759759812388493,0.6123951674973848,6.4736,25.5787
D_Q2,angular_entropy_8_16,N,45,0.13517566058311284,0.37597217708145525,6.4736,25.5787
D_Q2,angular_entropy_8_16,Q_log10,45,0.5857069343522462,2.371418612717746e-05,6.4736,25.5787
D_Q2,Sq_um,N,45,-0.30389012371654006,0.04241071980504491,6.4736,25.5787
D_Q2,Sq_um,Q_log10,45,-0.5165481574346971,0.00028062093341020935,6.4736,25.5787
D_Q2,Sa_um,N,45,-0.278582954246526,0.06387139764883203,6.4736,25.5787
D_Q2,Sa_um,Q_log10,45,-0.5249210503503584,0.00021395664333256827,6.4736,25.5787
D_Q2,rms_DCT_8_16_um,N,45,-0.5123341217168711,0.0003208198236055225,6.4736,25.5787
D_Q2,rms_DCT_8_16_um,Q_log10,45,-0.6789295373659873,2.9532580551911183e-07,6.4736,25.5787
D_Q2,rms_DCT_16_32_um,N,45,-0.40627531202936584,0.005618781152948953,6.4736,25.5787
D_Q2,rms_DCT_16_32_um,Q_log10,45,-0.5103508981112942,0.0003414786061880297,6.4736,25.5787
D_Q2,rms_DCT_32_64_um,N,45,-0.26014681734767164,0.08437170776192092,6.4736,25.5787
D_Q2,rms_DCT_32_64_um,Q_log10,45,-0.3924051860946161,0.007672913931648326,6.4736,25.5787
D_Q2,rms_DCT_64_inf_um,N,45,-0.01830007684794029,0.9050249747525938,6.4736,25.5787
D_Q2,rms_DCT_64_inf_um,Q_log10,45,-0.20734447417129834,0.17172753239228547,6.4736,25.5787
D_Q2,E_DCT_8_16_frac,N,45,-0.31736006875703143,0.03364812930691506,6.4736,25.5787
D_Q2,E_DCT_8_16_frac,Q_log10,45,-0.37869210163432043,0.010312136999291647,6.4736,25.5787
D_Q2,E_DCT_16_32_frac,N,45,-0.2823926356721195,0.06017699337139783,6.4736,25.5787
D_Q2,E_DCT_16_32_frac,Q_log10,45,-0.11722050081925865,0.44316433476223155,6.4736,25.5787
D_Q2,E_DCT_32_64_frac,N,45,-0.0170755363897138,0.9113539844559329,6.4736,25.5787
D_Q2,E_DCT_32_64_frac,Q_log10,45,0.30386349171876437,0.042429729182790664,6.4736,25.5787
D_Q2,E_DCT_64_inf_frac,N,45,0.43375944231400476,0.002913336237068546,6.4736,25.5787
D_Q2,E_DCT_64_inf_frac,Q_log10,45,0.49591260245357904,0.0005318385814061163,6.4736,25.5787
D_Q3,p_lt8,N,45,-0.15681535220090578,0.303606940023641,25.7712,44.4284
D_Q3,p_lt8,Q_log10,45,0.17250981721401318,0.25713567155598727,25.7712,44.4284
D_Q3,p_8_16,N,45,0.02432153748985929,0.8739950495681662,25.7712,44.4284
D_Q3,p_8_16,Q_log10,45,-0.003234971696703653,0.9831736864304764,25.7712,44.4284
D_Q3,p_16_32,N,45,0.20042876078753732,0.18679369369545426,25.7712,44.4284
D_Q3,p_16_32,Q_log10,45,0.14742228160692358,0.3338421854941728,25.7712,44.4284
D_Q3,p_32_64,N,45,0.15233688212486937,0.3177964930452888,25.7712,44.4284
D_Q3,p_32_64,Q_log10,45,0.33287198560775133,0.025464673095154603,25.7712,44.4284
