session_id,measurement_id,sample_id,roi_within_measurement,cag_path,mapping_provenance,plane_a,plane_b,plane_c,plane_rmse_um,sigma_ref_um,theta_line_deg,orientation_center_x_um,orientation_center_y_um,orientation_threshold_um,orientation_signal_pixels,orientation_confident,crop_center_x_um,crop_center_y_um,crop_length_um,crop_pixels,raw_width_um,raw_height_um,valid_pixel_ratio
zro2_120_line,38,38,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0031216903853944528,0.015975916631134623,13.807302549124453,0.3119370137165913,0.30300093240913506,-0.49337977188460513,-2.7515765043104192,-0.32731907652953623,1.2120037296365402,17136,True,0.0,0.0,289.4877576548851,1000,285.344768,17.834048,1.0
zro2_120_line,39,39,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0029718124469864412,0.01736040857996235,19.080925208591054,0.2594442923504753,0.2474736779778414,-0.48995372824103356,-9.433580000551032,1.2532398075921813,0.9898947119113656,21266,True,0.0,0.0,289.4868377081667,1000,285.344768,17.834048,1.0
zro2_120_line,40,40,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.002022135970455764,0.01770232026432428,9.836954742440598,0.28120406964169525,0.27312149360206045,-0.5317002139022122,5.2638110075895215,0.7025487177048397,1.0924859744082418,17056,True,0.0,0.0,289.4979777363081,1000,285.344768,17.834048,1.0
zro2_120_line,41,41,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0028760066192490613,0.013217962720841525,13.099678171087223,0.24332664387390704,0.22930225387141295,-0.5415958481623022,-5.231357481132862,-0.02594863030731346,0.9172090154856518,17904,True,0.0,0.0,289.5005961598127,1000,285.344768,17.834048,1.0
zro2_120_line,42,42,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.004014465286970341,0.01721026479578816,7.237331309623305,0.32716856054842647,0.311616916595699,-0.8791616606493733,-8.968042011584314,0.06337655831945244,1.246467666382796,7400,True,0.0,0.0,289.5848165790103,1000,285.344768,17.834048,1.0
zro2_120_line,43,43,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.002971932754376412,0.015949405249377158,13.906828686648447,0.2495286376268111,0.2357238271834253,-0.7668244116294147,5.10195583283402,0.9151130727011276,0.9428953087337012,15996,True,0.0,0.0,289.55788958741493,1000,285.344768,17.834048,1.0
zro2_120_line,44,44,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.001731511753199422,0.022729349860378,6.753602561897111,0.25701329837747466,0.24480788642329598,-0.5273722546860142,11.772056527521668,0.08978472153930292,0.9792315456931839,13291,True,0.0,0.0,289.4968298645513,1000,285.344768,17.834048,1.0
zro2_120_line,45,45,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0013746432046626994,0.021386028299122728,17.135687699125075,0.24932085275024501,0.23863477487554094,-0.5508271309183215,10.71821787680063,0.5727769633881099,0.9545390995021638,12197,True,0.0,0.0,289.50303111547896,1000,285.344768,17.834048,1.0
zro2_120_line,46,46,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.0014037284403017136,0.018447042315350437,11.959140499983672,0.26708454508967905,0.2674020964646907,-0.565089937498044,4.050426926781736,0.5107915732507298,1.0696083858587628,17372,True,0.0,0.0,289.50677867585335,1000,285.344768,17.834048,1.0
zro2_120_line,47,47,single,氧化锆/120组直线.cag,pilot_user_confirmed: DOE 加工顺序 equals CAG Path (outputs/zro2_single_line_pilot/pilot_protocol.json),-0.00207647908331053,0.015890315801801336,13.469488485127503,0.23489857971257516,0.22000193519587316,-0.590155155795884,-12.584439031283285,1.2079183364520165,0.8800077407834926,16832,True,0.0,0.0,289.5133217096025,1000,285.344768,17.834048,1.0
