session_id,group,data_name,slot_1_sample_id,slot_2_sample_id,width,height,dx_um,dy_um,z_step_pm,n_valid,n_invalid,valid_fraction,z_min_um,z_max_um,z_mean_um,mask_source,mask_is_fabricated,timestamp,original_name,lut_structural_ok,lut_derived_bytes,lut_verified,lut_seam_ratio,lut_seam_headroom,lut_seam_conclusive,decoded,error
zro2_120_formal,54,54,54,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,55.443,44.204,cag_raw_sentinel,False,2026-05-22 22:56:06,MeasureData20260522225610,True,776,,,,,True,
zro2_120_formal,55,55,55,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,42.307,33.106,cag_raw_sentinel,False,2026-05-22 22:57:18,MeasureData20260522225721,True,776,,,,,True,
zro2_120_formal,56,56,56,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,53.188,43.259,cag_raw_sentinel,False,2026-05-22 22:58:34,MeasureData20260522225838,True,776,,,,,True,
zro2_120_formal,57,57,57,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,56.523,47.607,cag_raw_sentinel,False,2026-05-22 23:00:56,MeasureData20260522230059,True,776,,,,,True,
zro2_120_formal,58,58,58,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,75.861,45.902,cag_raw_sentinel,False,2026-05-22 23:02:29,MeasureData20260522230233,True,776,,,,,True,
zro2_120_formal,59,59,59,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,73.794,53.117,cag_raw_sentinel,False,2026-05-22 23:04:01,MeasureData20260522230404,True,776,,,,,True,
zro2_120_formal,60,60,60,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,25.59,17.391,cag_raw_sentinel,False,2026-05-22 23:05:15,MeasureData20260522230519,True,776,,,,,True,
zro2_120_formal,61,61,61,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,64.428,51.921,cag_raw_sentinel,False,2026-05-22 23:07:05,MeasureData20260522230709,True,776,,,,,True,
zro2_120_formal,62,62,62,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,74.992,61.101,cag_raw_sentinel,False,2026-05-22 23:09:01,MeasureData20260522230905,True,776,,,,,True,
zro2_120_formal,63,63,63,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,72.84,59.995,cag_raw_sentinel,False,2026-05-22 23:10:55,MeasureData20260522231059,True,776,,,,,True,
zro2_120_formal,64,64,64,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,50.239,38.692,cag_raw_sentinel,False,2026-05-22 23:12:18,MeasureData20260522231222,True,776,,,,,True,
