session_id,measurement_id,cag_data_name,expected_csv_filename,expected_csv_relative_path,slot_1_sample_id,slot_2_sample_id,design_factor_tuple,depth_proxy_max_pass,depth_band,selection_reason,existing_official_csv,action_required,depth_proxy_um,robust_range_um,iqr_um,n_distinct_levels,valid_fraction,width,height,flip_norm_x,flip_norm_y,direction_min_flip_norm,transposition_structurally_impossible
zro2_120_formal,76,76,76_高度.csv,氧化锆/pass实验数据/csv文件/120正式/76_高度.csv,76,,"('3', '87300', '2', '0.006', '3')",3.0,-1,not_selected,False,export_from_keyence,12.672730000000001,18.19773,4.707999999999998,26088,1.0,2048,1536,0.07330584638853306,0.22870984457951618,0.07330584638853306,True
zro2_120_formal,77,77,77_高度.csv,氧化锆/pass实验数据/csv文件/120正式/77_高度.csv,77,,"('2', '87300', '10', '0.002', '7')",2.0,-1,not_selected,False,export_from_keyence,31.448999999999998,36.411,4.634,41433,1.0,2048,1536,0.0434484084479965,0.1087583422592074,0.0434484084479965,True
zro2_120_formal,78,78,78_高度.csv,氧化锆/pass实验数据/csv文件/120正式/78_高度.csv,78,,"('1', '87300', '10', '0.008', '7')",1.0,-1,not_selected,False,export_from_keyence,7.367000000000001,12.398000000000001,4.606999999999999,18695,1.0,2048,1536,0.1253427972253588,0.32368123890950135,0.1253427972253588,True
zro2_120_formal,79,79,79_高度.csv,氧化锆/pass实验数据/csv文件/120正式/79_高度.csv,79,,"('2', '87300', '10', '0.01', '7')",2.0,-1,not_selected,False,export_from_keyence,12.008000000000001,16.871000000000002,4.6179999999999986,24799,1.0,2048,1536,0.08067097386047066,0.25149665105802865,0.08067097386047066,True
zro2_120_formal,80,80,80_高度.csv,氧化锆/pass实验数据/csv文件/120正式/80_高度.csv,80,,"('4', '87300', '50', '0.002', '3')",4.0,-1,not_selected,False,export_from_keyence,49.839,54.777,4.8260000000000005,53722,1.0,2048,1536,0.021560143855998037,0.07713091260930685,0.021560143855998037,True
zro2_120_formal,81,81,81_高度.csv,氧化锆/pass实验数据/csv文件/120正式/81_高度.csv,81,,"('4', '87300', '50', '0.002', '5')",4.0,-1,not_selected,False,export_from_keyence,50.745,55.558,4.599000000000004,54000,1.0,2048,1536,0.01519133158141044,0.07410273947946286,0.01519133158141044,True
zro2_120_formal,82,82,82_高度.csv,氧化锆/pass实验数据/csv文件/120正式/82_高度.csv,82,,"('2', '87300', '50', '0.004', '7')",2.0,-1,not_selected,False,export_from_keyence,38.547000000000004,43.413000000000004,4.616,46322,1.0,2048,1536,0.031303987284914694,0.09386589270495002,0.031303987284914694,True
zro2_120_formal,83,83,83_高度.csv,氧化锆/pass实验数据/csv文件/120正式/83_高度.csv,83,,"('3', '87300', '50', '0.004', '3')",3.0,-1,not_selected,False,export_from_keyence,45.77,51.031,4.8089999999999975,51425,1.0,2048,1536,0.03576257568928696,0.08340028610060551,0.03576257568928696,True
zro2_120_formal,84,84,84_高度.csv,氧化锆/pass实验数据/csv文件/120正式/84_高度.csv,84,,"('5', '87300', '50', '0.004', '9')",5.0,-1,not_selected,False,export_from_keyence,47.884,53.163,4.8572500000000005,52617,1.0,2048,1536,0.04042285047871642,0.07843801139890529,0.04042285047871642,True
zro2_120_formal,85,85,85_高度.csv,氧化锆/pass实验数据/csv文件/120正式/85_高度.csv,85,,"('1', '87300', '50', '0.006', '11')",1.0,-1,not_selected,False,export_from_keyence,21.47,26.667,4.588999999999999,30261,1.0,2048,1536,0.060111748603142515,0.14609817377282786,0.060111748603142515,True
