dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak,class_code,class_name
190,2.0,9.720938860159308,True,,False,4.860469430079654,,1.8604694300796536,,0,INVALID
191,2.0,,False,,False,,,,,0,INVALID
192,8.0,10.99798231417217,True,7.536507573664894,True,1.3747477892715212,0.9420634467081116,0.3747477892715212,0.0579365532918882,2,m1
193,8.0,9.511936587414986,True,7.536507573664894,True,1.1889920734268733,0.9420634467081116,0.1889920734268733,0.0579365532918882,2,m1
194,8.0,9.64445815674146,True,7.536507573664894,True,1.2055572695926824,0.9420634467081116,0.2055572695926824,0.0579365532918882,2,m1
195,8.0,10.912131490668887,True,7.536507573664894,True,1.364016436333611,0.9420634467081116,0.3640164363336109,0.0579365532918882,2,m1
196,6.0,10.255244325789706,True,,False,1.7092073876316176,,0.2907926123683824,,0,INVALID
197,6.0,10.02800697834505,True,6.010042719351759,True,1.671334496390842,1.0016737865586265,0.3286655036091581,0.0016737865586264,2,m1
198,6.0,10.775048279182268,True,,False,1.7958413798637114,,0.2041586201362886,,0,INVALID
199,6.0,10.366167238577734,True,6.010042719351759,True,1.7276945397629555,1.0016737865586265,0.2723054602370443,0.0016737865586264,2,m1
