stratum_spec,stratum,target_id,model,fold,n_train_local,n_test,MAE_global,MAE_local,MAE_dummy,Skill_global,Skill_local,delta_skill
depth_q4,Q4,rms_DCT_64_inf_um,extratrees,0,48,16,0.49111037372462457,0.7246346936139387,0.8484171351256933,0.4211451497241785,0.14589809232626605,-0.27524705739791244
sq_q4,Q1,median_depth_um,ridge,0,36,8,8.78573071774695,9.310531555346849,19.737962500000002,0.5548815781898992,0.5282931784196647,-0.026588399770234528
sq_q4,Q1,rms_DCT_8_16_um,ridge,0,36,8,0.30570014291994996,0.269666906744396,0.4169766552896974,0.26686508934759745,0.3532805654142843,0.08641547606668687
sq_q4,Q1,rms_DCT_16_32_um,ridge,0,36,8,0.36111157336989497,0.3932007966663316,0.5644003612940379,0.36018543194772124,0.3033300053798438,-0.056855426567877454
sq_q4,Q1,rms_DCT_32_64_um,ridge,0,36,8,0.6792295026922397,0.8553513062520134,0.870771861406247,0.2199684753302401,0.017709064610023417,-0.2022594107202167
sq_q4,Q1,rms_DCT_64_inf_um,ridge,0,36,8,1.3928559510821517,1.7137396544846206,1.7175157356328068,0.1890287103722147,0.0021985715005952144,-0.18683013887161948
sq_q4,Q1,median_depth_um,extratrees,0,36,8,3.832082887539636,15.610082946845234,19.737962500000002,0.805852154824003,0.20913402551832627,-0.5967181293056767
sq_q4,Q1,rms_DCT_8_16_um,extratrees,0,36,8,0.27609410923659633,0.30936695566870365,0.4169766552896974,0.33786674689311313,0.2580712811038095,-0.07979546578930363
sq_q4,Q1,rms_DCT_16_32_um,extratrees,0,36,8,0.2481715732389405,0.29143006648501646,0.5644003612940379,0.5602916116673966,0.48364656284621166,-0.07664504882118495
sq_q4,Q1,rms_DCT_32_64_um,extratrees,0,36,8,0.6288688689682633,0.7043323013656853,0.870771861406247,0.2778029506457915,0.19114026005821005,-0.08666269058758147
sq_q4,Q1,rms_DCT_64_inf_um,extratrees,0,36,8,1.5280510829023763,1.4069824872079777,1.7175157356328068,0.11031319760259639,0.18080372830494928,0.0704905307023529
sq_q4,Q2,median_depth_um,ridge,0,39,9,8.583933097240182,9.01063738025139,13.62133789173789,0.3698171820224192,0.338491016677822,-0.0313261653445972
sq_q4,Q2,rms_DCT_8_16_um,ridge,0,39,9,0.20280857426123078,0.25408837591774036,0.2823494670607618,0.2817107948796439,0.10009259602016407,-0.18161819885947983
sq_q4,Q2,rms_DCT_16_32_um,ridge,0,39,9,0.24566049004642643,0.33097786351631403,0.371460856528468,0.3386638572304064,0.10898320051941035,-0.22968065671099602
sq_q4,Q2,rms_DCT_32_64_um,ridge,0,39,9,0.29797250160955024,0.4447109345464422,0.4602457429864955,0.3525795596151916,0.03375329088162604,-0.31882626873356557
sq_q4,Q2,rms_DCT_64_inf_um,ridge,0,39,9,0.4350139192098885,0.698742839476524,0.7579296405046009,0.4260497334287221,0.07809009948294476,-0.34795963394577734
sq_q4,Q2,median_depth_um,extratrees,0,39,9,2.0650380385718186,4.345739805925913,13.62133789173789,0.8483968274640349,0.6809608688613584,-0.16743595860267646
sq_q4,Q2,rms_DCT_8_16_um,extratrees,0,39,9,0.11207741939283686,0.15087113178651176,0.2823494670607618,0.6030542555664973,0.4656581669621349,-0.13739608860436237
sq_q4,Q2,rms_DCT_16_32_um,extratrees,0,39,9,0.2678206583237916,0.2899899167350175,0.371460856528468,0.2790070511688858,0.2193257737971288,-0.05968127737175699
