dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um
70,zro2_120_formal,71,71,zro2_120_formal:m071,single,formal,,71,-4500.0,3200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,2,3,1.0,0.0,17.1843,2.8244
71,zro2_120_formal,72,72,zro2_120_formal:m072,single,formal,,72,-4500.0,2600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,3,1.0,0.0,48.4288,0.8232
72,zro2_120_formal,73,73,zro2_120_formal:m073,single,formal,,73,-5100.0,2600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,5,5,1.0,0.0,27.4222,0.4053
73,zro2_120_formal,74,74,zro2_120_formal:m074,single,formal,,74,-5100.0,3200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,5,11,1.0,0.0,16.8609,0.6825
74,zro2_120_formal,75,75,zro2_120_formal:m075,single,formal,,75,-5100.0,3800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,1,5,1.0,0.0,1.1292,0.2684
75,zro2_120_formal,76,76,zro2_120_formal:m076,single,formal,,76,-5100.0,4400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,3,3,1.0,0.0,11.1144,0.3956
76,zro2_120_formal,77,77,zro2_120_formal:m077,single,formal,,77,-5100.0,5000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,2,7,1.0,0.0,29.0964,0.2495
77,zro2_120_formal,78,78,zro2_120_formal:m078,single,formal,,78,-5100.0,5600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,1,7,1.0,0.0,4.4573,0.7182
78,zro2_120_formal,79,79,zro2_120_formal:m079,single,formal,,79,-5100.0,6200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,7,1.0,0.0,6.5035,2.5381
79,zro2_120_formal,80,80,zro2_120_formal:m080,single,formal,,80,-5100.0,6800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,2.0,4,3,1.0,0.0,49.6996,0.4321
