replicate,k,max_principal_angle_deg,note
123,4,34.4934392336527,
123,5,35.75494880345635,
123,6,41.56837124181758,
124,1,61.73161871645329,
124,2,14.535852445048404,
124,3,69.92036276616771,
124,4,52.86783510564686,
124,5,63.40990051508714,
124,6,75.95938758748738,
125,1,37.31303275464139,
125,2,71.74992053569002,
125,3,52.936837041405724,
125,4,60.332383374296676,
125,5,59.57119220275544,
125,6,67.51551556359003,
126,1,29.234159870929542,
126,2,15.036173319458046,
126,3,29.329554187920174,
126,4,32.38256457761515,
126,5,72.75592678903999,
126,6,83.55097507053155,
127,1,54.33354966567219,
127,2,30.595344098452262,
127,3,44.197394967473784,
127,4,62.90380484689319,
127,5,47.12797027600727,
127,6,71.25086453855488,
128,1,24.86300930509597,
128,2,11.385754048411375,
128,3,14.17346854321403,
128,4,77.08005398948478,
128,5,29.784285290719005,
128,6,34.82180089682094,
129,1,12.13732982870957,
129,2,28.395796051104703,
129,3,34.16655871760825,
129,4,52.00325808713894,
129,5,45.09652411894397,
129,6,38.940289545209424,
130,1,20.597621117459262,
130,2,13.280328475743975,
130,3,49.40520523602738,
130,4,54.63447510898035,
130,5,49.14788562691084,
130,6,53.08654027898586,
131,1,66.1617202778897,
131,2,82.67087848892302,
131,3,62.672146626975795,
131,4,89.61486987530473,
131,5,89.75463921551146,
131,6,79.84031026504228,
132,1,56.892751242743266,
132,2,46.552397757598726,
132,3,77.85978953636202,
132,4,59.00352801325859,
132,5,74.38089170704022,
132,6,78.8411217892877,
133,1,17.037962515274806,
133,2,16.362519653647066,
133,3,82.40254876513636,
133,4,88.36780779426712,
133,5,53.857866706577354,
133,6,55.15371762684657,
134,1,54.71008946092906,
134,2,34.27805900985024,
134,3,67.30435735872051,
134,4,54.12352237230995,
134,5,65.53882324353822,
134,6,83.87504465549442,
135,1,32.31563668196972,
135,2,78.62489801101736,
135,3,59.19016471759651,
135,4,49.77312033163108,
135,5,88.09463838818878,
135,6,83.10925392448753,
136,1,61.957413265518326,
136,2,51.08233006241111,
136,3,62.70020717645258,
136,4,88.61618683384019,
136,5,71.18131326912638,
136,6,86.26029243522795,
137,1,28.903189758708717,
137,2,52.81871022723688,
137,3,52.3473138114699,
137,4,68.39023403563044,
137,5,70.23436296170826,
137,6,62.06963651308481,
138,1,12.210979699775535,
138,2,13.598602153543109,
138,3,21.970028068606215,
138,4,38.002936842176396,
138,5,70.47947524488183,
138,6,65.25586832489113,
139,1,55.43611962925349,
139,2,47.17743100782347,
139,3,84.45649082557597,
139,4,74.03286657802904,
139,5,49.31081474393033,
139,6,34.670316274292176,
140,1,62.358019269905654,
140,2,56.50568395478117,
140,3,63.983196868989054,
140,4,85.4812762341593,
140,5,57.24889513869404,
140,6,45.77839957265298,
141,1,28.499206645916786,
141,2,89.83350788963966,
141,3,56.61553491774812,
141,4,87.96988804915203,
141,5,78.05573712603626,
141,6,77.83111065792082,
142,1,20.817304992356835,
142,2,68.36967556795577,
142,3,65.81762023827726,
142,4,86.38226247492071,
142,5,49.63824839017141,
142,6,77.68302689803527,
143,1,25.963181038662405,
143,2,66.87160265986341,
143,3,79.34522530519308,
143,4,84.25365169490507,
143,5,86.10574532932435,
143,6,87.63008448021225,
144,1,45.95395248390632,
144,2,57.37772402564189,
144,3,84.70095573211125,
144,4,87.96348965816294,
144,5,88.23514748499458,
144,6,85.14189507363245,
145,1,18.616706829975936,
145,2,42.71531746768807,
145,3,39.95386789310163,
145,4,45.87094148676413,
145,5,68.33255585125768,
145,6,55.51272891884194,
146,1,23.262583516676607,
146,2,14.120648365176683,
146,3,58.33710559418151,
146,4,79.6061198501895,
146,5,84.76885544844073,
146,6,86.1884092171803,
147,1,49.46617599841321,
147,2,54.90522013099414,
147,3,76.713191625251,
147,4,73.37069281302337,
147,5,56.70848565851259,
147,6,87.58336657750078,
148,1,61.64985873476849,
148,2,34.62544692308418,
148,3,47.38187066715132,
148,4,52.671747599823654,
148,5,87.9111474758757,
148,6,58.1351816871904,
149,1,48.95940997827607,
149,2,10.261847708332489,
149,3,17.62155663002242,
149,4,86.74703755864817,
149,5,45.21374019709804,
149,6,37.71490797170281,
150,1,31.773657990756277,
150,2,22.436696862771694,
150,3,26.989620566471956,
150,4,87.75270891402874,
150,5,48.11034048192353,
150,6,73.82203093114771,
151,1,30.04335454963852,
151,2,14.055821915515923,
151,3,50.14421973521537,
151,4,80.86483329842387,
151,5,58.45217852729435,
151,6,47.02143116901021,
152,1,48.662259284113084,
152,2,59.99357871319394,
152,3,48.660020580830796,
152,4,60.27630421937508,
152,5,63.70965667040891,
152,6,81.45869389848387,
153,1,80.30111584470538,
153,2,86.76715526344191,
153,3,86.40951355518226,
153,4,88.30089719362223,
153,5,85.4997032422081,
153,6,87.99590075021922,
154,1,26.24820258467119,
154,2,12.26720522152076,
154,3,62.04593954202978,
154,4,86.58283051822106,
154,5,65.12812555343638,
154,6,87.88120961235127,
155,1,16.72016406527739,
155,2,13.182516156684303,
155,3,81.09474422939832,
155,4,87.56088277069297,
155,5,70.83888091215518,
155,6,86.29901243406876,
156,1,14.853824247566582,
156,2,13.249205887477373,
156,3,32.186989012958996,
156,4,43.60054117980686,
156,5,68.7132096990039,
156,6,85.76068719434599,
157,1,57.36357151135912,
157,2,53.38635816386155,
157,3,57.20569445581329,
157,4,62.50783839644233,
157,5,49.459090974466264,
157,6,46.70066859031739,
158,1,58.83604931397519,
158,2,33.77060998904522,
158,3,61.774245327672645,
158,4,37.449768570586194,
158,5,35.48163294702223,
158,6,38.42090319884954,
159,1,21.89533796449484,
159,2,28.883879137430792,
159,3,48.59845387640382,
159,4,41.31109125244562,
159,5,78.57205475917395,
159,6,63.68278098589191,
