dataset_index,W_hat_um,hatch_spacing_um,eta_h,bridge_coverage,in_box,p_8_16,A2_8_16,angular_entropy_8_16,ilr_z2
69,4.441658278632249,4.0,1.1104145696580623,out_of_box,False,0.0889120385384201,0.3852301354284596,0.9032597967618744,-0.3344687428212264
70,4.305388837902703,10.0,0.4305388837902703,out_of_box,False,0.1218008358124323,0.4825486762102814,0.7964159165584054,-0.8244733409863291
71,4.625188942393257,10.0,0.4625188942393257,out_of_box,False,0.3145178020224712,0.6467381747535611,0.7165854265106665,-1.1223552884233987
72,6.0232239352157215,2.0,3.0116119676078608,exact_match,True,0.2776858930884566,0.2830216597611039,0.9313320998754409,-0.5082702825940048
73,5.9462933062849,2.0,2.9731466531424497,in_box_pred,True,0.0992533930074463,0.295870409956582,0.9116719197777746,-0.5316165113290052
74,5.596823795894983,6.0,0.932803965982497,in_box_pred,True,0.377942131592927,0.1678917533058013,0.8628655108189245,-0.1906594115687575
75,5.835667408532293,6.0,0.9726112347553822,out_of_box,False,0.3689358004411042,0.651129169986947,0.6631335325137906,-0.5842785637189423
76,5.616620126851903,2.0,2.808310063425952,in_box_pred,True,0.2692309609802786,0.083768854819673,0.9276734581533804,-0.3573739449687065
77,5.510020092021718,8.0,0.6887525115027148,in_box_pred,True,0.6823572333973394,0.8985651245461259,0.3569701574235101,-1.1400707101175642
78,5.616620126851903,10.0,0.5616620126851903,in_box_pred,True,0.7115431096112693,0.9225443341069854,0.3692855088966826,-1.3796513513227322
79,5.57530647798454,2.0,2.78765323899227,out_of_box,False,0.2251813568260457,0.1418646249048596,0.9426021048149024,-0.669773348773817
80,5.549662935007599,2.0,2.7748314675037995,out_of_box,False,0.315486695818493,0.1366693088974582,0.9218147487423196,-0.3371850251238552
81,5.310819322370288,4.0,1.327704830592572,out_of_box,False,0.3730561996181762,0.2405499894321976,0.9430846333186512,-0.6815501468663527
82,5.468706443154355,4.0,1.3671766107885888,out_of_box,False,0.0689211028817747,0.4420795259907235,0.8578309613357369,-0.4471335240436181
83,5.604975883883902,4.0,1.4012439709709754,out_of_box,False,0.0720652084004968,0.0760164024676483,0.932939635730679,-0.5683215513468395
84,5.152932201586221,6.0,0.8588220335977036,out_of_box,False,0.5880591000740882,0.5378573726755123,0.6772098717779299,-0.7133075240592027
85,5.229862830517044,10.0,0.5229862830517045,out_of_box,False,0.5653842668690491,0.5009035509801845,0.730993405036829,-1.1251578669681666
86,5.549662935007599,10.0,0.5549662935007599,out_of_box,False,0.4914358548676135,0.9120660712770626,0.4067377590504231,-1.4265020418397547
87,4.770681195984203,8.0,0.5963351494980254,out_of_box,False,0.4331703794649609,0.7122089151266764,0.5539650514250845,-0.4275493058034462
88,4.983881265644572,8.0,0.6229851582055715,out_of_box,False,0.2400264111944041,0.425287499276247,0.7973987774142596,-0.2507956084962668
89,4.215353391518114,4.0,1.0538383478795286,out_of_box,False,0.3132703556663572,0.2868035260737672,0.8634833418580595,-0.6465009356926644
90,4.245022797417476,4.0,1.061255699354369,out_of_box,False,0.2998242478356508,0.0926545779279746,0.926084219472512,-0.3008345503017215
91,4.057466270734047,6.0,0.6762443784556744,out_of_box,False,0.3973641855010384,0.8154333503903629,0.5633369629767183,-0.3252969941059832
92,4.189709848541173,8.0,0.5237137310676466,out_of_box,False,0.3706497557460018,0.7296207570683865,0.6031074496829963,-0.599273965842746
93,4.428553461178484,8.0,0.5535691826473105,out_of_box,False,0.2149329384308902,0.3076703818946668,0.8585060372267197,-0.9534650585432808
94,4.377266375224602,10.0,0.4377266375224602,out_of_box,False,0.247201335873594,0.5708752952649504,0.740128375309424,-1.0205852732775775
95,4.4838664100547865,10.0,0.4483866410054786,out_of_box,False,0.3373110031750952,0.6851653508238845,0.6078810806162691,-0.7018445633523889
96,5.889600083491803,2.0,2.9448000417459017,out_of_box,False,0.3751021383192541,0.430670170129388,0.9067184909550192,-0.2490394011269939
97,5.676400013831434,4.0,1.4191000034578585,out_of_box,False,0.2995426036814139,0.2320886508506734,0.8888519475472766,-0.5714729923153666
98,5.544156436024307,6.0,0.924026072670718,out_of_box,False,0.1028042517162763,0.1902173295276084,0.9073324626912156,-0.1354576876977379
99,5.518512893047367,6.0,0.9197521488412278,out_of_box,False,0.2849804828499166,0.2522068933810533,0.9045024910457266,0.3319394995616002
100,5.838312997537922,6.0,0.9730521662563204,out_of_box,False,0.278016677852644,0.5600531452960678,0.7150063339622272,-0.1253076584551674
101,5.706069419730796,8.0,0.7132586774663495,out_of_box,False,0.7185930341121279,0.7920756738204892,0.3857970221425629,-1.216459964598858
102,5.893625946414224,8.0,0.736703243301778,out_of_box,False,0.601803283500144,0.70320523119592,0.5104840027100116,-1.055500819499918
103,5.777152836641599,2.0,2.8885764183208,out_of_box,False,0.288802327913061,0.1550039407744189,0.9257357587050014,-0.4452037285921876
104,5.935039957425666,2.0,2.967519978712833,out_of_box,False,0.2809072300379764,0.1919342899436487,0.9087245723067096,-0.5506499835889598
105,5.482996275127984,4.0,1.370749068781996,out_of_box,False,0.38517167379767,0.4403634078117716,0.7619079798783122,-0.1687202135611729
106,5.457352732151044,8.0,0.6821690915188805,out_of_box,False,0.5887985800874521,0.8072443162116613,0.4868439053033775,-0.6863722074083904
107,5.6705528018114135,8.0,0.7088191002264267,out_of_box,False,0.4382392988791131,0.8637865131666523,0.4484469185569993,-0.5311067757974265
108,5.457352732151044,10.0,0.5457352732151044,out_of_box,False,0.862282315458722,0.9610941128799602,0.312207689268846,-1.6491502278270151
109,5.445708489183043,4.0,1.3614271222957608,out_of_box,False,0.0991078420127404,0.0758730874504305,0.9073015280411436,-0.3031954849695982
110,5.39039554030674,6.0,0.89839925671779,out_of_box,False,0.0642190844752444,0.3440174614618534,0.900793979222288,-0.5358879966882505
111,5.206864876545732,10.0,0.5206864876545731,out_of_box,False,0.7266631810506489,0.945494790891906,0.3490771525592065,-1.6633061773301392
112,4.824613870943713,2.0,2.4123069354718565,out_of_box,False,0.3052054575064726,0.0606772648117289,0.9088146480561358,-0.4559274200294581
113,5.063457483581024,2.0,2.531728741790512,out_of_box,False,0.2271096637382734,0.4198255636379649,0.8744471613542028,-0.4412777529048056
114,5.221344604365091,2.0,2.6106723021825453,out_of_box,False,0.3514071077266884,0.2683776011972403,0.9098825997982684,-0.6599497753588124
115,5.114744569534906,8.0,0.6393430711918633,out_of_box,False,0.3150711584553891,0.1441068882908399,0.9327098659589008,-0.7669335071772089
116,4.743657379090469,10.0,0.4743657379090469,out_of_box,False,0.4175459733737742,0.7959711165840396,0.4733584478831724,-1.1468196730421454
117,4.056085996817254,2.0,2.028042998408627,out_of_box,False,0.0616984687884991,0.3329388319565142,0.9068637279091312,-0.8073633061145797
118,4.1923554375468015,4.0,1.0480888593867004,out_of_box,False,0.0719830564106308,0.2843707169457869,0.926025809579353,-0.4882043688712894
119,4.482486136137995,6.0,0.7470810226896658,out_of_box,False,0.0469328911353738,0.1211468007328951,0.9238610924878948,-0.5603779154512433
120,6.182949527272972,10.0,0.6182949527272972,exact_match,True,0.6385208994142718,0.8944943574816656,0.3697450945985387,-1.0981870534730027
121,6.289549562103157,10.0,0.6289549562103157,out_of_box,False,0.4811787196938457,0.932989367843143,0.3334802195926298,-1.3402465894892082
122,5.769737201992342,10.0,0.5769737201992342,in_box_pred,True,0.4406507189391591,0.909510154376974,0.3799420973435737,-1.311453182628654
123,5.876337236822526,10.0,0.5876337236822526,out_of_box,False,0.2878314041029171,0.598121902041344,0.6528115836379963,-1.3665709876867056
124,5.656348633957955,6.0,0.9427247723263258,in_box_pred,True,0.0216273774759846,0.3621450261390208,0.9147947212843128,-0.3102629865565866
125,5.76294866878814,6.0,0.9604914447980234,out_of_box,False,0.2068033665429163,0.1741597188091665,0.8810738699272205,-0.1259386369398779
126,6.004165368150014,4.0,1.5010413420375035,in_box_pred,True,0.0358979214122202,0.2904552971923126,0.89885340511558,0.1514234499286074
127,6.110765402980198,4.0,1.5276913507450496,out_of_box,False,0.0193368950472122,0.1196926504646908,0.9374152204160614,-0.1067382582778436
128,6.027502197468055,6.0,1.0045836995780093,exact_match,True,0.0803054078882494,0.2058224448213799,0.9260806406075238,0.1414158584405125
129,6.134102232298241,6.0,1.0223503720497067,out_of_box,False,0.0576252109113285,0.0450910464786722,0.9378196524209698,-0.3237879326389415
130,5.936180017437248,8.0,0.742022502179656,in_box_pred,True,0.2186092713118247,0.4419164485789251,0.7711020866117768,-0.1934901388372158
131,6.0427800522674335,8.0,0.7553475065334292,out_of_box,False,0.1629661230210303,0.8248125964364159,0.468238154953834,-0.3747253667221319
132,6.052099220703988,8.0,0.7565124025879985,in_box_pred,True,0.3514324181582739,0.4032794241209796,0.7889791128491267,-0.2458171955326751
133,6.158699255534172,8.0,0.7698374069417715,out_of_box,False,0.4003815440220855,0.323810825162417,0.8357213668498005,-0.5541397666900933
134,5.757395858314291,2.0,2.8786979291571453,in_box_pred,True,0.1717238418083919,0.1202840571694714,0.9256549829438804,0.2143441042381721
135,5.863995893144476,2.0,2.931997946572238,out_of_box,False,0.2134341511893796,0.116131356087825,0.9047735241381344,-0.3263975298544828
136,6.139185970542546,2.0,3.069592985271273,in_box_pred,True,0.0563523977609129,0.0137397427233426,0.934421785090228,0.4252380211941015
