dataset_index,session_id,median_depth_um,Sq_um,Sa_um,Ssk,Sku,grad_rms_um_per_um,aniso_gradx_over_y,lap_rms_um,corr_len_um,pit_count_per_roi,pit_depth_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac
98,zro2_120_formal,1.2564,0.49912301398059983,0.331296064438061,-1.6294722835755195,3.7540099977464596,0.18896600738076635,1.3448350387717862,0.073267142216231,15.75,1254,2.451128125190735,0.15698803134661596,0.09892769642820291,0.13475978464007832,0.07289629007455467,0.2713494967031589,0.29555808943344497,0.33517022135605273,0.4509367828823495
99,zro2_120_formal,0.1551,0.27914185779015094,0.22022179156634564,0.042019565567209996,0.1635454936290266,0.2651783100960946,1.2735945240395101,0.24827938255715334,2.75,4,0.9819000959396362,0.14901486918135257,0.2849766537687313,0.11385505436160231,0.166362217604529,0.0715239935673806,0.06565284972198678,0.04612652459191448,0.027305588348369866
100,zro2_120_formal,3.7229,0.296958313100732,0.23675542699173094,0.1400892390833289,0.05789292654636213,0.18464219398118925,1.4850212697891176,0.08188101727579264,5.75,0,1.0451751947402954,0.1565524419180293,0.2779257058678433,0.10737314778590067,0.13073756605610534,0.10565419709018667,0.12658508366418272,0.14302186126598002,0.23196041452553676
101,zro2_120_formal,1.0191,0.5379812884155732,0.4481079370481513,0.18049777723785715,-0.7943932488124297,0.41265627797208626,2.430166923474282,0.19922098296978044,21.0,0,1.631192922592163,0.4526159680189695,0.7078241917364577,0.1325685095473058,0.06072204730339168,0.12929793265047695,0.057762877606311554,0.11661404479972333,0.04698588129685678
102,zro2_120_formal,2.3362,0.3524489165453417,0.2834339002845809,0.20373244852564462,0.026155137332445122,0.2576323229602411,1.9740195545890857,0.13686750504280118,21.0,0,1.2480744123458862,0.2731195549850744,0.6005003053565773,0.13262521083960288,0.14159887892545878,0.0692756611703372,0.03863393983100617,0.10232917444473522,0.08429592509150761
103,zro2_120_formal,38.7258,0.521592084376508,0.2966783456504345,3.3554568890590555,17.487833325451007,0.3023867435811533,0.9936011079699693,0.16057893585709926,4.75,4,1.158712387084961,0.27687643365055326,0.28177989354135907,0.26771044059560073,0.26343206345649,0.25150450769467064,0.23250353623891035,0.14010625429241047,0.07215277869708618
104,zro2_120_formal,45.4095,0.3470460712314604,0.23118631318211555,3.4920725798954515,31.86268586846657,0.18228808068827737,1.1476142356600192,0.08867431995792796,4.5,0,0.7995891571044922,0.18304307000651845,0.2781841090410409,0.16411295103020257,0.22362041299684085,0.1366277357956429,0.154989928488082,0.16111427587935107,0.21552307901891302
105,zro2_120_formal,12.884,0.3910787672317013,0.3066341552510858,0.6394884306561632,1.5884175031575616,0.2592904090676164,1.8407648724664345,0.08189525577607268,21.25,0,1.2220234870910645,0.24221354636524856,0.38359097600541936,0.1337183230742434,0.11691045968216322,0.10882383812943376,0.07743184421123374,0.1354186526477823,0.11990257275354933
106,zro2_120_formal,4.3336,0.6841640552731612,0.5769971418008208,0.09615787836873459,-0.7266952921422805,0.50096389783118,3.4431841817166644,0.15147383151513677,21.0,0,1.641824722290039,0.5242870051991294,0.5872427723946687,0.2161079417708009,0.09977481871898246,0.17560612156073263,0.06588078957646412,0.10739082794775351,0.02463847788504193
107,zro2_120_formal,15.7453,0.4830880106310848,0.3793317577242851,-0.38269803776390837,-0.11507998484729898,0.2877670457092837,2.9750336530420007,0.06866196733108244,21.25,20,1.8405847549438477,0.31744663855922806,0.4318062727591654,0.2292767830623105,0.22525147356334588,0.11683137324561024,0.058487956039926146,0.1372406843902316,0.0807073767954291
108,zro2_120_formal,2.5218,1.7863424642167578,1.6254705218042744,0.12507717055097586,-1.5986983304099796,1.2389103295577346,3.7461445566449982,0.5170496188901662,21.0,0,2.6387962102890015,1.641077548726263,0.8439734090572345,0.3227286791097328,0.032639663781864746,0.14927320278329623,0.006982874837089962,0.3316715611832923,0.03447363075142705
109,zro2_120_formal,41.7118,2.4609507748652515,0.7043954587727785,5.223462606282598,27.507290954386914,0.9405820670735724,1.5418320664438656,0.5019040973355416,8.75,0,0.8355693817138672,0.7598684483847116,0.09533908294141416,1.1601596279065218,0.22224379446068576,0.9534391138473418,0.15009978674955873,1.687542839837804,0.4702228826785268
110,zro2_120_formal,37.6478,1.5684377427191978,0.5840363840758801,-5.059740958682246,27.54200739352237,0.48883696001984095,1.1033168444429544,0.23489593324877087,10.75,1639,10.847661972045898,0.3907016723688086,0.06205202677950523,0.8450170032014901,0.29026610577339085,0.9039586226519125,0.33217162750599416,0.8394123241207638,0.2864284238595524
