scale,permutation,null_median_cos_pc1_next
DCT_8_16,186,0.9348635938909687
DCT_8_16,187,0.9675770253212801
DCT_8_16,188,0.9673231370310419
DCT_8_16,189,0.9651929867735325
DCT_8_16,190,0.9908989248045151
DCT_8_16,191,0.9927780895238091
DCT_8_16,192,0.9485521188613241
DCT_8_16,193,0.963080688594186
DCT_8_16,194,0.9661236073822865
DCT_8_16,195,0.9741849432275076
DCT_8_16,196,0.9753212023273213
DCT_8_16,197,0.9688639964391217
DCT_8_16,198,0.9733062195895226
DCT_8_16,199,0.9653505968032206
DCT_8_16,200,0.9925873086438173
DCT_16_32,1,0.9190715947134542
DCT_16_32,2,0.9614457787090618
DCT_16_32,3,0.9840967823537096
DCT_16_32,4,0.9487037331965908
DCT_16_32,5,0.9794087761500455
DCT_16_32,6,0.9273756006512075
DCT_16_32,7,0.9851043188727349
DCT_16_32,8,0.9849589713715254
DCT_16_32,9,0.9679627266372712
DCT_16_32,10,0.9469934169340326
DCT_16_32,11,0.988927188642545
DCT_16_32,12,0.9895828363986592
DCT_16_32,13,0.967701131090635
DCT_16_32,14,0.9560684616378329
DCT_16_32,15,0.9876527766883807
DCT_16_32,16,0.9894234416110883
DCT_16_32,17,0.9669276191589856
DCT_16_32,18,0.870193135828808
DCT_16_32,19,0.9860464270412264
DCT_16_32,20,0.9853016428537968
DCT_16_32,21,0.9858748945086624
DCT_16_32,22,0.9766939533986242
DCT_16_32,23,0.995736083238862
DCT_16_32,24,0.9389277065827294
DCT_16_32,25,0.9581911063782893
DCT_16_32,26,0.9171577903795347
DCT_16_32,27,0.9960138997049879
DCT_16_32,28,0.9933738680887142
DCT_16_32,29,0.8695987873018146
DCT_16_32,30,0.9912328483657294
DCT_16_32,31,0.9946969258948825
DCT_16_32,32,0.9920082497923609
DCT_16_32,33,0.9596866200201658
DCT_16_32,34,0.9926490870302666
DCT_16_32,35,0.9882948124509291
DCT_16_32,36,0.9705807539951015
DCT_16_32,37,0.9963516908491306
DCT_16_32,38,0.938985641221851
DCT_16_32,39,0.9900009162552582
DCT_16_32,40,0.9885865165479177
DCT_16_32,41,0.9005516618796398
DCT_16_32,42,0.9747352685160675
DCT_16_32,43,0.9581286810023295
DCT_16_32,44,0.9823702144905118
DCT_16_32,45,0.9859516370988661
DCT_16_32,46,0.9508160743784236
DCT_16_32,47,0.9728613174850613
DCT_16_32,48,0.989014303843459
DCT_16_32,49,0.9872928726621298
DCT_16_32,50,0.8963827979066478
DCT_16_32,51,0.9738484659062666
DCT_16_32,52,0.968462256979786
DCT_16_32,53,0.8976579750598301
DCT_16_32,54,0.8858659404476904
DCT_16_32,55,0.9897806681430656
DCT_16_32,56,0.9850674334829761
DCT_16_32,57,0.9291908881734218
DCT_16_32,58,0.7734760854167138
DCT_16_32,59,0.9778193092245656
DCT_16_32,60,0.959619828817049
DCT_16_32,61,0.9866894251229599
DCT_16_32,62,0.9922936726294589
DCT_16_32,63,0.972491581246491
DCT_16_32,64,0.994565469751829
DCT_16_32,65,0.9911389314072493
DCT_16_32,66,0.9940017801005041
DCT_16_32,67,0.9869941140153753
DCT_16_32,68,0.9952403610897654
DCT_16_32,69,0.9839927753074815
DCT_16_32,70,0.991908289496301
DCT_16_32,71,0.9703764177295752
DCT_16_32,72,0.9963511125150201
DCT_16_32,73,0.9233291644146902
DCT_16_32,74,0.9395987226026068
DCT_16_32,75,0.9046596430781615
DCT_16_32,76,0.9615388840460577
DCT_16_32,77,0.6208764540578122
DCT_16_32,78,0.9863884801884157
DCT_16_32,79,0.9678493717336955
DCT_16_32,80,0.9764020371788833
DCT_16_32,81,0.9904991947865359
DCT_16_32,82,0.9896546849482906
DCT_16_32,83,0.9841980706129481
DCT_16_32,84,0.965398094801818
DCT_16_32,85,0.9645258239806949
DCT_16_32,86,0.9930337096526564
DCT_16_32,87,0.9513106283889342
DCT_16_32,88,0.9818979819359553
DCT_16_32,89,0.9863342956513478
DCT_16_32,90,0.9702165772170035
DCT_16_32,91,0.9613878441620829
DCT_16_32,92,0.9783835365410962
DCT_16_32,93,0.9115704103928368
DCT_16_32,94,0.780823433128145
DCT_16_32,95,0.9527318323369018
DCT_16_32,96,0.9948019719593915
DCT_16_32,97,0.8717016701625193
DCT_16_32,98,0.9813429871983281
DCT_16_32,99,0.9978129280759875
DCT_16_32,100,0.9851526196374838
DCT_16_32,101,0.9314471396976035
DCT_16_32,102,0.9489053560237414
DCT_16_32,103,0.9952531397947502
DCT_16_32,104,0.9906255078936876
DCT_16_32,105,0.9733402078095509
DCT_16_32,106,0.6478511195357184
DCT_16_32,107,0.9400932924785335
DCT_16_32,108,0.9599638083041389
DCT_16_32,109,0.9750251907078153
