subset,scale,n,evr_pc1,evr_cum3,eigengap_l1_over_l2,theta1_q25_deg,theta1_q50_deg,theta1_q75_deg,theta1_q90_deg,theta1_q95_deg,theta3_q50_deg,loco_median_deg,loco_max_deg,baseline_pool,rand_theta1_q50_deg,rand_theta1_q25_deg,rand_theta1_q75_deg,rand_theta1_q90_deg,prank1,stable_call
formal pulse=2000fs,G2,24,0.6822074020530032,0.8237023421409075,9.458407771622799,3.094041691103262,3.9140557496146506,47.233628559457934,56.66752886518397,70.72130705233084,80.31534699339103,0.31342716822963657,44.820154636893776,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.74,not_called
formal pulse=2000fs,G4,24,0.7116709062824936,0.8478577883366112,9.906603363326953,2.955553088143501,3.8036735320350514,45.630080651778165,53.086507557223506,67.22276224661321,79.51877775823596,0.2817463091950623,43.540327314857116,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.73,not_called
formal pulse=2000fs,G8,24,0.7617132693164256,0.8833788297436135,10.924824070355028,2.6982180481520857,3.5440079765322654,42.672146583576215,47.67539881538505,60.00808984992716,75.56421764418012,0.23252819959084758,41.0608572170995,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.78,not_called
formal pulse=2000fs,G16,24,0.822682932405143,0.9258879007261195,12.491119991454692,2.2367213207214616,3.073712871850927,38.66640037837288,44.14754220898538,49.059330778110464,59.13388069554861,0.18415753378455701,38.076384007210514,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.74,not_called
formal pulse=2000fs,DCT_8_16,24,0.2726399924404301,0.5068209211183599,2.2538205961410567,12.252646227361296,19.10473912716105,62.510923632037844,83.30878622961968,86.5521644369678,76.98421543482691,0.8440236634080922,54.84384044888233,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.6,not_called
formal pulse=2000fs,DCT_16_32,24,0.3331076957682924,0.6009395054623062,1.9386120474977762,18.85480316230987,26.4963553065857,44.53607575912426,55.95052274906721,65.23937451819633,78.01116711693805,0.43336097697460507,42.952307455919815,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.43,not_called
formal pulse=2000fs,DCT_32_64,24,0.46464402163111007,0.7948511573482899,2.4464804933030537,11.642313725593183,15.522015905954845,46.689246256103544,66.3029405442751,75.10138927088599,77.38729879184497,0.3412529005275422,44.95771461170902,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.4,not_called
formal pulse=2000fs,DCT_64_inf,24,0.84220758543955,0.9470846954347116,12.055659036518271,2.1896580809237545,3.054344027351311,38.52909975891479,43.50323190864043,46.27283698313494,53.183037260491474,0.17900140838241485,38.958980230885416,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.8,not_called
formal pulse=4000fs,total,24,0.6143753253085499,0.8760517180627252,3.4953592057191716,2.131933753538533,2.7684831162947328,83.93276017232975,87.48387585237406,87.71163967910178,84.03377868879679,0.23184642263945593,87.1733716650652,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.83,not_called
formal pulse=4000fs,G2,24,0.6473561425621346,0.8963133344511724,3.5237847777041864,2.038706869915947,2.6006040638491097,83.38414989507758,87.46431744954089,87.69330278096814,83.00324729386944,0.20734678267737205,87.22250043853113,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.88,not_called
