subset,scale,n,evr_pc1,evr_cum3,eigengap_l1_over_l2,theta1_q25_deg,theta1_q50_deg,theta1_q75_deg,theta1_q90_deg,theta1_q95_deg,theta3_q50_deg,loco_median_deg,loco_max_deg,baseline_pool,rand_theta1_q50_deg,rand_theta1_q25_deg,rand_theta1_q75_deg,rand_theta1_q90_deg,prank1,stable_call
formal f=200kHz,G16,24,0.6002540734627568,0.8579279918680355,3.8367851620102695,4.4492643115382,6.477188840846434,61.81782914296865,71.0316860187626,75.78658853260424,54.23575733591496,0.2721225771359612,62.18004737872064,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.56,not_called
formal f=200kHz,DCT_8_16,24,0.22047041044562865,0.47625499540089833,1.651621466395757,15.087348783970723,52.38486292152841,73.090212673194,78.03124459693672,81.07480933545297,72.77694943915463,0.9156149792140209,69.45955150246049,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.2,not_called
formal f=200kHz,DCT_16_32,24,0.3145445810227361,0.6039751820396164,1.9363462067696735,19.950357999898653,30.691059482504038,49.99129889287636,65.38656441740623,79.8923040628782,77.22405438911693,0.285592857452742,41.21202849497974,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.39,not_called
formal f=200kHz,DCT_32_64,24,0.39140549737178276,0.7378721599683926,1.7913734711454419,15.903729998695919,26.539479405050262,53.8567856128298,73.42941995533705,79.53372565145757,56.920258419124856,0.7308772153974696,30.506002088879868,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.28,not_called
formal f=200kHz,DCT_64_inf,24,0.6172708881185659,0.8714924783752197,3.9290963412571256,4.210779143566266,6.293934068708722,61.55060715790143,71.18722669209467,77.27658893370196,55.98097939413414,0.22185975733586416,62.88566973302134,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.59,not_called
formal pulse=500fs,total,24,0.4478294477826242,0.8832649777121518,1.8530066610119627,9.003448620259997,30.31910225257602,76.09745459818686,86.65530972998405,88.30436247932917,85.33410571043788,0.21655620037133444,88.2899466992205,zro2_120_formal,9.317936743951655,4.500514019340029,32.29228735653507,56.01079429858033,0.27,not_called
formal pulse=500fs,G2,24,0.46185760157201383,0.9001608766017136,1.8892596941768864,8.754815665638816,27.90262644098991,76.00141213393633,85.66539242488308,87.19087728532591,84.81549446046944,0.21090924432751462,86.91103399694506,zro2_120_formal,8.994108991837098,3.9052322877249708,22.003346153305404,34.43835542074288,0.18,not_called
formal pulse=500fs,G4,24,0.48565884486462196,0.9239168161778171,1.971652782512877,8.391436947916834,24.018283526755813,75.52476367147271,84.13340287613443,85.49512469017668,83.59382956116215,0.18242390965909336,85.04312867816633,zro2_120_formal,7.939832912345029,3.6397554466495574,30.017116878369723,42.117384137155064,0.28,not_called
formal pulse=500fs,G8,24,0.531522316952818,0.9486700752479609,2.2157662468897525,7.578196063350342,17.022143672321285,73.41008392039224,80.57188395528269,82.03930763182504,80.55745968661887,0.14784166468155316,80.95402518124872,zro2_120_formal,9.529082221289144,3.8741582894145257,20.518046208023904,36.29497027989035,0.35,not_called
formal pulse=500fs,G16,24,0.6033941595185954,0.968520851302564,2.562573410779061,6.358135456302968,10.829815218490406,67.01500683843359,78.34247064340764,78.6834413283345,75.39508317757061,0.1197990139975923,75.80916976969549,zro2_120_formal,8.583076850916623,2.959741399859731,17.532365995263447,25.23152364445446,0.38,not_called
formal pulse=500fs,DCT_8_16,24,0.2535397925857276,0.5415638279523429,1.7114524270864615,12.43825979442179,36.289968114905264,76.87446605052949,82.72642818785465,85.48554523527602,81.5597048670868,0.983284768974334,36.23895772199739,zro2_120_formal,25.187342967876507,13.05120178318705,49.76153136259011,64.21061761860607,0.36,not_called
formal pulse=500fs,DCT_16_32,24,0.4728457320424277,0.8033262231854194,1.9862407552151116,12.246563732113485,20.29738305075002,56.29842353106212,65.13465698139719,70.74590730212789,83.70899206337414,0.2298677876612621,56.017370520685354,zro2_120_formal,20.657113623514384,10.096943294676853,38.0476084209202,48.417638833576525,0.51,not_called
formal pulse=500fs,DCT_32_64,24,0.43126892539499884,0.8959189414717353,1.636513424413035,16.448618470555818,32.6808425058296,58.14481638390486,83.92994938859806,86.84475830918997,72.67663756212333,0.15138534530371783,58.97380565205585,zro2_120_formal,9.569928778784604,4.095576896305128,34.02685990048635,43.37130660545102,0.26,not_called
formal pulse=500fs,DCT_64_inf,24,0.6372300092227622,0.9823392216765128,2.812350604147465,5.320763075684182,9.088895206148472,68.50749061575485,79.47283061786608,79.8564510869921,58.19440158258549,0.11535312438588906,77.87244783166989,zro2_120_formal,7.686152839997593,3.937016375712797,18.504004459982937,28.15688341624746,0.46,not_called
