feature,value_std,balance,response
pulse_duration_fs,1.9738177848514307,z1,-0.27283545740717885
pulse_duration_fs,1.9738177848514307,z2,-0.5012343904198912
pulse_duration_fs,1.9738177848514307,z3,0.10378053242876789
pulse_duration_fs,1.9738177848514307,z4,-0.2956130392592342
frequency_kHz,-0.7466242844121913,z1,0.3462719372402714
frequency_kHz,-0.7466242844121913,z2,-0.004832415762843989
frequency_kHz,-0.7466242844121913,z3,-0.20145271420352306
frequency_kHz,-0.7466242844121913,z4,-1.2601135285608445
frequency_kHz,-0.7466242844121913,z1,0.3462719372402714
frequency_kHz,-0.7466242844121913,z2,-0.004832415762843989
frequency_kHz,-0.7466242844121913,z3,-0.20145271420352306
frequency_kHz,-0.7466242844121913,z4,-1.2601135285608445
frequency_kHz,-0.7466242844121913,z1,0.3462719372402714
frequency_kHz,-0.7466242844121913,z2,-0.004832415762843989
frequency_kHz,-0.7466242844121913,z3,-0.20145271420352306
frequency_kHz,-0.7466242844121913,z4,-1.2601135285608445
frequency_kHz,-0.7466242844121913,z1,0.3462719372402714
frequency_kHz,-0.7466242844121913,z2,-0.004832415762843989
frequency_kHz,-0.7466242844121913,z3,-0.20145271420352306
frequency_kHz,-0.7466242844121913,z4,-1.2601135285608445
frequency_kHz,-0.7088205231761308,z1,0.31227499949105975
frequency_kHz,-0.7088205231761308,z2,-0.01713683133752797
frequency_kHz,-0.7088205231761308,z3,-0.19376746887951413
frequency_kHz,-0.7088205231761308,z4,-1.2446588471164475
frequency_kHz,-0.6993695828671159,z1,0.3033571965683206
frequency_kHz,-0.6993695828671159,z2,-0.020282060052732698
frequency_kHz,-0.6993695828671159,z3,-0.19169555238587654
frequency_kHz,-0.6993695828671159,z4,-1.240534843248505
frequency_kHz,-0.6993695828671159,z1,0.3033571965683206
frequency_kHz,-0.6993695828671159,z2,-0.020282060052732698
frequency_kHz,-0.6993695828671159,z3,-0.19169555238587654
frequency_kHz,-0.6993695828671159,z4,-1.240534843248505
frequency_kHz,-0.6206117469586568,z1,0.22319389310243332
frequency_kHz,-0.6206117469586568,z2,-0.04741532502151191
frequency_kHz,-0.6206117469586568,z3,-0.17226045628163483
frequency_kHz,-0.6206117469586568,z4,-1.2024893972528958
frequency_kHz,-0.6206117469586568,z1,0.22319389310243332
frequency_kHz,-0.6206117469586568,z2,-0.04741532502151191
frequency_kHz,-0.6206117469586568,z3,-0.17226045628163483
frequency_kHz,-0.6206117469586568,z4,-1.2024893972528958
frequency_kHz,-0.6206117469586568,z1,0.22319389310243332
frequency_kHz,-0.6206117469586568,z2,-0.04741532502151191
frequency_kHz,-0.6206117469586568,z3,-0.17226045628163483
frequency_kHz,-0.6206117469586568,z4,-1.2024893972528958
frequency_kHz,-0.6206117469586568,z1,0.22319389310243332
frequency_kHz,-0.6206117469586568,z2,-0.04741532502151191
frequency_kHz,-0.6206117469586568,z3,-0.17226045628163483
frequency_kHz,-0.6206117469586568,z4,-1.2024893972528958
frequency_kHz,-0.6206117469586568,z1,0.22319389310243332
frequency_kHz,-0.6206117469586568,z2,-0.04741532502151191
frequency_kHz,-0.6206117469586568,z3,-0.17226045628163483
frequency_kHz,-0.6206117469586568,z4,-1.2024893972528958
frequency_kHz,-0.4630960751417389,z1,0.03846096840925439
frequency_kHz,-0.4630960751417389,z2,-0.10503617365151213
frequency_kHz,-0.4630960751417389,z3,-0.12358367600717804
frequency_kHz,-0.4630960751417389,z4,-1.1105653576230479
frequency_kHz,-0.4630960751417389,z1,0.03846096840925439
frequency_kHz,-0.4630960751417389,z2,-0.10503617365151213
frequency_kHz,-0.4630960751417389,z3,-0.12358367600717804
frequency_kHz,-0.4630960751417389,z4,-1.1105653576230479
frequency_kHz,-0.1480647315079029,z1,-0.36649394396509066
frequency_kHz,-0.1480647315079029,z2,-0.2194217713471463
frequency_kHz,-0.1480647315079029,z3,-0.0032807929193668373
frequency_kHz,-0.1480647315079029,z4,-0.8981551783637898
frequency_kHz,-0.1480647315079029,z1,-0.36649394396509066
frequency_kHz,-0.1480647315079029,z2,-0.2194217713471463
frequency_kHz,-0.1480647315079029,z3,-0.0032807929193668373
frequency_kHz,-0.1480647315079029,z4,-0.8981551783637898
frequency_kHz,0.009450940309015101,z1,-0.5512095270418976
frequency_kHz,0.009450940309015101,z2,-0.2680303065075594
frequency_kHz,0.009450940309015101,z3,0.059044150051132616
frequency_kHz,0.009450940309015101,z4,-0.7975378904800703
frequency_kHz,0.009450940309015101,z1,-0.5512095270418976
frequency_kHz,0.009450940309015101,z2,-0.2680303065075594
frequency_kHz,0.009450940309015101,z3,0.059044150051132616
frequency_kHz,0.009450940309015101,z4,-0.7975378904800703
frequency_kHz,0.009450940309015101,z1,-0.5512095270418976
frequency_kHz,0.009450940309015101,z2,-0.2680303065075594
frequency_kHz,0.009450940309015101,z3,0.059044150051132616
frequency_kHz,0.009450940309015101,z4,-0.7975378904800703
frequency_kHz,0.5902899801339092,z1,-0.8295252920647757
frequency_kHz,0.5902899801339092,z2,-0.3279600522261963
