target,input_set,model,cv_variant,Q2_median,Q2_q25,Q2_q75,n_pos,n_folds,dA_median_median,R2_z1_median,R2_z2_median,R2_z3_median,R2_z4_median,R2_median,R2_q25,R2_q75
A2_32_64,A,spline,src_gkf,,,,0,5,,,,,,-0.022173828892696257,-0.037556708675613226,-0.0036511599852835364
A2_32_64,A,spline,src_gss,,,,0,5,,,,,,-0.05211029788895294,-0.18602715467849285,-0.0036702845179894528
A2_32_64,C,dummy,proc_gkf,,,,0,5,,,,,,-0.005950499931150821,-0.006156518748214879,-0.003061602200428837
A2_32_64,C,dummy,proc_gss,,,,0,5,,,,,,-0.001813043203308995,-0.06798304511014286,-0.0015035176658191318
A2_32_64,C,dummy,src_gkf,,,,0,5,,,,,,-0.024250972034080442,-0.030652082149032145,-0.00653189640684948
A2_32_64,C,dummy,src_gss,,,,0,5,,,,,,-0.003572396589730298,-0.06279653281530018,-0.003191514776581972
A2_32_64,C,extratrees,proc_gkf,,,,1,5,,,,,,-0.11834980951959095,-0.31031203526529527,-0.013686352214276498
A2_32_64,C,extratrees,proc_gss,,,,2,5,,,,,,-0.06492741038762895,-0.11726759440883572,0.055215907927343766
A2_32_64,C,extratrees,src_gkf,,,,3,5,,,,,,0.013628898172204584,-0.13627298794728326,0.01784430557395933
A2_32_64,C,extratrees,src_gss,,,,1,5,,,,,,-0.07959321917447437,-0.17026771013601216,-0.06286460831368368
A2_32_64,C,ridge,proc_gkf,,,,2,5,,,,,,-0.06378430765345944,-0.06866816313440594,0.06521580087889678
A2_32_64,C,ridge,proc_gss,,,,4,5,,,,,,0.025534085113179894,0.01650077801713523,0.05259849081128387
A2_32_64,C,ridge,src_gkf,,,,2,5,,,,,,-0.006487872275071416,-0.009715171263457334,0.05523596596525271
A2_32_64,C,ridge,src_gss,,,,2,5,,,,,,-0.04730544266540515,-0.08674219363061808,0.04411927195236265
A2_32_64,C,spline,proc_gkf,,,,0,5,,,,,,-0.021620334265796348,-0.03305729062617524,-0.01113656522259343
A2_32_64,C,spline,proc_gss,,,,0,5,,,,,,-0.010006609345603046,-0.10998348188198337,-0.003048732173332791
A2_32_64,C,spline,src_gkf,,,,0,5,,,,,,-0.02714891452015289,-0.052041798562916464,-0.0005860453030452906
