outer_fold,model_id,variant,alpha,inner_risk
4,Ridge,C3,0.01,0.8701538567570062
4,Ridge,C3,0.1,0.8700494865715391
4,Ridge,C3,1.0,0.8690809077573295
4,Ridge,C3,10.0,0.8644442563233252
4,Ridge,C3,100.0,0.9006761364282206
4,Ridge,C3,1000.0,1.0516626187923845
4,Ridge,C4,0.001,0.8377061681655468
4,Ridge,C4,0.01,0.8376028950472232
4,Ridge,C4,0.1,0.8366802688157297
4,Ridge,C4,1.0,0.8334255779528514
4,Ridge,C4,10.0,0.8391260676202971
4,Ridge,C4,100.0,0.8729161914074395
4,Ridge,C4,1000.0,1.0351167299978163
4,GAM,M_D,0.001,1.014448740860136
4,GAM,M_D,0.01,1.0105904859337507
4,GAM,M_D,0.1,0.989960121879303
4,GAM,M_D,1.0,0.9604290173465065
4,GAM,M_D,10.0,0.9660129878669872
4,GAM,M_D,100.0,1.0654813695038787
4,GAM,M_D,1000.0,1.1087126497292221
4,GAM,M_Dh,0.001,0.9032823204234814
4,GAM,M_Dh,0.01,0.8949497564657176
4,GAM,M_Dh,0.1,0.8579463079538773
4,GAM,M_Dh,1.0,0.8353103081199015
4,GAM,M_Dh,10.0,0.8752879411695922
4,GAM,M_Dh,100.0,1.0326223280901325
4,GAM,M_Dh,1000.0,1.104325896967226
4,GAM,M_U,0.001,1.0869686975995039
4,GAM,M_U,0.01,1.0407010374417192
4,GAM,M_U,0.1,0.9465622994941034
4,GAM,M_U,1.0,0.8635118118738176
