dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg
58,zro2_120_formal,59,59,zro2_120_formal:m059,single,formal,,59,-4500.0,10400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,4,3,1.0,0.0171484375,53.0235,3.0752,0.2168116630460932,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,11111111.111111112,1185.177777777778,2000:50:6:3,F59,FQ:2000:50:6:3|N4,20,0.5410256429762867
59,zro2_120_formal,60,60,zro2_120_formal:m060,single,formal,,60,-4500.0,9800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,1,5,1.0,0.0,1.3027,1.2604,0.2085582937734683,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,1000000.0,106.666,2000:50:10:5,F60,FQ:2000:50:10:5|N1,39,0.1419616593976832
60,zro2_120_formal,61,61,zro2_120_formal:m061,single,formal,,61,-4500.0,9200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,2,11,1.0,0.0028125,46.7247,3.1962,0.2543780531078886,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,4545454.545454546,242.4227272727273,2000:100:4:11,F61,FQ:2000:100:4:11|N2,14,1.4574193946709295
61,zro2_120_formal,62,62,zro2_120_formal:m062,single,formal,,62,-4500.0,8600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,4.0,5,9,1.0,0.0026953125,60.3441,1.7943,0.2003668176758904,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,13888888.888888888,740.7361111111111,2000:100:4:9,F62,FQ:2000:100:4:9|N5,40,0.13999369892528216
62,zro2_120_formal,63,63,zro2_120_formal:m063,single,formal,,63,-4500.0,8000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,6.0,4,5,1.0,0.0005078125,58.8036,2.4031,0.2306759311527162,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.05,13333333.333333334,711.1066666666667,2000:100:6:5,F63,FQ:2000:100:6:5|N4,29,0.2655826461831945
63,zro2_120_formal,64,64,zro2_120_formal:m064,single,formal,,64,-4500.0,7400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,2,5,1.0,0.0,35.8151,1.5879,0.2054230495618106,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.05,5000000.0,266.665,2000:100:8:5,F64,FQ:2000:100:8:5|N2,38,0.15354266414096548
64,zro2_120_formal,65,65,zro2_120_formal:m065,single,formal,,65,-4500.0,6800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,2,11,1.0,0.0,34.5322,1.1313,0.3142614997512097,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,2272727.272727273,121.21136363636364,2000:100:8:11,F65,FQ:2000:100:8:11|N2,46,0.11699638588997789
65,zro2_120_formal,66,66,zro2_120_formal:m066,single,formal,,66,-4500.0,6200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,1,5,1.0,0.0019140625,37.9908,12.6035,0.2427826624700142,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.025,20000000.0,533.33,2000:200:2:5,F66,FQ:2000:200:2:5|N1,1,51.2161118402466
66,zro2_120_formal,67,67,zro2_120_formal:m067,single,formal,,67,-4500.0,5600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,3,5,1.0,0.001171875,58.7545,2.1507,0.2008533366938337,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.025,60000000.0,1599.9900000000002,2000:200:2:5,F67,FQ:2000:200:2:5|N3,19,0.5710553307608884
67,zro2_120_formal,68,68,zro2_120_formal:m068,single,formal,,68,-4500.0,5000.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,2.0,5,11,1.0,0.003359375,62.5775,3.9126,0.216676176790173,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.055,45454545.45454545,1212.1136363636363,2000:200:2:11,F68,FQ:2000:200:2:11|N5,10,2.632800278119546
68,zro2_120_formal,69,69,zro2_120_formal:m069,single,formal,,69,-4500.0,4400.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,1,7,1.0,0.0,6.6174,0.77,0.1877983508926904,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.035,7142857.142857143,190.475,2000:200:4:7,F69,FQ:2000:200:4:7|N1,135,0.008803441865547434
69,zro2_120_formal,70,70,zro2_120_formal:m070,single,formal,,70,-4500.0,3800.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,4,9,1.0,0.0051171875,59.6402,4.3365,0.242062108894271,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.045,22222222.222222224,592.588888888889,2000:200:4:9,F70,FQ:2000:200:4:9|N4,16,0.8286724833273363
70,zro2_120_formal,71,71,zro2_120_formal:m071,single,formal,,71,-4500.0,3200.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,2,3,1.0,0.0,17.1843,2.8244,0.2431690322075443,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,13333333.333333334,355.55333333333334,2000:200:10:3,F71,FQ:2000:200:10:3|N2,15,1.0381866180510335
71,zro2_120_formal,72,72,zro2_120_formal:m072,single,formal,,72,-4500.0,2600.0,58400,2000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,3,1.0,0.0,48.4288,0.8232,0.2677030906769344,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.333333332,888.8833333333333,2000:200:10:3,F72,FQ:2000:200:10:3|N5,67,0.053376602046122094
72,zro2_120_formal,73,73,zro2_120_formal:m073,single,formal,,73,-5100.0,2600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,5,5,1.0,0.0,27.4222,0.4053,0.2420069736857397,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,2.5,1000000.0,2666.65,4000:2:2:5,F73,FQ:4000:2:2:5|N5,128,0.010144116755936404
73,zro2_120_formal,74,74,zro2_120_formal:m074,single,formal,,74,-5100.0,3200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,5,11,1.0,0.0,16.8609,0.6825,0.2617616812564403,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,454545.45454545453,1212.1136363636363,4000:2:2:11,F74,FQ:4000:2:2:11|N5,53,0.08836105284710177
74,zro2_120_formal,75,75,zro2_120_formal:m075,single,formal,,75,-5100.0,3800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,1,5,1.0,0.0,1.1292,0.2684,0.1936535990945772,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,2.5,66666.66666666667,177.77666666666667,4000:2:6:5,F75,FQ:4000:2:6:5|N1,148,0.005071678916020754
75,zro2_120_formal,76,76,zro2_120_formal:m076,single,formal,,76,-5100.0,4400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,3,3,1.0,0.0,11.1144,0.3956,0.2795348742781819,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,1.5,333333.3333333333,888.8833333333334,4000:2:6:3,F76,FQ:4000:2:6:3|N3,147,0.005079070074211376
76,zro2_120_formal,77,77,zro2_120_formal:m077,single,formal,,77,-5100.0,5000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,2,7,1.0,0.0,29.0964,0.2495,0.221109193483132,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,1428571.4285714286,761.9,4000:10:2:7,F77,FQ:4000:10:2:7|N2,160,8.896059194717021e-05
77,zro2_120_formal,78,78,zro2_120_formal:m078,single,formal,,78,-5100.0,5600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,1,7,1.0,0.0,4.4573,0.7182,0.2116540534822028,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,178571.42857142858,95.2375,4000:10:8:7,F78,FQ:4000:10:8:7|N1,95,0.025592888214772156
78,zro2_120_formal,79,79,zro2_120_formal:m079,single,formal,,79,-5100.0,6200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,2,7,1.0,0.0,6.5035,2.5381,0.1781264741931929,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,285714.28571428574,152.38,4000:10:10:7,F79,FQ:4000:10:10:7|N2,35,0.1602983272356915
79,zro2_120_formal,80,80,zro2_120_formal:m080,single,formal,,80,-5100.0,6800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,2.0,4,3,1.0,0.0,49.6996,0.4321,0.333048498185392,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,33333333.333333332,3555.5333333333333,4000:50:2:3,F80,FQ:4000:50:2:3|N4,144,0.0065457141198345435
80,zro2_120_formal,81,81,zro2_120_formal:m081,single,formal,,81,-5100.0,7400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,2.0,4,5,1.0,0.0,50.5904,0.4747,0.244300248684241,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,20000000.0,2133.32,4000:50:2:5,F81,FQ:4000:50:2:5|N4,88,0.029698409567145707
81,zro2_120_formal,82,82,zro2_120_formal:m082,single,formal,,82,-5100.0,8000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,2,7,1.0,0.0,37.2541,0.849,0.2540534280386008,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.14,3571428.5714285714,380.95,4000:50:4:7,F82,FQ:4000:50:4:7|N2,94,0.025759784671453394
82,zro2_120_formal,83,83,zro2_120_formal:m083,single,formal,,83,-5100.0,8600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,3,3,1.0,0.02703125,45.0402,7.107,0.2360371996598308,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.06,12500000.0,1333.325,4000:50:4:3,F83,FQ:4000:50:4:3|N3,17,0.8270310881096177
83,zro2_120_formal,84,84,zro2_120_formal:m084,single,formal,,84,-5100.0,9200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,5,9,1.0,0.001875,47.2083,3.7834,0.1912782651796232,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.18,6944444.444444444,740.7361111111111,4000:50:4:9,F84,FQ:4000:50:4:9|N5,33,0.23064990490466925
84,zro2_120_formal,85,85,zro2_120_formal:m085,single,formal,,85,-5100.0,9800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,1,11,1.0,0.0,19.0499,0.6865,0.214981192469221,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,757575.7575757576,80.80757575757576,4000:50:6:11,F85,FQ:4000:50:6:11|N1,139,0.008643916171343843
85,zro2_120_formal,86,86,zro2_120_formal:m086,single,formal,,86,-5100.0,10400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,1,5,1.0,0.0,4.8342,1.4247,0.2184113702873694,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,1000000.0,106.666,4000:50:10:5,F86,FQ:4000:50:10:5|N1,124,0.012118496631090759
86,zro2_120_formal,87,87,zro2_120_formal:m087,single,formal,,87,-5100.0,11000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,4,5,1.0,0.0,38.13,0.5949,0.2217853015581838,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,4000000.0,426.664,4000:50:10:5,F87,FQ:4000:50:10:5|N4,92,0.027354331289284325
87,zro2_120_formal,88,88,zro2_120_formal:m088,single,formal,,88,-5100.0,11600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,1,11,1.0,0.0,17.6588,1.2388,0.2301183740858917,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,1136363.6363636365,60.60568181818182,4000:100:8:11,F88,FQ:4000:100:8:11|N1,101,0.021978171125792943
88,zro2_120_formal,89,89,zro2_120_formal:m089,single,formal,,89,-5100.0,12200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,3,11,1.0,0.0,38.2797,0.5117,0.2518359902267632,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,3409090.909090909,181.81704545454548,4000:100:8:11,F89,FQ:4000:100:8:11|N3,130,0.009692023289159055
89,zro2_120_formal,90,90,zro2_120_formal:m090,single,formal,,90,-5100.0,12800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,2,3,1.0,0.0,41.9254,0.5362,0.2575169360045183,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.333333332,888.8833333333333,4000:200:4:3,F90,FQ:4000:200:4:3|N2,132,0.009089850321981174
90,zro2_120_formal,91,91,zro2_120_formal:m091,single,formal,,91,-5100.0,13400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,4.0,3,9,1.0,0.0,47.3335,0.5492,0.314331021392232,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.045,16666666.666666666,444.4416666666667,4000:200:4:9,F91,FQ:4000:200:4:9|N3,121,0.012965892979269235
91,zro2_120_formal,92,92,zro2_120_formal:m092,single,formal,,92,-5100.0,14000.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,6.0,1,7,1.0,0.0,25.7712,0.8919,0.2102416322631112,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.035,4761904.761904762,126.98333333333333,4000:200:6:7,F92,FQ:4000:200:6:7|N1,120,0.014376915678763365
92,zro2_120_formal,93,93,zro2_120_formal:m093,single,formal,,93,-5100.0,14600.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,2,5,1.0,0.0,35.6122,0.804,0.2288412453978626,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.025,10000000.0,266.665,4000:200:8:5,F93,FQ:4000:200:8:5|N2,151,0.00284684725295058
93,zro2_120_formal,94,94,zro2_120_formal:m094,single,formal,,94,-5100.0,15200.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,8.0,4,3,1.0,0.0,45.2375,0.5899,0.1941036193818045,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.015,33333333.333333332,888.8833333333333,4000:200:8:3,F94,FQ:4000:200:8:3|N4,58,0.0748535754752147
94,zro2_120_formal,95,95,zro2_120_formal:m095,single,formal,,95,-5100.0,15800.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,4,7,1.0,0.0,42.3406,1.0371,0.2575338259943329,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.035,11428571.42857143,304.76,4000:200:10:7,F95,FQ:4000:200:10:7|N4,87,0.030194130893034323
95,zro2_120_formal,96,96,zro2_120_formal:m096,single,formal,,96,-5100.0,16400.0,87300,4000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,200,10.0,5,7,1.0,0.0,44.5562,0.7039,0.2620964878130313,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,26.6665,0.035,14285714.285714285,380.95,4000:200:10:7,F96,FQ:4000:200:10:7|N5,141,0.007486477884579074
96,zro2_120_formal,97,97,zro2_120_formal:m097,single,formal,,97,-5700.0,16400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,3,1.0,0.0,29.3917,0.4818,0.2312065479935432,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,1.5,1333333.3333333333,3555.5333333333333,6000:2:2:3,F97,FQ:6000:2:2:3|N4,129,0.010065425398796816
97,zro2_120_formal,98,98,zro2_120_formal:m098,single,formal,,98,-5700.0,15800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,2,3,1.0,0.0,9.6619,0.2896,0.2227377845845031,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,1.5,333333.3333333333,888.8833333333333,6000:2:4:3,F98,FQ:6000:2:4:3|N2,150,0.004136603627160708
98,zro2_120_formal,99,99,zro2_120_formal:m099,single,formal,,99,-5700.0,15200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,1,5,1.0,0.0,1.2564,0.4991,0.2737394362492314,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,2.5,66666.66666666667,177.77666666666667,6000:2:6:5,F99,FQ:6000:2:6:5|N1,82,0.03449641361473773
99,zro2_120_formal,100,100,zro2_120_formal:m100,single,formal,,100,-5700.0,14600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,1,7,1.0,0.0,0.1551,0.2791,0.2669388105986918,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,47619.04761904762,126.98333333333333,6000:2:6:7,F100,FQ:6000:2:6:7|N1,102,0.021704856442672203
100,zro2_120_formal,101,101,zro2_120_formal:m101,single,formal,,101,-5700.0,14000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,4,7,1.0,0.0,3.7229,0.297,0.2225299677274862,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,190476.19047619047,507.93333333333334,6000:2:6:7,F101,FQ:6000:2:6:7|N4,119,0.014498822584953016
101,zro2_120_formal,102,102,zro2_120_formal:m102,single,formal,,102,-5700.0,13400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,3,9,1.0,0.0,1.0191,0.538,0.2557428063733719,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,83333.33333333333,222.22083333333336,6000:2:8:9,F102,FQ:6000:2:8:9|N3,136,0.00880150503145002
102,zro2_120_formal,103,103,zro2_120_formal:m103,single,formal,,103,-5700.0,12800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,5,11,1.0,0.0,2.3362,0.3524,0.2019995411055723,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,113636.36363636363,303.02840909090907,6000:2:8:11,F103,FQ:6000:2:8:11|N5,126,0.010970642746850464
103,zro2_120_formal,104,104,zro2_120_formal:m104,single,formal,,104,-5700.0,12200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,7,1.0,0.001171875,38.7258,0.5216,0.2060648978947149,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,2857142.8571428573,1523.8,6000:10:2:7,F104,FQ:6000:10:2:7|N4,134,0.00881536005176544
104,zro2_120_formal,105,105,zro2_120_formal:m105,single,formal,,105,-5700.0,11600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,5,3,1.0,0.0,45.4095,0.347,0.2210973175485457,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,8333333.333333333,4444.416666666667,6000:10:2:3,F105,FQ:6000:10:2:3|N5,159,0.0006223933755516944
105,zro2_120_formal,106,106,zro2_120_formal:m106,single,formal,,106,-5700.0,11000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,5,1.0,0.0,12.884,0.3911,0.1997940189790435,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.5,500000.0,266.665,6000:10:4:5,F106,FQ:6000:10:4:5|N1,156,0.0011113853943823246
106,zro2_120_formal,107,107,zro2_120_formal:m107,single,formal,,107,-5700.0,10400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,1,7,1.0,0.0,4.3336,0.6842,0.2354338863960754,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,178571.42857142858,95.2375,6000:10:8:7,F107,FQ:6000:10:8:7|N1,114,0.017491131527365863
107,zro2_120_formal,108,108,zro2_120_formal:m108,single,formal,,108,-5700.0,9800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,8.0,3,7,1.0,0.0,15.7453,0.4831,0.2335971190493372,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,535714.2857142857,285.71250000000003,6000:10:8:7,F108,FQ:6000:10:8:7|N3,113,0.018139825693109558
108,zro2_120_formal,109,109,zro2_120_formal:m109,single,formal,,109,-5700.0,9200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,10.0,1,7,1.0,0.0,2.5218,1.7863,0.1878952950239282,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.7,142857.14285714287,76.19,6000:10:10:7,F109,FQ:6000:10:10:7|N1,106,0.021053193676226243
109,zro2_120_formal,110,110,zro2_120_formal:m110,single,formal,,110,-5700.0,8600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,4.0,4,9,1.0,0.00140625,41.7118,2.461,0.1965103213940689,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.18,5555555.555555556,592.588888888889,6000:50:4:9,F110,FQ:6000:50:4:9|N4,23,0.4377278613174052
110,zro2_120_formal,111,111,zro2_120_formal:m111,single,formal,,111,-5700.0,8000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,6.0,3,5,1.0,0.0,37.6478,1.5684,0.2150505488878077,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.1,5000000.0,533.33,6000:50:6:5,F111,FQ:6000:50:6:5|N3,64,0.06617383285013667
111,zro2_120_formal,112,112,zro2_120_formal:m112,single,formal,,112,-5700.0,7400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,50,10.0,2,11,1.0,0.0,19.062,1.7889,0.1991207631831202,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,106.666,0.22,909090.9090909091,96.96909090909091,6000:50:10:11,F112,FQ:6000:50:10:11|N2,140,0.008523618108502244
112,zro2_120_formal,113,113,zro2_120_formal:m113,single,formal,,113,-5700.0,6800.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,2,11,1.0,0.0,37.4686,0.3491,0.2115452903964934,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.11,9090909.090909092,484.8454545454546,6000:100:2:11,F113,FQ:6000:100:2:11|N2,131,0.00959648408154204
113,zro2_120_formal,114,114,zro2_120_formal:m114,single,formal,,114,-5700.0,6200.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,4,9,1.0,0.0030078125,46.7777,2.3364,0.2328648386841992,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,22222222.222222224,1185.177777777778,6000:100:2:9,F114,FQ:6000:100:2:9|N4,51,0.09242902428516084
114,zro2_120_formal,115,115,zro2_120_formal:m115,single,formal,,115,-5700.0,5600.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,2.0,5,5,1.0,0.0,45.0307,0.5744,0.1784790847593706,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.05,50000000.0,2666.65,6000:100:2:5,F115,FQ:6000:100:2:5|N5,137,0.008685555253875092
115,zro2_120_formal,116,116,zro2_120_formal:m116,single,formal,,116,-5700.0,5000.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,8.0,4,5,1.0,0.0015234375,41.4228,0.65,0.2279146811871039,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.05,10000000.0,533.33,6000:100:8:5,F116,FQ:6000:100:8:5|N4,125,0.012048206059487749
116,zro2_120_formal,117,117,zro2_120_formal:m117,single,formal,,117,-5700.0,4400.0,116200,6000,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,100,10.0,1,9,1.0,0.0,4.1486,2.0789,0.2303790192743735,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,53.333,0.09,1111111.111111111,59.25888888888889,6000:100:10:9,F117,FQ:6000:100:10:9|N1,37,0.1541458759709913
