dataset_index,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,dc_offset_frac,dc_to_non_dc_ratio
97,0.13349603813790786,0.29954260368141394,0.20803663002827344,0.055326112018007474,0.3035986161343974,0.0023326647212493796,0.0023381187684145513
98,0.0848818773879423,0.10280425171627632,0.07575278536325815,0.3071397527683194,0.429421332764204,0.03770812221630793,0.03918574300258628
99,0.4557088135933951,0.28498048284991667,0.1663644529260157,0.06565373186474587,0.02729251876592677,1.343629271413279e-05,1.343647325052043e-05
100,0.23286742823639414,0.278016677852644,0.13078035970786558,0.1266265181053444,0.23170901609775166,0.0003272177248626827,0.0003273248313492879
101,0.12863269287525392,0.7185930341121279,0.06164587297051676,0.058641682444249464,0.03248671759785205,0.014986009972913335,0.015214007237096438
102,0.13526381359224532,0.601803283500144,0.14190612313957102,0.03871776856306615,0.08230901120497355,0.0021651230215771833,0.002169820950870614
103,0.1538732661659978,0.28880232791306104,0.2699972386851963,0.23829791994708183,0.04902924728866288,0.024315712489048878,0.024921701415403757
104,0.1289323434886174,0.2809072300379764,0.2258094145328173,0.1565071119463117,0.20784389999427713,0.00969402245918495,0.009788916434956503
105,0.30340930229258073,0.38517167379767,0.11739222311527381,0.07775092456726605,0.11627587622720963,0.004103878607337995,0.004120789828560761
106,0.2230525226536289,0.5887985800874521,0.1000391564644707,0.06605533040361086,0.022054410390837356,0.0026423428068603374,0.0026493432800192
107,0.20678233127112366,0.4382392988791131,0.22860725763690867,0.059359306394572466,0.06701180581828212,0.01467925431699457,0.014897945041052792
108,0.08370779560325407,0.862282315458722,0.033347738873739666,0.007134359232727969,0.013527790831556457,0.02123307653798689,0.02169370054198707
109,0.06454905024000634,0.09910784201274044,0.23102910359706982,0.15603323938476144,0.4492807647654221,0.03802685029547698,0.03953005373087305
110,0.03009744726423499,0.06421908447524446,0.30040313805057417,0.34377213628955006,0.26150819392039626,0.033744761599250474,0.03492323793773318
111,0.06914411267540226,0.7266631810506489,0.13428086666800515,0.04128185789726993,0.028629981708673837,3.323124492050881e-05,3.323234927284678e-05
112,0.16016530531710824,0.3052054575064726,0.3056324277034527,0.11331653246180828,0.11568027701115824,0.009477699677196335,0.009568385965775455
