session_id,measurement_id,sample_id,roi_within_measurement,shared_height_source_id,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction
zro2_60_pass,1,1,slot_1,zro2_60_pass:m001,37.795,39.63,43.581,48.656,49.4,1528320,1.0,3.9510000000000005,5.786000000000001,11.604999999999997,9.025999999999996,2.4010000000000034,0.12600000000000477,5.299937185929648e-05
zro2_60_pass,1,2,slot_2,zro2_60_pass:m001,4.139,7.803,44.169,48.885,49.339,1528320,1.0,36.366,40.029999999999994,45.199999999999996,41.082,3.3460000000000036,0.10099999999999909,0.16667844430485762
zro2_60_pass,2,3,slot_1,zro2_60_pass:m002,11.076,13.96,59.923,63.812,64.309,1528320,1.0,45.963,48.847,53.233,49.852,3.0009999999999977,0.11299999999999955,0.21649850816582913
zro2_60_pass,2,4,slot_2,zro2_60_pass:m002,4.806,7.089,59.374,62.87,63.339,1528320,1.0,52.285000000000004,54.568000000000005,58.533,55.781,2.559999999999995,0.09100000000000108,0.2275047110552764
zro2_60_pass,3,5,slot_1,zro2_60_pass:m003,1.864,3.677,43.55,46.651,47.259,1528320,1.0,39.873,41.686,45.395,42.974000000000004,1.8200000000000003,0.10600000000000165,0.2315640703517588
zro2_60_pass,3,6,slot_2,zro2_60_pass:m003,10.943,13.122,42.591,47.78,48.827,1528320,1.0,29.469,31.648000000000003,37.884,34.658,2.2950000000000017,0.08500000000000085,0.20700900335008376
zro2_60_pass,4,7,slot_1,zro2_60_pass:m004,5.985,8.433,42.08,50.825,51.739,1528320,1.0,33.647,36.095,45.754,42.392,5.5120000000000005,0.10700000000000642,0.19211814279731992
zro2_60_pass,4,8,slot_2,zro2_60_pass:m004,23.816,27.031,43.867,52.069,52.665,1528320,1.0,16.836,20.051,28.849,25.038000000000004,3.939,0.08899999999999864,0.03849848199329983
zro2_60_pass,5,9,slot_1,zro2_60_pass:m005,5.617,9.163,39.127,46.177,46.839,1528320,1.0,29.964000000000002,33.510000000000005,41.222,37.013999999999996,5.0049999999999955,0.11599999999999966,0.18743849455611392
zro2_60_pass,5,10,slot_2,zro2_60_pass:m005,19.316,27.439,40.936,45.52,46.359,1528320,1.0,13.497,21.62,27.043000000000003,18.081000000000003,2.6019999999999968,0.11200000000000188,0.05155922843383585
