base_condition_group,dataset_index,pass_count,median_depth_um,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,ilr_z1,ilr_z2,ilr_z3,ilr_z4
T08,148,2,29.4464,0.0866429390622887,0.401710597995235,0.1530884814661828,0.1079479121421175,0.2506100693341757,0.1642174725294053,-1.0846568296883292,-0.0585897164249389,-0.5955602669668637
T08,150,3,38.5678,0.1319735954017546,0.1886239553165941,0.1714457058799206,0.0588597350536702,0.4490970083480607,-0.0522625629574003,-0.2525456694938448,0.0433302917742516,-1.436898733826959
T08,151,4,44.2194,0.0566995947075989,0.1255392642729608,0.2216351454103476,0.1727374584945551,0.4233885371145375,-1.203352751763411,-0.5620448925305433,-0.1624820293685994,-0.6339335500093093
T08,124,5,47.4393,0.0139458484855008,0.0216273774759846,0.0459204288568025,0.1332921989600497,0.7852141462216621,-2.490931732030893,-0.3102629865565866,-1.5940789343956272,-1.2539921992380745
T08,125,6,52.2079,0.173064488915682,0.2068033665429163,0.1072543960188895,0.0367875927053739,0.476090155817138,0.4681850826390861,-0.1259386369398779,-0.1716115705788582,-1.8105091577522692
T09,182,1,6.8128,0.1299184882741991,0.2227624333178619,0.5462644494589487,0.0681016187162349,0.0329530102327554,0.5076777904708379,-0.3812710159046805,1.9963842730047148,0.5133018007402409
T09,183,2,22.3581,0.0370877599694834,0.7202682584473413,0.1730908346032604,0.0238558727425999,0.0456972742373149,1.1471064860214593,-2.0975168160602387,1.3527568176833369,-0.4596252257140072
T09,180,3,30.3552,0.0493143819264861,0.4111016568530389,0.0924233291222272,0.0501803580373813,0.3969802740608661,0.164205299733581,-1.4995081502942065,-0.3456848176245672,-1.462482733162149
T09,181,4,36.6176,0.1136640574206662,0.2658185167522623,0.2746861050764241,0.063800630829844,0.2820306899208034,0.0221585103145435,-0.6007342862334806,0.5852153702935383,-1.0509394451797336
T10,170,1,6.387,0.3222192099555758,0.3336929555162605,0.2046372597808515,0.0637714407087469,0.0756791340385651,1.3054540541846795,-0.0247410900691029,0.8820898174263312,-0.1210545807846844
T10,168,2,12.6613,0.2334016215666083,0.1913327549278874,0.0732233529612149,0.1188583860618312,0.3831838844824579,0.3798273314539622,0.1405350564302773,-0.8734141257571413,-0.8277266389481224
T10,169,3,19.7162,0.139110901392404,0.1842514902661812,0.0972125915663911,0.11686070103686,0.4625643157381632,-0.0903044279722172,-0.1987183265929584,-0.7119718535876758,-0.9728396112795556
T10,171,4,25.5787,0.1824824752859547,0.2025555550279888,0.1880534564447802,0.1358203682629237,0.2910881449783524,-0.0164985263808695,-0.0737937005648459,-0.045522454633123,-0.5390225028288831
T10,138,5,28.9433,0.2343816994045673,0.1847908933976274,0.3851598078569335,0.1240140820867894,0.0716535172540823,0.3535980312764513,0.1680977377995088,1.1492513118229006,0.3878854626476209
T10,139,6,32.6052,0.3288790109967376,0.1798468419549713,0.1628379067696164,0.087878949782886,0.2405572904957885,0.5221692838112402,0.4267985690410076,0.0925057827113776,-0.7120550991915953
T11,186,1,0.2429,0.5068174730020572,0.1825270019056839,0.0834120425198423,0.0280404329832627,0.199203049589154,1.4974036238948971,0.7221347853067828,0.0896567254799913,-1.3864081088644644
T11,187,2,2.0076,0.4607508265488793,0.1519809787257946,0.0776302559769007,0.0256262164277165,0.2840117223207086,1.274488490525181,0.7842535575418991,-0.0770433616661463,-1.700874373152231
T11,184,3,3.3878,0.1034720292099907,0.0631820767179308,0.0387458916919257,0.0283408624808966,0.7662591398992559,-0.1697453638953186,0.3488021013448888,-1.0907478309030922,-2.331483614536927
T11,185,4,5.1213,0.4280997709005885,0.1389519509063684,0.0827897128580899,0.044263006506616,0.3058955588283371,0.9349733256178882,0.7956564068517197,-0.277929462509593,-1.3669042098656063
T12,159,1,8.4816,0.2697822138304012,0.4015733472101155,0.1376883961962855,0.034705954019306,0.1562500887438917,1.4117167627239788,-0.2812695282973182,0.5109705628363451,-1.0638751026033906
T12,157,2,16.2982,0.1159105787829061,0.2648002595102144,0.2476510805374069,0.1146580637726543,0.2569800173968182,-0.1114729525653925,-0.5841810634522199,0.2992823208716321,-0.570666276560083
T12,158,3,23.4702,0.220039950522787,0.4961240478265122,0.2172985923591921,0.0178172345045051,0.0487201747870032,1.918278062773774,-0.5748897410971575,1.6314766779846064,-0.7112977970838272
T12,156,4,28.7588,0.1115382195938841,0.4358789631566422,0.129235709623682,0.1602168902072193,0.1631302174185722,0.4217035348136134,-0.9637846254921072,-0.1828141298692643,-0.0127422767948722
T12,132,5,32.688,0.2482358777267946,0.3514324181582739,0.1251292899671758,0.0285386504419942,0.2466637637057614,1.232727130860476,-0.2458171955326751,0.3263575992791173,-1.5250644327693037
T12,133,6,34.7831,0.1828645983080574,0.4003815440220855,0.2087272660658339,0.0439739633808505,0.1640526282231726,0.9409626869370036,-0.5541397666900933,0.7341414321818878,-0.9309694078383698
T13,193,1,1.2348,0.2690524332539119,0.5261741447507422,0.1116140320737963,0.0338540034242549,0.0593053864972947,1.9977280526974803,-0.474274868869831,0.7451903653953813,-0.3964343784937665
T13,194,2,3.7196,0.3608115784149789,0.3517594854261314,0.1152462418776469,0.0281145231311569,0.1440681711500858,1.6699371960629004,0.0179663222611397,0.4848231231689481,-1.155412705378168
T13,195,3,5.9768,0.2387928117061545,0.2138727626229319,0.1933082294283407,0.090555686090553,0.2634705101520198,0.3349410869107767,0.0779337797703519,0.1831669209698365,-0.7551734029479078
T13,192,4,7.6827,0.2300960384325308,0.2693234213407359,0.1907240526838704,0.055895162061334,0.2539613254815286,0.6354046005803358,-0.1113100533321576,0.3841597807087958,-1.0703504786751554
T13,130,5,9.9757,0.1662760914935347,0.2186092713118247,0.1407050283595734,0.0431538873075261,0.431255721527541,0.3553857481832447,-0.1934901388372158,0.025253286401164,-1.627709417518276
T13,131,6,11.856,0.0959282627585313,0.1629661230210303,0.0923607707681964,0.1538930880860027,0.494851755366239,-0.4675740236083243,-0.3747253667221319,-0.8937011100974231,-0.8259007950195495
T14,166,1,2.3888,0.131864591286709,0.6945002041668196,0.0716871927000082,0.0550310716070149,0.0469169402394482,1.828978227291688,-1.1747991448331432,0.2810166668679553,0.1127970759845476
T14,165,2,7.957,0.0572278093960777,0.7778128600771657,0.0719259328344129,0.0280289185231204,0.0650044791692229,1.55989888462234,-1.8451569596223183,0.4260400768995118,-0.594831939533045
T14,164,3,11.0416,0.0738342814440951,0.6764301662347564,0.0840533278558371,0.0196130101566055,0.1460692143087059,1.4008016720901542,-1.5662458140815316,0.3684968262547267,-1.4197908320725725
T14,167,4,15.4212,0.0022327678920304,0.0301198360435335,0.0091307090722022,0.0700192542684931,0.8884974327237405,-2.5331461376398523,-1.8398507875353969,-2.7005686925936545,-1.7965896810320718
T14,122,5,17.1229,0.0689635196317126,0.4406507189391591,0.0904637052332133,0.0275595556110118,0.3723625005849029,0.6359348889382574,-1.311453182628654,-0.0923946384165214,-1.8409656019449188
T14,123,6,19.3299,0.0416687597581662,0.2878314041029171,0.0594657330665021,0.0422306012170434,0.5688035018553712,-0.0306324760436561,-1.3665709876867056,-0.7821546028736771,-1.8387533528533468
T15,147,1,18.3309,0.1029819131885661,0.1558258281900654,0.2919908929436786,0.24945334196451,0.1997480237131797,-0.7186531806043723,-0.2928733932939545,0.2192769517417443,0.15712987533545
T15,145,2,30.3235,0.0942325732618988,0.1444384491418675,0.337370850901599,0.1377284764536379,0.2862296502409966,-0.7760616524833731,-0.3019965021691972,0.4328603141837531,-0.5172558769825538
T15,146,3,36.1399,0.1091754604511518,0.1241892480864522,0.1106121151008821,0.1031645833256382,0.5528585930358757,-0.5058448308442649,-0.0911109063822424,-0.6284446089718912,-1.1870743538149608
T15,144,4,40.296,0.0639313492759867,0.0980992963841571,0.2842038523384373,0.2581532534087245,0.2956122485926943,-1.3790225383956536,-0.3027621608401571,0.0231809513553202,-0.0958095822060042
T15,134,5,40.9119,0.2325292340215332,0.1717238418083919,0.1137931762067282,0.0256294818020688,0.4563242661612778,0.6539901582468458,0.2143441042381721,0.0415670755364736,-2.0360859361354837
T15,135,6,40.9057,0.1345226446133213,0.2134341511893796,0.1477962332666596,0.1661934259507028,0.3380535449799363,-0.1952082429533842,-0.3263975298544828,-0.3856670899364486,-0.5020825654197272
