dataset_index,band,A2,theta_k_deg,theta_stripe_deg,angular_entropy
79,16_32,0.1929239998874151,42.312904429325044,132.31290442932504,0.7336635736318113
79,32_64,0.34385352460989826,22.99053363131689,112.9905336313169,0.4789151438945243
79,64_inf,0.4752937761016908,-90.0,0.0,0.16059740341328133
80,8_16,0.13666930889745824,-39.7405076789094,50.2594923210906,0.9218147487423197
80,16_32,0.2773299451393698,-58.070988866334716,31.929011133665284,0.7859282879463367
80,32_64,0.3685321317307529,27.92401252669029,117.92401252669029,0.49997005234637315
80,64_inf,0.9634877078114916,-3.574830884001107e-15,90.0,0.025442159291253527
81,8_16,0.24054998943219763,48.977865734731154,138.97786573473115,0.9430846333186513
81,16_32,0.10297912586909913,38.748707381545046,128.74870738154505,0.8449548988632242
81,32_64,0.1491178307697204,50.52229841352608,140.52229841352607,0.5658208714602594
81,64_inf,0.24521379685368183,-90.0,0.0,0.18495046350124428
82,8_16,0.44207952599072353,81.29026138448454,171.29026138448455,0.8578309613357369
82,16_32,0.6642861066813163,80.55698329259513,170.55698329259513,0.6420096700909309
82,32_64,0.36223798979136285,74.62691350328409,164.62691350328407,0.5178291399068149
82,64_inf,0.7949008930318886,-90.0,0.0,0.09226938035623136
83,8_16,0.0760164024676483,77.66793064656581,167.66793064656582,0.932939635730679
83,16_32,0.19403061465669277,72.00486691432712,162.00486691432712,0.7510496115332986
83,32_64,0.06734834008671237,83.72821894597645,173.72821894597644,0.44390697281901575
83,64_inf,0.3053538488615827,-90.0,0.0,0.1802065960896848
84,8_16,0.5378573726755123,2.354987805134753,92.35498780513475,0.6772098717779299
84,16_32,0.32602144281775797,39.0508032526845,129.0508032526845,0.7944820232141169
84,32_64,0.3488141894771367,-80.08710260604845,9.912897393951553,0.5248311335748951
84,64_inf,0.6353604637926931,-90.0,0.0,0.13252138492756257
85,8_16,0.5009035509801845,-7.086787178195578,82.91321282180442,0.730993405036829
85,16_32,0.1691418785946214,24.254795549535636,114.25479554953563,0.7771130309916994
85,32_64,0.09406995451913291,-55.32638134329418,34.67361865670582,0.5387089564141968
85,64_inf,0.9653814624495476,-90.0,0.0,0.024382142092484953
