registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,outer_reference_scale_um,bootstrap_u_mad_um,bootstrap_v_mad_um,bootstrap_u_ci_span_um,bootstrap_v_ci_span_um,bootstrap_u_q025_um,bootstrap_u_q975_um,bootstrap_v_q025_um,bootstrap_v_q975_um,bootstrap_replicates,u_multimodal,v_multimodal,center_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,qa_v3_status,qa_v4_status,qa_v5_vs_v2_center_shift_um,qa_v5_vs_v3_center_shift_um,qa_v5_vs_v4_center_shift_um,paired_center_separation_um,slot_assignment_conflict
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,25,25,single,-0.7000000000025182,identity,-8.055176387953662,44.57460257349866,-0.75,-1.25,18.63503222164436,25.809589311919446,49.56911352493587,26.475694526274786,120.48942958477446,44.444621533563804,76.04480805121065,0.5244207380910667,0.25,0.25,1.5,2.25,-1.25,0.25,-3.0,-0.75,256,False,False,False,fixed-domain_component,PASS,,REVIEW,30.964030720501196,10.465137197528556,4.242640687119285,PASS,PASS,3.970625726671249,1.295410757656835,0.5590169943749458,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,26,26,single,-0.7000000000025182,identity,14.611338634235898,7.241908705682643,-16.5,17.5,1.3850781337216698,0.30346267198940235,16.150583025525904,24.04393894725775,41.883062778494725,1.6885408057110722,40.194521972783654,0.15201665384234858,3.5,0.25,32.75,2.25,-20.0,12.75,16.0,18.25,256,True,False,False,fixed-domain_component,STOP,axis-pair evidence below hard minimum; bootstrap CI span above hard maximum; bootstrap MAD above hard maximum; bootstrap centre distribution is multimodal; bootstrap CI span above review threshold; bootstrap MAD above review threshold,PASS,1.471323456776685,3.200806243901139,1.5,STOP,STOP,10.64837850854187,18.424440400259062,19.50160249825639,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,27,27,single,-0.7000000000025182,identity,-26.799758445374035,-22.96912902341338,-1.0,2.75,105.85681550732279,188.06930725165228,248.22515172663472,66.26835370435248,608.4196281899622,293.92612275897505,314.49350543098717,0.19455245564944493,0.5,0.75,2.40625,2.25,-2.25,0.15625,1.5,3.75,256,False,False,False,fixed-domain_component,PASS,,PASS,217.7169123225425,18.153549712018794,2.5495097567963922,PASS,PASS,3.6148990821492206,2.213207067441189,1.2499999999999996,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,28,28,single,-0.7000000000025182,identity,-20.478155176558914,30.234582436543064,-2.25,-2.375,50.421722290124066,62.9951626556707,112.84790616050262,58.095279948556666,284.3600710548541,113.41688494579476,170.9431861090593,0.1471656479392214,0.75,1.375,6.25,5.0,-3.75,2.5,-5.5,-0.5,256,False,False,False,fixed-domain_component,REVIEW,bootstrap CI span above review threshold,PASS,60.385376535045964,7.304252765337843,1.4142135623730951,REVIEW,PASS,1.5281921494212276,3.1551355988929393,1.6441183047457428,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,29,29,single,-0.7000000000025182,identity,-32.48269122000359,22.750909286531403,-1.75,1.25,105.79515811870611,186.6082493745821,243.40774142742225,72.2318904106713,608.0430393313818,292.4034074932882,315.6396318380936,0.1724866818502697,0.875,0.5,2.0,3.0,-2.75,-0.75,-0.25,2.75,256,False,False,False,fixed-domain_component,PASS,,PASS,198.63212805612858,16.825246003939167,2.0615528128088303,PASS,PASS,1.7556842178835497,2.0850483320958855,1.4577379737113232,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,30,30,single,-0.7000000000025182,identity,3.5666987110515036,-4.7939321339150744,3.625,-4.75,0.9773973505505873,0.0040843757710232985,82.69330274241076,51.58262080852383,135.2574052772562,0.9814817263216106,134.27592355093458,0.2685296074300733,4.0,1.0,29.25,6.0,-18.25,11.0,-8.75,-2.75,256,True,False,False,domain_midpoint_fallback,STOP,axis-pair evidence below hard minimum; bootstrap CI span above hard maximum; bootstrap MAD above hard maximum; bootstrap centre distribution is multimodal; bootstrap CI span above review threshold; bootstrap MAD above review threshold; segmentation initializer unavailable,REVIEW,63.92183603613607,5.339640529942505,3.905124837953327,STOP,STOP,8.024454438703888,2.021002639763712,13.625000000000002,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,31,31,single,-0.7000000000025182,identity,-42.93156850222616,-9.788704811116684,-0.75,-1.0,56.89559607823289,64.86372920207647,144.57120029287134,94.58437340016448,360.9148989733452,121.75932528030935,239.15557369303582,0.1451147583179867,0.25,0.5,3.75,3.0,-2.5,1.25,-3.0,0.0,256,False,False,False,fixed-domain_component,PASS,,PASS,63.98068442589118,7.531079060444172,2.692582403567252,PASS,PASS,11.530765624762065,1.0495553307141194,1.7677669529663624,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,32,32,single,-0.7000000000025182,identity,-51.5936000364972,-4.920271938398432,-3.0,3.0,102.29395455527055,197.24368038822078,243.9107978235323,63.582360716994984,607.0307934840187,299.5376349434913,307.4931585405273,0.19052693055145412,0.25,0.5,4.0,2.25,-3.75,0.25,1.75,4.0,256,False,False,False,fixed-domain_component,PASS,,REVIEW,215.62556725788465,17.01862213103275,0.5,PASS,PASS,2.1443089646282676,1.722447088813722,1.0307764064044143,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,33,33,single,-0.7000000000025182,identity,-6.218417702830949,4.4066899500606205,-2.75,5.0,75.65591650790608,150.51270288632995,195.35691616683766,49.42298341128851,470.9485189723622,226.16861939423603,244.77989957812616,0.2729963042994543,0.25,0.5,2.15625,2.25,-3.5,-1.34375,3.25,5.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,197.87470966987394,18.752671034058448,3.5,PASS,PASS,3.0951469748308953,1.5320204514055644,1.9525624189766635,,
multiband_integrated_step_contrast_bootstrap,3,zro2_120_formal,34,34,single,-0.7000000000025182,identity,-8.220676816007655,-0.11050345915569793,-2.75,3.5,138.81632571930294,262.95698069273755,336.34963448242524,95.96228641380218,834.0852273082679,401.7733064120405,432.31192089622743,0.15945942667384905,0.5,0.5,2.5,1.5,-3.25,-0.75,3.0,4.5,256,False,False,False,fixed-domain_component,PASS,,REVIEW,288.3244735998517,16.070191656285957,4.0,PASS,PASS,6.315524679532111,1.8693170275250823,0.2499999999999985,,
