cv_variant,band,fold_a,fold_b,theta_pc1_deg,theta_pc123_deg
proc_gss,32_64,1,2,9.161133530712682,29.95842329342115
proc_gss,32_64,1,3,9.127038786838698,71.10925877517546
proc_gss,32_64,1,4,8.888509966879095,32.820696977424035
proc_gss,32_64,2,3,4.080145912199662,58.5462786638777
proc_gss,32_64,2,4,4.053336874460316,35.404385279389025
proc_gss,32_64,3,4,4.317414338516734,87.91193100113512
proc_gss,64_inf,0,1,68.76097791862186,79.04701192683396
proc_gss,64_inf,0,2,14.462433605990723,67.95359737159265
proc_gss,64_inf,0,3,3.6344693097136065,4.849608791177841
proc_gss,64_inf,0,4,5.084661626267594,7.76979124312599
proc_gss,64_inf,1,2,58.670160475753335,57.32231628935584
proc_gss,64_inf,1,3,71.71167652099152,78.68778785239432
proc_gss,64_inf,1,4,64.77040036811619,80.92686053491617
proc_gss,64_inf,2,3,16.877089285017753,66.71604563408589
proc_gss,64_inf,2,4,11.713018639745181,69.07495794008099
proc_gss,64_inf,3,4,7.353465798840509,8.069446898064049
