target_id,family,cv_variant,model,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_8_16_PC2,D,proc_gss,ridge,-0.0215345666188569,-0.0367498137770621,0.0766017134844797,5,2,R-A
DCT_8_16_PC2,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC2,D,src_gkf,extratrees,-0.20250944599192167,-1.6783281309246816,0.18333796748905495,5,2,R-A
DCT_8_16_PC2,D,src_gkf,ridge,0.0046973035504419,-0.010843541086574815,0.0514346598316367,5,3,R-A
DCT_8_16_PC2,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC2,D,src_gss,extratrees,-0.2964301350921088,-0.4442927401784903,0.22948156200871805,5,2,R-A
DCT_8_16_PC2,D,src_gss,ridge,-0.08195012463329099,-0.10086699868303971,0.019018918625871697,5,2,R-A
DCT_8_16_PC3,D,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC3,D,proc_gkf,extratrees,-0.6230975491424768,-1.0814556345720296,-0.3166723916271236,5,1,R-A
DCT_8_16_PC3,D,proc_gkf,ridge,0.0124969570099682,-0.01694611117705952,0.0401789107519767,5,3,R-A
DCT_8_16_PC3,D,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC3,D,proc_gss,extratrees,0.0417812111700877,-0.33621031172058036,0.36512140770436563,5,3,R-A
DCT_8_16_PC3,D,proc_gss,ridge,0.014859602680636802,0.012759518642034395,0.026032992236176195,5,4,R-A
DCT_8_16_PC3,D,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC3,D,src_gkf,extratrees,0.32053551041059564,0.130744369518085,0.46568711326872975,5,4,R-A
DCT_8_16_PC3,D,src_gkf,ridge,-0.039627438037542595,-0.08088091166683789,-0.026775842354983398,5,1,R-A
DCT_8_16_PC3,D,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
DCT_8_16_PC3,D,src_gss,extratrees,-0.3634005326549372,-0.3640391314144704,0.7543845788380625,5,2,R-A
DCT_8_16_PC3,D,src_gss,ridge,-0.014912855028083497,-0.06447505688711272,-0.006515963409887002,5,1,R-A
E_DCT_16_32_frac,C,proc_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_16_32_frac,C,proc_gkf,extratrees,-0.11447898466043777,-0.12182602612332519,-0.1135208542049831,5,0,R-A
E_DCT_16_32_frac,C,proc_gkf,ridge,-0.0171668104330863,-0.0720820362117087,0.054868914862843794,5,2,R-A
E_DCT_16_32_frac,C,proc_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_16_32_frac,C,proc_gss,extratrees,-0.29041349201820327,-0.3846023985118306,-0.1714887022108193,5,0,R-A
E_DCT_16_32_frac,C,proc_gss,ridge,-0.0816376219192069,-0.1005178260840266,0.05600215070884018,5,2,R-A
E_DCT_16_32_frac,C,src_gkf,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_16_32_frac,C,src_gkf,extratrees,-0.06539400659324102,-0.20474346539935578,-0.05968669761460671,5,0,R-A
E_DCT_16_32_frac,C,src_gkf,ridge,0.10975760967947179,-0.019887934741081886,0.1322969420793388,5,3,R-A
E_DCT_16_32_frac,C,src_gss,dummy,0.0,0.0,0.0,5,0,R-A
E_DCT_16_32_frac,C,src_gss,extratrees,-0.16037994948454348,-0.1660248004067043,-0.07734296384109252,5,1,R-A
E_DCT_16_32_frac,C,src_gss,ridge,0.05910338116436831,0.058719174166976196,0.10944345862683261,5,5,R-A
