target_id,family,input_set,model,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,n_folds
E_DCT_64_inf_frac,C,C,extratrees,0.2884586213788801,0.2397815878623749,0.2819418090923855,0.3536436707832212,0.4181283631405442,5
E_DCT_64_inf_frac,C,C,ridge,0.274434633802425,0.21719024222115088,0.2503658945322187,0.3565600677841456,0.366848165899306,5
E_DCT_64_inf_frac,C,R,dummy,-0.0038683137844206,-0.07349336337905818,-0.0495586789558639,-0.0036987601963194,-0.0033117215814623398,5
E_DCT_64_inf_frac,C,R,extratrees,0.2360309400969868,0.09371525191181765,0.1364317665486148,0.2611823386489689,0.29743648330838846,5
E_DCT_64_inf_frac,C,R,ridge,0.0207000743714018,-0.0751663547684351,-0.0678887118936797,0.086166877209277,0.12178776124183505,5
E_DCT_8_16_frac,C,A,dummy,-0.0473521384953739,-0.10854802715722706,-0.0509776818002951,-0.0143245967220044,-0.01361763806626874,5
E_DCT_8_16_frac,C,A,extratrees,0.626451115117141,0.49039094236390895,0.5745542305807854,0.6284154459236502,0.6703515263757102,5
E_DCT_8_16_frac,C,A,ridge,0.4175997250405951,0.3999081677113347,0.4042058462057809,0.4349660739517453,0.4669062719120873,5
E_DCT_8_16_frac,C,C,dummy,-0.0473521384953739,-0.10854802715722706,-0.0509776818002951,-0.0143245967220044,-0.01361763806626874,5
E_DCT_8_16_frac,C,C,extratrees,0.6388511185514935,0.51793710557739,0.6251052564527343,0.6468459240343082,0.6622816920947148,5
E_DCT_8_16_frac,C,C,ridge,0.4523588956040862,0.39718666447162454,0.4217081931525923,0.4677591727017994,0.4818036872900784,5
E_DCT_8_16_frac,C,R,dummy,-0.0473521384953739,-0.10854802715722706,-0.0509776818002951,-0.0143245967220044,-0.01361763806626874,5
E_DCT_8_16_frac,C,R,extratrees,0.3657456608505888,0.3128688589175354,0.3347291299766086,0.415425606117406,0.41542891529497034,5
E_DCT_8_16_frac,C,R,ridge,0.036318947146204,-0.10236273318885619,-0.0852305204450789,0.039393183533293,0.11644307945765794,5
Sa_um,B,A,dummy,-0.0023935004141069,-0.021206164662358102,-0.0190991471064725,-0.0022193878807594,-0.0010469768064214598,5
Sa_um,B,A,extratrees,0.058578150409008,-0.2822551622922119,-0.1423639359561979,0.1126586070868155,0.18164063015739984,5
Sa_um,B,A,ridge,0.1517006689557227,-0.0242390047960283,0.0517779812652013,0.1799717685061023,0.1828806095297429,5
Sa_um,B,C,dummy,-0.0023935004141069,-0.021206164662358102,-0.0190991471064725,-0.0022193878807594,-0.0010469768064214598,5
Sa_um,B,C,extratrees,0.0392600654046374,-0.3079230916312162,-0.0324369787439875,0.1274073769274268,0.20365281002437685,5
Sa_um,B,C,ridge,0.1160136065034392,0.01767337312236706,0.0492644097671071,0.2041272779708803,0.23472122218830557,5
Sa_um,B,R,dummy,-0.0023935004141069,-0.021206164662358102,-0.0190991471064725,-0.0022193878807594,-0.0010469768064214598,5
Sa_um,B,R,extratrees,-0.0073439936338404,-0.18678829742399544,-0.0488342731489119,0.1457932723439002,0.2793436947354378,5
Sa_um,B,R,ridge,0.1103597428645956,0.04873082565847618,0.0813983970462703,0.2432862783883423,0.25285121518720893,5
Sq_um,B,A,dummy,-0.0141835659035964,-0.03355889554293238,-0.0186905615507149,-0.0057710792569347,-0.0025033472339795397,5
Sq_um,B,A,extratrees,0.0338103240026558,-0.6247354694201885,-0.1910016924853999,0.1248609043906532,0.17739577003333454,5
Sq_um,B,A,ridge,0.0778926063823471,-0.13815938754090107,-0.0843174904885053,0.1476101106607964,0.1964855999658283,5
