target_id,family,cv_variant,input_set,dR2_median,dR2_q25,dR2_q75,n_folds,n_folds_pos,pair
DCT_64_inf_PC1,D,proc_gss,C,-1.6574062401927045,-1.6699947104986936,-0.007591408243958098,5,1,extratrees-ridge
DCT_64_inf_PC1,D,proc_gss,R,-0.8206439476552099,-1.9249603472747518,-0.055653666797397,5,1,extratrees-ridge
DCT_64_inf_PC1,D,src_gkf,A,-0.3633557166496134,-0.4338618665009531,-0.012490098493156396,5,1,extratrees-ridge
DCT_64_inf_PC1,D,src_gkf,C,-0.20283179250253208,-0.32668837627199426,-0.03712714734306881,5,1,extratrees-ridge
DCT_64_inf_PC1,D,src_gkf,R,-0.38183553879955184,-0.5576434476926273,0.1263307887238474,5,2,extratrees-ridge
DCT_64_inf_PC1,D,src_gss,A,0.060419329931557186,-0.006102068919680001,0.13920960127231188,5,3,extratrees-ridge
DCT_64_inf_PC1,D,src_gss,C,0.11142514612161081,0.054946953726472895,0.11473314355051162,5,4,extratrees-ridge
DCT_64_inf_PC1,D,src_gss,R,-0.19926678742995807,-0.3266323981198855,0.0994928711447578,5,2,extratrees-ridge
DCT_64_inf_PC2,D,proc_gkf,A,0.0057684331282478,-0.0878384679821312,0.21959319432813712,5,3,extratrees-ridge
DCT_64_inf_PC2,D,proc_gkf,C,0.1493592743542752,0.032374975226324695,0.1682624003925195,5,4,extratrees-ridge
DCT_64_inf_PC2,D,proc_gkf,R,-0.032322315636455094,-0.1072526700550709,0.137050539379781,5,2,extratrees-ridge
DCT_64_inf_PC2,D,proc_gss,A,-0.0057750185828809,-2.208266561129903,0.1141503082745654,5,2,extratrees-ridge
DCT_64_inf_PC2,D,proc_gss,C,-0.0255176019369154,-1.6572817484817484,0.0017588004086541986,5,2,extratrees-ridge
DCT_64_inf_PC2,D,proc_gss,R,-0.03729956117327161,-1.365113892490527,0.049015124611790195,5,2,extratrees-ridge
DCT_64_inf_PC2,D,src_gkf,A,-0.08510523545672,-0.11803189693753069,0.1983047734587625,5,2,extratrees-ridge
DCT_64_inf_PC2,D,src_gkf,C,0.1221251913361051,-0.09753726911187449,0.17819933445687247,5,3,extratrees-ridge
DCT_64_inf_PC2,D,src_gkf,R,0.177410694171837,-0.08952004071280431,0.3949061917654206,5,3,extratrees-ridge
DCT_64_inf_PC2,D,src_gss,A,-0.0615585877401997,-0.4567162106389182,0.021713740292167702,5,2,extratrees-ridge
DCT_64_inf_PC2,D,src_gss,C,0.1011305873832384,0.0471160361453777,0.1715735240097317,5,4,extratrees-ridge
DCT_64_inf_PC2,D,src_gss,R,0.1954014152212362,-0.010884981660687099,0.27027445000390493,5,3,extratrees-ridge
DCT_64_inf_PC3,D,proc_gkf,A,-0.1646758523495587,-0.5551205385276259,-0.15809396132323222,5,0,extratrees-ridge
DCT_64_inf_PC3,D,proc_gkf,C,-0.05328245352283201,-0.13840288169920278,-0.05198563134772116,5,0,extratrees-ridge
DCT_64_inf_PC3,D,proc_gkf,R,-0.0431348727989298,-0.1565162607674761,0.1493140011675194,5,2,extratrees-ridge
DCT_64_inf_PC3,D,proc_gss,A,-0.4267231411749542,-0.4563281089557048,-0.1593949615885188,5,0,extratrees-ridge
DCT_64_inf_PC3,D,proc_gss,C,-0.1680311394320005,-0.5213835598662403,-0.0692643390288726,5,0,extratrees-ridge
