target_id,family,input_set,model,cv_variant,R2_median,R2_q10,R2_q25,R2_q75,R2_q90,MAE_median,RMSE_median,n_folds
DCT_16_32_PC3,D,A,extratrees,src_gkf,-0.676706939944175,-1.2590166582971283,-0.8234164889622335,-0.3191610848217261,-0.30422651896027475,16.02895845817498,27.48630840943516,5
DCT_16_32_PC3,D,A,extratrees,src_gss,-0.4840238253729727,-1.9288133681387043,-0.5772428944767387,-0.27242930952213884,-0.1529025797422845,16.069121747204456,24.040891406371898,5
DCT_16_32_PC3,D,A,ridge,proc_gkf,-0.1666623588173186,-0.3925628606005383,-0.24476642360133605,-0.07834017521557057,-0.06101826781679356,10.461094931282645,18.446643629306084,5
DCT_16_32_PC3,D,A,ridge,proc_gss,-0.3336564706390295,-1.003584867280649,-0.7387007597065678,-0.25638275882544104,-0.10264667144049658,9.493925276815027,15.345809331115719,5
DCT_16_32_PC3,D,A,ridge,src_gkf,0.002510100701048068,-0.029274482214921616,-0.025283403893527012,0.034554111450643465,0.08438909856102844,11.250927011286231,19.47212613126408,5
DCT_16_32_PC3,D,A,ridge,src_gss,-0.2946544804224851,-0.48167254679221283,-0.3872101392390128,-0.11744249739472457,-0.06433309387379368,12.01418248473956,18.894172652706217,5
DCT_16_32_PC3,D,C,dummy,proc_gkf,-0.07357568086218191,-0.07796513096486665,-0.07431542087710308,-0.04841035584248932,-0.020832209550686095,9.463429002525938,17.69542905325994,5
DCT_16_32_PC3,D,C,dummy,proc_gss,-0.05155337032516072,-0.1570623605196026,-0.12441098407397866,-0.04425474018119613,-0.01888239411652259,9.180355026435299,13.993985895637476,5
DCT_16_32_PC3,D,C,dummy,src_gkf,-0.001937082087210218,-0.02940506780761467,-0.010470361710570364,-0.001233798539502562,-0.0004962131610818598,10.63734541200969,19.567119514102068,5
DCT_16_32_PC3,D,C,dummy,src_gss,-0.031673270358548056,-0.05661987815093883,-0.041484689985413103,-0.030909357210707755,-0.021975410535203063,10.61688189277292,17.150394891284268,5
DCT_16_32_PC3,D,C,extratrees,proc_gkf,-0.41359406496206397,-1.3789421072588361,-1.2205994429634166,-0.2585947464646958,-0.0894618126381039,13.081249532901136,20.372737082132716,5
DCT_16_32_PC3,D,C,extratrees,proc_gss,-0.39131487269638465,-3.59188022517899,-2.1534410507117867,0.09418244756623462,0.1016725394076851,11.256083695875683,16.61354529211416,5
DCT_16_32_PC3,D,C,extratrees,src_gkf,-0.2435125527696771,-1.0396297547040683,-0.4863050905881454,-0.17624090445501484,-0.15199177572093564,15.253468036068579,25.878661912392626,5
DCT_16_32_PC3,D,C,extratrees,src_gss,-0.4635038471188191,-1.869640707759486,-0.7154040895561535,-0.17171440018775863,-0.10311732517359386,15.787388070362503,23.434623964517655,5
