session_id,measurement_id,sample_id,artifact,pixel_count,row_min,row_max,col_min,col_max,span_x_um,span_y_um,aspect_ratio,bbox_fill,max_correction_um,mean_correction_um
zro2_60_pass,7,14,1,18,10,12,137,143,3.5,1.5,2.3333333333333335,0.8571428571428571,5.583388955021579,2.9409335610023017
zro2_60_pass,7,14,2,70,36,48,104,117,7.0,6.5,1.0769230769230769,0.3956043956043956,6.094930679387353,3.4186954749574014
zro2_60_pass,7,14,3,64,87,98,83,92,5.0,6.0,1.2,0.5333333333333333,7.713780373320665,4.249809969805099
zro2_60_pass,7,14,4,7,103,105,96,101,3.0,1.5,2.0,0.5555555555555556,4.918720759607622,2.511699101598135
zro2_60_pass,7,14,5,98,111,122,125,137,6.5,6.0,1.0833333333333333,0.6282051282051282,5.368527321327125,3.6106013202035627
zro2_60_pass,7,14,6,27,135,140,139,146,4.0,3.0,1.3333333333333333,0.625,6.0250358260524965,2.757454953413759
zro2_60_pass,8,15,1,23,10,20,10,18,4.5,5.5,1.2222222222222223,0.494949494949495,7.564246119685322,4.3418644743776476
zro2_60_pass,8,15,2,13,39,47,29,32,2.0,4.5,2.25,0.4722222222222222,7.123660982965674,4.42993852449484
zro2_60_pass,8,15,3,33,54,71,21,27,3.5,9.0,2.5714285714285716,0.42857142857142855,9.917859633693936,4.665069233493676
zro2_60_pass,8,15,4,16,93,99,21,26,3.0,3.5,1.1666666666666667,0.5952380952380952,8.082540968677808,5.251733420131455
zro2_60_pass,8,16,1,16,14,17,67,73,3.5,2.0,1.75,0.5714285714285714,2.268073417560963,1.3218207230825505
zro2_60_pass,19,38,1,37,104,112,117,122,3.0,4.5,1.5,0.6851851851851852,1.8782428592005083,1.292593701010422
zro2_60_pass,22,43,1,72,10,19,25,35,5.5,5.0,1.1,0.6545454545454545,6.926669727400404,4.4734988699828655
zro2_20_supplement,3,6,1,14,45,49,113,116,2.0,2.5,1.25,0.7,1.4838355169100055,0.8675977285277838
zro2_20_supplement,4,7,1,10,29,32,22,24,1.5,2.0,1.3333333333333333,0.8333333333333334,2.768792854446964,1.541662361794645
zro2_20_supplement,4,7,2,85,79,92,17,25,4.5,7.0,1.5555555555555556,0.6746031746031746,2.5723631705143006,1.7261897150097847
zro2_20_supplement,4,7,3,3,113,114,12,13,1.0,1.0,1.0,0.75,1.8787632136135386,1.2921670478967116
zro2_20_supplement,5,9,1,5,10,12,57,59,1.5,1.5,1.0,0.5555555555555556,1.8573161889012582,1.4295364851240209
zro2_20_supplement,5,10,1,7,40,42,124,126,1.5,1.5,1.0,0.7777777777777778,2.0195031540155526,1.150939726996589
zro2_20_supplement,8,15,1,17,141,149,68,71,2.0,4.5,2.25,0.4722222222222222,2.2545214660310293,1.4484863666026049
zro2_20_supplement,9,18,1,7,71,74,113,115,1.5,2.0,1.3333333333333333,0.5833333333333334,1.2222921546987493,0.8374106177264622
