session_id,measurement_id,sample_id,profile_axis,position_um,height_median_um,valid_count
zro2_120_formal,1,1,v,-2.25,-13.039631512819655,96
zro2_120_formal,1,1,v,-1.75,-13.043947433868254,96
zro2_120_formal,1,1,v,-1.25,-13.067793241624958,96
zro2_120_formal,1,1,v,-0.75,-13.10730463826745,96
zro2_120_formal,1,1,v,-0.25,-13.130506821210513,96
zro2_120_formal,1,1,v,0.25,-13.126267896979456,96
zro2_120_formal,1,1,v,0.75,-13.11538588145276,96
zro2_120_formal,1,1,v,1.25,-13.119499633214781,96
zro2_120_formal,1,1,v,1.75,-13.13203324280513,96
zro2_120_formal,1,1,v,2.25,-13.131072119559672,96
zro2_120_formal,1,1,v,2.75,-13.123416774012554,96
zro2_120_formal,1,1,v,3.25,-13.11949879571796,96
zro2_120_formal,1,1,v,3.75,-13.117291389791605,96
zro2_120_formal,1,1,v,4.25,-13.128288568927301,96
zro2_120_formal,1,1,v,4.75,-13.151904109516984,96
zro2_120_formal,1,1,v,5.25,-13.159118767018398,96
zro2_120_formal,1,1,v,5.75,-13.173633820911347,96
zro2_120_formal,1,1,v,6.25,-13.187787585605864,96
zro2_120_formal,1,1,v,6.75,-13.209983733767405,96
zro2_120_formal,1,1,v,7.25,-13.239563445415838,96
zro2_120_formal,1,1,v,7.75,-13.27565715624527,96
zro2_120_formal,1,1,v,8.25,-13.294126937360652,96
zro2_120_formal,1,1,v,8.75,-13.308107834010336,96
zro2_120_formal,1,1,v,9.25,-13.313194718576046,96
zro2_120_formal,1,1,v,9.75,-13.290341886048257,96
zro2_120_formal,1,1,v,10.25,-13.311859221059624,96
zro2_120_formal,1,1,v,10.75,-13.304032510901438,96
zro2_120_formal,1,1,v,11.25,-13.302680217130758,96
zro2_120_formal,1,1,v,11.75,-13.322251902458152,96
zro2_120_formal,1,1,v,12.25,-13.339314421930505,96
zro2_120_formal,1,1,v,12.75,-13.370219566290316,96
zro2_120_formal,1,1,v,13.25,-13.406208578257797,96
zro2_120_formal,1,1,v,13.75,-13.424430116622526,96
zro2_120_formal,1,1,v,14.25,-13.442176045432856,96
zro2_120_formal,1,1,v,14.75,-13.468618787130264,96
zro2_120_formal,1,1,v,15.25,-13.500173067882066,96
zro2_120_formal,1,1,v,15.75,-13.495260644720869,96
zro2_120_formal,1,1,v,16.25,-13.504630958655284,96
zro2_120_formal,1,1,v,16.75,-13.506731171599274,96
zro2_120_formal,1,1,v,17.25,-13.51403810581651,96
zro2_120_formal,1,1,v,17.75,-13.521775318921257,96
zro2_120_formal,1,1,v,18.25,-13.539619798410193,96
zro2_120_formal,1,1,v,18.75,-13.54176441985176,96
zro2_120_formal,1,1,v,19.25,-13.598996927928338,96
zro2_120_formal,1,1,v,19.75,-13.650585989442714,96
zro2_120_formal,1,1,v,20.25,-13.679931475661217,96
zro2_120_formal,1,1,v,20.75,-13.703471401541545,96
zro2_120_formal,1,1,v,21.25,-13.722579414636254,96
zro2_120_formal,1,1,v,21.75,-13.720832263596815,96
zro2_120_formal,1,1,v,22.25,-13.701310856380392,96
zro2_120_formal,1,1,v,22.75,-13.666779409449642,96
zro2_120_formal,1,1,v,23.25,-13.663459578889295,96
zro2_120_formal,1,1,v,23.75,-13.67497087733924,96
zro2_120_formal,1,1,v,24.25,-13.697226442583126,96
zro2_120_formal,1,1,v,24.75,-13.7204063657148,96
zro2_120_formal,1,1,v,25.25,-13.73452209964881,96
zro2_120_formal,1,1,v,25.75,-13.782565213779176,96
zro2_120_formal,1,1,v,26.25,-13.816626088520682,96
zro2_120_formal,1,1,v,26.75,-13.87491667319468,96
zro2_120_formal,1,1,v,27.25,-13.944489574328905,96
zro2_120_formal,1,1,v,27.75,-13.994161374385195,96
zro2_120_formal,1,1,v,28.25,-14.029861877625638,96
zro2_120_formal,1,1,v,28.75,-14.051796156775737,96
zro2_120_formal,1,1,v,29.25,-14.085503809469586,96
zro2_120_formal,1,1,v,29.75,-14.10445123570563,96
zro2_120_formal,1,1,v,30.25,-14.136423270499156,96
zro2_120_formal,1,1,v,30.75,-14.19227803589306,96
zro2_120_formal,1,1,v,31.25,-14.246939488102765,96
zro2_120_formal,1,1,v,31.75,-14.29053048847184,96
zro2_120_formal,1,1,v,32.25,-14.351147622634986,96
zro2_120_formal,1,1,v,32.75,-14.395116426150407,96
zro2_120_formal,1,1,v,33.25,-14.4452850144295,96
zro2_120_formal,1,1,v,33.75,-14.491127371716637,96
zro2_120_formal,1,1,v,34.25,-14.543631012115913,96
zro2_120_formal,1,1,v,34.75,-14.592849631480641,96
zro2_120_formal,1,1,v,35.25,-14.634287410367248,96
zro2_120_formal,1,1,v,35.75,-14.705503081821131,96
zro2_120_formal,1,1,v,36.25,-14.78665423655847,96
zro2_120_formal,1,1,v,36.75,-14.877830624688862,96
zro2_120_formal,1,1,v,37.25,-14.962966309830296,96
zro2_120_formal,1,1,v,37.75,-15.05312465792042,96
zro2_120_formal,1,1,v,38.25,-15.138923705734676,96
zro2_120_formal,1,1,v,38.75,-15.193902150182543,96
zro2_120_formal,1,1,v,39.25,-15.236666756690946,96
zro2_120_formal,1,1,v,39.75,-15.275025097502837,96
zro2_120_formal,2,2,u,-39.75,-8.733303957675297,96
zro2_120_formal,2,2,u,-39.25,-8.708237929826687,96
zro2_120_formal,2,2,u,-38.75,-8.68731639062637,96
zro2_120_formal,2,2,u,-38.25,-8.660775870423718,96
zro2_120_formal,2,2,u,-37.75,-8.687307655536216,96
zro2_120_formal,2,2,u,-37.25,-8.743087288696229,96
zro2_120_formal,2,2,u,-36.75,-8.81290280085556,96
zro2_120_formal,2,2,u,-36.25,-8.840919893780228,96
zro2_120_formal,2,2,u,-35.75,-8.81974692381377,96
zro2_120_formal,2,2,u,-35.25,-8.808725921710703,96
zro2_120_formal,2,2,u,-34.75,-8.752272064118753,96
zro2_120_formal,2,2,u,-34.25,-8.7090841558927,96
zro2_120_formal,2,2,u,-33.75,-8.691505435179614,96
zro2_120_formal,2,2,u,-33.25,-8.677744415491983,96
zro2_120_formal,2,2,u,-32.75,-8.690203719772406,96
zro2_120_formal,2,2,u,-32.25,-8.69269293062408,96
zro2_120_formal,2,2,u,-31.75,-8.632971736717149,96
zro2_120_formal,2,2,u,-31.25,-8.575258481308168,96
zro2_120_formal,2,2,u,-30.75,-8.539947709774724,96
zro2_120_formal,2,2,u,-30.25,-8.52152937578845,96
zro2_120_formal,2,2,u,-29.75,-8.543225927521203,96
zro2_120_formal,2,2,u,-29.25,-8.551262948671347,96
zro2_120_formal,2,2,u,-28.75,-8.565186024743308,96
zro2_120_formal,2,2,u,-28.25,-8.593837704627038,96
zro2_120_formal,2,2,u,-27.75,-8.574642020208447,96
zro2_120_formal,2,2,u,-27.25,-8.568365960517415,96
zro2_120_formal,2,2,u,-26.75,-8.571571838788419,96
zro2_120_formal,2,2,u,-26.25,-8.52999407464693,96
zro2_120_formal,2,2,u,-25.75,-8.534967074030558,96
zro2_120_formal,2,2,u,-25.25,-8.562019745074451,96
zro2_120_formal,2,2,u,-24.75,-8.590588246843161,96
