dataset_index,session_id,sample_id,shared_height_source_id,session_role,component_id,base_family_key
112,zro2_120_formal,113,zro2_120_formal:m113,formal,b883d29a5bb52293cd7c63e9750120e9004c89ff5831b5a5fd8319f34d0334df,6000|100|11|2
113,zro2_120_formal,114,zro2_120_formal:m114,formal,79b084fe655b9290a759644a3b54967388aea9f801c7c8088d2f2fe2ffd2ec9a,6000|100|9|2
114,zro2_120_formal,115,zro2_120_formal:m115,formal,a0f55d3c0b3cc923c3e64f0e11a2beab464134d011ce61fdabb5edfcb337f33d,6000|100|5|2
115,zro2_120_formal,116,zro2_120_formal:m116,formal,783f1a926b70c114c5bc6eb548cf1fb153be4bf1a756a64ba1d2ecb86336f60a,6000|100|5|8
116,zro2_120_formal,117,zro2_120_formal:m117,formal,cf15a84e17a08d5442e642f55bd238c27a3e70672bdf8932fcea209f247160de,6000|100|9|10
117,zro2_120_formal,118,zro2_120_formal:m118,formal,240824940fd52f191a9391bfd66b29fc0db7d014f14e40d0e0880995fdb25aaf,6000|200|3|2
118,zro2_120_formal,119,zro2_120_formal:m119,formal,9b4ea5c4658350b5838f157a2cc6f05607f6f74cbdcd8278f1e67d67ed39c52f,6000|200|9|4
119,zro2_120_formal,120,zro2_120_formal:m120,formal,4486fa4d53bbf751a3d10e2c5b25183080cc16f5bdf4efb90b39cc2624483d66,6000|200|3|6
140,zro2_60_pass,1,zro2_60_pass:m001,pass_main,4290660b4d4ae5cd887571e6f751868ac4c279f09fdac5bfe67da201d4aef605,223|40|20|4
141,zro2_60_pass,2,zro2_60_pass:m001,pass_main,4290660b4d4ae5cd887571e6f751868ac4c279f09fdac5bfe67da201d4aef605,223|40|20|4
142,zro2_60_pass,3,zro2_60_pass:m002,pass_main,4290660b4d4ae5cd887571e6f751868ac4c279f09fdac5bfe67da201d4aef605,223|40|20|4
143,zro2_60_pass,4,zro2_60_pass:m002,pass_main,4290660b4d4ae5cd887571e6f751868ac4c279f09fdac5bfe67da201d4aef605,223|40|20|4
144,zro2_60_pass,5,zro2_60_pass:m003,pass_main,2282a691149bdb2299e5997fdb0464cdb01fb8dc4c6321b154bc3e66598f5484,4000|20|15|2
145,zro2_60_pass,6,zro2_60_pass:m003,pass_main,2282a691149bdb2299e5997fdb0464cdb01fb8dc4c6321b154bc3e66598f5484,4000|20|15|2
146,zro2_60_pass,7,zro2_60_pass:m004,pass_main,2282a691149bdb2299e5997fdb0464cdb01fb8dc4c6321b154bc3e66598f5484,4000|20|15|2
147,zro2_60_pass,8,zro2_60_pass:m004,pass_main,2282a691149bdb2299e5997fdb0464cdb01fb8dc4c6321b154bc3e66598f5484,4000|20|15|2
148,zro2_60_pass,9,zro2_60_pass:m005,pass_main,aef676bb275647280889c762b29aa161b83e18f4f4d1ff4b87535d8f7c77da48,1000|40|25|6
149,zro2_60_pass,10,zro2_60_pass:m005,pass_main,aef676bb275647280889c762b29aa161b83e18f4f4d1ff4b87535d8f7c77da48,1000|40|25|6
150,zro2_60_pass,11,zro2_60_pass:m006,pass_main,aef676bb275647280889c762b29aa161b83e18f4f4d1ff4b87535d8f7c77da48,1000|40|25|6
151,zro2_60_pass,12,zro2_60_pass:m006,pass_main,aef676bb275647280889c762b29aa161b83e18f4f4d1ff4b87535d8f7c77da48,1000|40|25|6
152,zro2_60_pass,13,zro2_60_pass:m007,pass_main,5a980396e19821af9bce8aec5b7e8d7103f9b457a9ac9fe83f64b8696efa922d,223|20|25|4
153,zro2_60_pass,14,zro2_60_pass:m007,pass_main,5a980396e19821af9bce8aec5b7e8d7103f9b457a9ac9fe83f64b8696efa922d,223|20|25|4
154,zro2_60_pass,15,zro2_60_pass:m008,pass_main,5a980396e19821af9bce8aec5b7e8d7103f9b457a9ac9fe83f64b8696efa922d,223|20|25|4
155,zro2_60_pass,16,zro2_60_pass:m008,pass_main,5a980396e19821af9bce8aec5b7e8d7103f9b457a9ac9fe83f64b8696efa922d,223|20|25|4
156,zro2_60_pass,17,zro2_60_pass:m009,pass_main,ce339b490e43317abbeef86cc4b7c5d3ea5412190fa2f7aa0a000aec58a81233,2000|10|5|8
