arm,target_id,input_set,model,fold,R2
formal_only,rms_DCT_64_inf_um,R,ridge,3,-4.659782560075192
formal_only,rms_DCT_64_inf_um,R,extratrees,3,-21.03511224762227
formal_only,median_depth_um,A,ridge,4,0.652118013826761
formal_only,median_depth_um,A,extratrees,4,0.8247742028661895
formal_only,Sq_um,A,ridge,4,0.09796311244480937
formal_only,Sq_um,A,extratrees,4,0.006022379184070004
formal_only,E_DCT_8_16_frac,A,ridge,4,0.44291409766156853
formal_only,E_DCT_8_16_frac,A,extratrees,4,0.6853464594307427
formal_only,rms_DCT_8_16_um,A,ridge,4,-0.017823709586669567
formal_only,rms_DCT_8_16_um,A,extratrees,4,-0.3369798264128121
formal_only,rms_DCT_16_32_um,A,ridge,4,0.12373535830687632
formal_only,rms_DCT_16_32_um,A,extratrees,4,-0.06528482831942184
formal_only,rms_DCT_32_64_um,A,ridge,4,0.11659698097770543
formal_only,rms_DCT_32_64_um,A,extratrees,4,-0.015455536601352016
formal_only,rms_DCT_64_inf_um,A,ridge,4,0.1635032523400608
formal_only,rms_DCT_64_inf_um,A,extratrees,4,0.033689796623599166
formal_only,median_depth_um,R,ridge,4,0.6957648927361146
formal_only,median_depth_um,R,extratrees,4,0.8487986788979125
formal_only,Sq_um,R,ridge,4,0.09305156446195317
formal_only,Sq_um,R,extratrees,4,-0.06341306162884797
formal_only,E_DCT_8_16_frac,R,ridge,4,0.18742240900091223
formal_only,E_DCT_8_16_frac,R,extratrees,4,0.2728300855665753
formal_only,rms_DCT_8_16_um,R,ridge,4,-0.010064087279841871
formal_only,rms_DCT_8_16_um,R,extratrees,4,-0.31916669684833066
formal_only,rms_DCT_16_32_um,R,ridge,4,0.18198045951455966
formal_only,rms_DCT_16_32_um,R,extratrees,4,-0.06443291516653882
formal_only,rms_DCT_32_64_um,R,ridge,4,0.12040674370346671
formal_only,rms_DCT_32_64_um,R,extratrees,4,-0.2899688058075094
formal_only,rms_DCT_64_inf_um,R,ridge,4,0.10010782174551802
formal_only,rms_DCT_64_inf_um,R,extratrees,4,0.013333802142898143
minus_top1,median_depth_um,A,ridge,0,0.6472528812732796
minus_top1,median_depth_um,A,extratrees,0,0.9275402140907424
minus_top1,Sq_um,A,ridge,0,0.18030051556263793
minus_top1,Sq_um,A,extratrees,0,0.2037614213269061
minus_top1,E_DCT_8_16_frac,A,ridge,0,0.3073409316395642
minus_top1,E_DCT_8_16_frac,A,extratrees,0,0.5634479350495043
minus_top1,rms_DCT_8_16_um,A,ridge,0,0.22348922657442727
minus_top1,rms_DCT_8_16_um,A,extratrees,0,0.41197096170944614
minus_top1,rms_DCT_16_32_um,A,ridge,0,0.3797024496246777
minus_top1,rms_DCT_16_32_um,A,extratrees,0,0.31758454279092996
minus_top1,rms_DCT_32_64_um,A,ridge,0,0.2503205009467284
minus_top1,rms_DCT_32_64_um,A,extratrees,0,0.18768733158745377
minus_top1,rms_DCT_64_inf_um,A,ridge,0,0.18046006655915603
minus_top1,rms_DCT_64_inf_um,A,extratrees,0,0.1087462266597009
minus_top1,median_depth_um,R,ridge,0,0.39767169066422847
minus_top1,median_depth_um,R,extratrees,0,0.8026671751842289
minus_top1,Sq_um,R,ridge,0,0.021487235078640032
minus_top1,Sq_um,R,extratrees,0,0.011290774698509143
minus_top1,E_DCT_8_16_frac,R,ridge,0,-0.11468008060393053
minus_top1,E_DCT_8_16_frac,R,extratrees,0,0.5157065690120284
minus_top1,rms_DCT_8_16_um,R,ridge,0,0.19132997269187257
minus_top1,rms_DCT_8_16_um,R,extratrees,0,0.20129085429976523
minus_top1,rms_DCT_16_32_um,R,ridge,0,0.15135961252967378
minus_top1,rms_DCT_16_32_um,R,extratrees,0,0.3677348970561881
minus_top1,rms_DCT_32_64_um,R,ridge,0,0.014202691633089515
minus_top1,rms_DCT_32_64_um,R,extratrees,0,0.13741343246210203
minus_top1,rms_DCT_64_inf_um,R,ridge,0,-0.05224080066560233
minus_top1,rms_DCT_64_inf_um,R,extratrees,0,-0.20055415488979023
minus_top1,median_depth_um,A,ridge,1,0.567569301675678
minus_top1,median_depth_um,A,extratrees,1,0.9404843680812541
minus_top1,Sq_um,A,ridge,1,0.03326856451860993
minus_top1,Sq_um,A,extratrees,1,-0.024963461701768663
minus_top1,E_DCT_8_16_frac,A,ridge,1,0.38145081881894805
minus_top1,E_DCT_8_16_frac,A,extratrees,1,0.6438729244462644
minus_top1,rms_DCT_8_16_um,A,ridge,1,0.055269567294169764
minus_top1,rms_DCT_8_16_um,A,extratrees,1,0.35307158793048243
minus_top1,rms_DCT_16_32_um,A,ridge,1,0.15255425369966025
minus_top1,rms_DCT_16_32_um,A,extratrees,1,0.19054925389173027
minus_top1,rms_DCT_32_64_um,A,ridge,1,0.08186868528467395
minus_top1,rms_DCT_32_64_um,A,extratrees,1,0.018116911426268367
minus_top1,rms_DCT_64_inf_um,A,ridge,1,0.063049376667758
minus_top1,rms_DCT_64_inf_um,A,extratrees,1,-0.1194008928932937
minus_top1,median_depth_um,R,ridge,1,0.5725686294161687
minus_top1,median_depth_um,R,extratrees,1,0.8107613842247576
minus_top1,Sq_um,R,ridge,1,0.0706235723343498
minus_top1,Sq_um,R,extratrees,1,0.07421877433507162
minus_top1,E_DCT_8_16_frac,R,ridge,1,-0.08386421155242485
minus_top1,E_DCT_8_16_frac,R,extratrees,1,0.2755195551212283
minus_top1,rms_DCT_8_16_um,R,ridge,1,0.0798849733471213
minus_top1,rms_DCT_8_16_um,R,extratrees,1,0.171224261086093
minus_top1,rms_DCT_16_32_um,R,ridge,1,0.19576410139446454
minus_top1,rms_DCT_16_32_um,R,extratrees,1,0.22608195766419426
minus_top1,rms_DCT_32_64_um,R,ridge,1,0.09132623263009443
minus_top1,rms_DCT_32_64_um,R,extratrees,1,0.08916782408686008
minus_top1,rms_DCT_64_inf_um,R,ridge,1,0.05991729260510803
minus_top1,rms_DCT_64_inf_um,R,extratrees,1,-0.01145966395231035
