arm,target_id,input_set,model,R2_med_arm,baseline_target_id,R2_med_base,dR2,sensitivity
minus_top1,rms_DCT_8_16_um,R,extratrees,0.171224261086093,rms_DCT_8_16_um,0.1768523485485581,-0.005628087462465098,stable
minus_top1,rms_DCT_8_16_um,R,ridge,0.1269839796525808,rms_DCT_8_16_um,0.0822088700288944,0.04477510962368639,stable
minus_top5,E_DCT_8_16_frac,A,extratrees,0.5264489663197616,E_DCT_8_16_frac,0.626451115117141,-0.10000214879737945,moderate
minus_top5,E_DCT_8_16_frac,A,ridge,0.40102414028483147,E_DCT_8_16_frac,0.4175997250405951,-0.01657558475576365,stable
minus_top5,E_DCT_8_16_frac,R,extratrees,0.31244039558314185,E_DCT_8_16_frac,0.3657456608505888,-0.053305265267446944,moderate
minus_top5,E_DCT_8_16_frac,R,ridge,0.0650294551582068,E_DCT_8_16_frac,0.036318947146204,0.028710508012002797,stable
minus_top5,Sq_um,A,extratrees,-0.08702731270817887,Sq_um,0.0338103240026558,-0.12083763671083467,moderate
minus_top5,Sq_um,A,ridge,0.05961199177412069,Sq_um,0.0778926063823471,-0.018280614608226414,stable
minus_top5,Sq_um,R,extratrees,0.04828930558432876,Sq_um,0.0511181356604431,-0.0028288300761143415,stable
minus_top5,Sq_um,R,ridge,0.1821113035829166,Sq_um,0.1267713650319761,0.05533993855094049,moderate
minus_top5,median_depth_um,A,extratrees,0.9204575246285777,median_depth_um,0.9100104991988768,0.010447025429700885,stable
minus_top5,median_depth_um,A,ridge,0.6027832048345412,median_depth_um,0.5421738631222122,0.06060934171232901,moderate
minus_top5,median_depth_um,R,extratrees,0.8232548306970904,median_depth_um,0.8201221052431125,0.0031327254539779137,stable
minus_top5,median_depth_um,R,ridge,0.5783317047899745,median_depth_um,0.6045370835433506,-0.02620537875337603,stable
minus_top5,rms_DCT_16_32_um,A,extratrees,0.07386115609010635,rms_DCT_16_32_um,0.1637306424576169,-0.08986948636751055,moderate
minus_top5,rms_DCT_16_32_um,A,ridge,-0.0011585227033727996,rms_DCT_16_32_um,0.2398911562363761,-0.2410496789397489,strong
minus_top5,rms_DCT_16_32_um,R,extratrees,0.23545268002469089,rms_DCT_16_32_um,0.218373562682492,0.017079117342198885,stable
minus_top5,rms_DCT_16_32_um,R,ridge,0.21822197954797862,rms_DCT_16_32_um,0.1494297166872662,0.06879226286071241,moderate
minus_top5,rms_DCT_32_64_um,A,extratrees,-0.02317583238604315,rms_DCT_32_64_um,0.0119470581581343,-0.03512289054417745,stable
minus_top5,rms_DCT_32_64_um,A,ridge,0.06127431960341145,rms_DCT_32_64_um,0.1234249048597916,-0.06215058525638015,moderate
minus_top5,rms_DCT_32_64_um,R,extratrees,0.07128103953664944,rms_DCT_32_64_um,0.1015709065978965,-0.03028986706124706,stable
minus_top5,rms_DCT_32_64_um,R,ridge,0.14897387355596192,rms_DCT_32_64_um,0.0975975255048507,0.05137634805111123,moderate
minus_top5,rms_DCT_64_inf_um,A,extratrees,-0.028285902144584263,rms_DCT_64_inf_um,0.0472470943349828,-0.07553299647956707,moderate
minus_top5,rms_DCT_64_inf_um,A,ridge,0.10034552844041877,rms_DCT_64_inf_um,0.1564429080510354,-0.056097379610616616,moderate
minus_top5,rms_DCT_64_inf_um,R,extratrees,0.05548768639732782,rms_DCT_64_inf_um,0.0204642548039835,0.03502343159334432,stable
minus_top5,rms_DCT_64_inf_um,R,ridge,0.12508305801187092,rms_DCT_64_inf_um,0.0843350130207681,0.04074804499110282,stable
minus_top5,rms_DCT_8_16_um,A,extratrees,0.401909732941481,rms_DCT_8_16_um,0.2385589956380076,0.16335073730347344,strong
minus_top5,rms_DCT_8_16_um,A,ridge,0.17170809589217007,rms_DCT_8_16_um,0.1678557336845496,0.0038523622076204744,stable
minus_top5,rms_DCT_8_16_um,R,extratrees,0.15890941944283332,rms_DCT_8_16_um,0.1768523485485581,-0.017942929105724786,stable
minus_top5,rms_DCT_8_16_um,R,ridge,0.10983341006281055,rms_DCT_8_16_um,0.0822088700288944,0.02762454003391615,stable
repaired,Sq_um,A,extratrees,0.016928379371588087,Sq_um,0.0338103240026558,-0.016881944631067715,stable
repaired,Sq_um,A,ridge,0.07553542389720669,Sq_um,0.0778926063823471,-0.0023571824851404133,stable
repaired,Sq_um,R,extratrees,0.05266383527163254,Sq_um,0.0511181356604431,0.0015456996111894439,stable
repaired,Sq_um,R,ridge,0.12760264047174508,Sq_um,0.1267713650319761,0.0008312754397689637,stable
repaired,median_depth_um,A,extratrees,0.9085457251648902,median_depth_um,0.9100104991988768,-0.0014647740339865933,stable
repaired,median_depth_um,A,ridge,0.5421738631222122,median_depth_um,0.5421738631222122,0.0,stable
repaired,median_depth_um,R,extratrees,0.8172070242671838,median_depth_um,0.8201221052431125,-0.00291508097592863,stable
repaired,median_depth_um,R,ridge,0.6045370835433506,median_depth_um,0.6045370835433506,0.0,stable
repaired,rms_DCT_16_32_um,A,extratrees,0.1572480373640438,rms_DCT_16_32_um,0.1637306424576169,-0.006482605093573096,stable
repaired,rms_DCT_16_32_um,A,ridge,0.24135742310064479,rms_DCT_16_32_um,0.2398911562363761,0.0014662668642686782,stable
repaired,rms_DCT_16_32_um,R,extratrees,0.23566853086362993,rms_DCT_16_32_um,0.218373562682492,0.017294968181137932,stable
repaired,rms_DCT_16_32_um,R,ridge,0.15294626748882612,rms_DCT_16_32_um,0.1494297166872662,0.003516550801559909,stable
repaired,rms_DCT_32_64_um,A,extratrees,0.04039673489995921,rms_DCT_32_64_um,0.0119470581581343,0.028449676741824907,stable
repaired,rms_DCT_32_64_um,A,ridge,0.12126633307512014,rms_DCT_32_64_um,0.1234249048597916,-0.0021585717846714647,stable
repaired,rms_DCT_32_64_um,R,extratrees,0.11965106357096256,rms_DCT_32_64_um,0.1015709065978965,0.01808015697306606,stable
repaired,rms_DCT_32_64_um,R,ridge,0.09144019696669192,rms_DCT_32_64_um,0.0975975255048507,-0.006157328538158771,stable
repaired,rms_DCT_64_inf_um,A,extratrees,0.0536024616259867,rms_DCT_64_inf_um,0.0472470943349828,0.006355367291003895,stable
repaired,rms_DCT_64_inf_um,A,ridge,0.1501550007774447,rms_DCT_64_inf_um,0.1564429080510354,-0.006287907273590687,stable
repaired,rms_DCT_64_inf_um,R,extratrees,0.018328914728357737,rms_DCT_64_inf_um,0.0204642548039835,-0.002135340075625762,stable
repaired,rms_DCT_64_inf_um,R,ridge,0.08984087690699294,rms_DCT_64_inf_um,0.0843350130207681,0.005505863886224843,stable
repaired,rms_DCT_8_16_um,A,extratrees,0.24325594038223575,rms_DCT_8_16_um,0.2385589956380076,0.00469694474422816,stable
repaired,rms_DCT_8_16_um,A,ridge,0.17903578627885153,rms_DCT_8_16_um,0.1678557336845496,0.011180052594301937,stable
repaired,rms_DCT_8_16_um,R,extratrees,0.16797066130030136,rms_DCT_8_16_um,0.1768523485485581,-0.008881687248256748,stable
repaired,rms_DCT_8_16_um,R,ridge,0.08558902914130762,rms_DCT_8_16_um,0.0822088700288944,0.0033801591124132113,stable
